reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,,"Bach, J. S. (1953). Bach: The Well-Tempered Clavier Book I - Prelude #24 in B minor, BWV 855 [CD; Recorded by R. Tureck]. RFA-Neef, Wittingen, Germany: Deutsche Grammonphon. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,,"Bach, J. S. (1965). Bach: The Well-Tempered Clavier, Book I Prelude #10 in E minor, BWV 855 [CD; Recorded by G. Gould]. New York: Sony Classical. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,,"Bach, J. S. (1973). Bach: The Well-Tempered Clavier, Book I - [CD; Recorded by F. Gulda]. MPS-Tonstudio, Villingen, Germany: Decca. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,,"Bach, J. S. (1971). Bach: The Well-Tempered Clavier, Book I - Prelude #10 in E minor, BWV 869 [CD; Recorded by A. Newman]. New York: Columbia Records. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,,"Beaton, A. E. (1973, March). Commonality. (ERIC Document Reproduction Service No. ED111829).",21,21,N/A,N/A,No,Yes
ref_10,,,,,,,,,"Borod, J. C. (2000). The neuropsychology of emotion (1st ed.). Oxford, UK: Oxford University Press.",21,21,N/A,N/A,No,Yes
ref_13,,,,,,,,,"Capraro, R. M., & Capraro, M. M. (2001) Commonality analysis: Understanding variance contributions to overall canonical correlation effects of attitude toward mathematics on geometry achievement. Multiple Linear Regression Viewpoints, 27, 16–23.",N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,,"Cohen, J., & Cohen, P. (1983). Applied multiple regression/correlation analysis for the behavioral sciences. Hillsdale, NJ: Erlbaum.",21,21,N/A,N/A,No,Yes
ref_25,,,,,,,,,"Eerola, T., Lartillot, O., & Toiviainen, P. (2009). Prediction of multidimensional emotional ratings in music from audio using multivariate regression models. In K. Hirata, G. Tzanetakis, & K. Yoshii (Eds.), Proceedings of the 10th International Conference on Music Information Retrieval (pp. 621–626). Kobe, Japan: International Society for Music Information Retrieval.",N/A,N/A,N/A,N/A,No,No
ref_30,,,,,,,,10.1177/10298649040070S103,"Fabian, D., & Schubert, E. (2003). Expressive devices and perceived musical character in 34 performances of Variation-7 from Bach's “Goldberg Variations.” Musicae Scientiae, 7, 49–71.",N/A,N/A,N/A,N/A,No,No
ref_31,,,,,,,,,"Frederick, B. N. (1999). Partitioning variance in the multivariate case: A step-by-step guide to cannonical commonality analysis. In B. Thompson (Ed.), Advances in social science methodology (Vol. 5, pp. 305–318). Standford, CT: JAI Press.",11,11,N/A,N/A,No,Yes
ref_34,,,,,,,,,"Gabrielsson, A., & Lindström, E. (2010). The role of structure in the musical expression of emotions. In P. Juslin & J. Sloboda (Eds.), Handbook of music and emotion: Theory, research, applications (pp. 367–400). New York: Oxford University Press.",21,21,N/A,N/A,No,Yes
ref_35,,,,,,,,10.1080/02699930302279,"Gagnon, L., & Peretz, I. (2003). Mode and tempo relative contributions to “happy-sad” judgements in equitone melodies. Cognition and Emotion, 17, 25–40.",N/A,N/A,N/A,N/A,No,No
ref_36,,,,,,,,,"Gardner, H. (1993). Multiple intelligences: The theory in practice. New York: Basic Books.",N/A,N/A,N/A,N/A,No,No
ref_42,,,,,,,,,"Hatten, R. S. (2004). Interpreting musical gestures, topics, and tropes: Mozart, Beethoven, and Schubert. Bloomington, IN: Indiana University Press.",21,21,N/A,N/A,No,Yes
ref_50,,,,,,,,,"Huron, D., Yim, G., & Chordia, P. (2010). The effect of pitch exposure on sadness judgments: An association between sadness and lower than normal pitch. In S. M. Demorest, S. J. Morrison, & P. S. Campbell (Eds.), Proceedings of the 11th International Conference on Music Perception and Cognition (pp. 63–66). Seattle, WA: Causal Productions.",7,7,N/A,N/A,No,Yes
ref_53,,,,,,,,,"Johnstone, T., & Scherer, K. R. (2000). Vocal communication of emotion. In M. Lewis & J. Haviland (Eds.), The handbook of emotion (Vol. 2, pp. 220–235). New York: Guilford.",11,11,N/A,N/A,No,Yes
ref_66,,,,,,,,,"Meyer, L. B. (1956). Emotion and meaning in music. Chicago, IL: university of Chicago Press.",21,21,N/A,N/A,No,Yes
ref_70,,,,,,,,,"Palmer, W. A. (1994). J. S. Bach: The Well-Tempered Clavier (Third). Los Angeles, CA: Alfred Music Publishing.",N/A,N/A,N/A,N/A,No,No
ref_71,,,,,,,,,"Pedhazur, E. J. (1997). Multiple regression in behavioral research: Explanation and prediction (3rd ed.). Fort Worth, TX: Harcourt Brace.",21,21,N/A,N/A,No,Yes
ref_90,,,,,,,,,"Trainor, L. J., & Schmidt, L. A. (2001). Processing emotions induced by music. Cognition and Emotion, 15, 487-500.",21,21,N/A,N/A,No,Yes
ref_95,,,,,,,,,"Wedin, L. (1969). Dimension analysis of emotional expression in music. Swedish Journal of Musicology, 51, 119–140.",N/A,N/A,N/A,N/A,No,No
ref_97,1972,54,1,,Evaluation of a three-dimensional model of emotional expression in music,,,,,12,12,N/A,N/A,No,Yes
ref_98,,,,,,,,,"Wiggins, G. A. (1998). Music, syntax, and the meaning of “meaning.” In Proceedings of the First Symposium on Music and Computers (pp. 18-23). Corfu, Greece: Ionian University.",N/A,N/A,N/A,N/A,No,No
