reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,In Situ Loading Of Ag2WO4 On Ultrathin g-C3N4 Nanosheets With Highly Enhanced Photocatalytic Performance,24,10.1016/j.jhazmat.2016.04.011,https://w3id.org/oc/meta/br/061402381024,year_and_doi
ref_2,N/A,Well-designed ZnV2O6/g-C3N4 2D/2D Nanosheets Heterojunction With Faster Charges Separation Via pCN As Mediator Towards Enhanced Photocatalytic Reduction Of CO2 To Fuels,31,10.1016/j.apcatb.2018.09.097,https://w3id.org/oc/meta/br/06503498129,year_author_page
ref_3,N/A,Boosting Photocatalytic Activity Of WO3 Nanorods With Tailored Surface Oxygen Vacancies For Selective Alcohol Oxidations,24,10.1016/j.apsusc.2018.08.181,https://w3id.org/oc/meta/br/0680894544,year_and_doi
ref_4,N/A,Preparation Of Carbon-Rich g-C3N4 Nanosheets With Enhanced Visible Light Utilization For Efficient Photocatalytic Hydrogen Production,27,10.1002/smll.201701552,https://w3id.org/oc/meta/br/06402445496,year_and_doi
ref_5,N/A,Single Nickel Atoms Anchored On Nitrogen-Doped Graphene As A Highly Active Cocatalyst For Photocatalytic H2 Evolution,27,10.1021/acscatal.8b03737,https://w3id.org/oc/meta/br/06902183761,year_and_doi
ref_6,N/A,Electrochemical Photolysis Of Water At A Semiconductor Electrode,27,10.1038/238037a0,https://w3id.org/oc/meta/br/06250353819,year_and_doi
ref_7,N/A,An Inverse Opal TiO2/g-C3N4 Composite With A Heterojunction For Enhanced Visible Light-Driven Photocatalytic Activity,27,10.1039/c8dt04496a,https://w3id.org/oc/meta/br/06160433168,year_and_doi
ref_8,N/A,Non-noble Metal Cu-loaded TiO2for Enhanced Photocatalytic H2production,27,10.1039/c2nr33004k,https://w3id.org/oc/meta/br/06190718549,year_and_doi
ref_9,N/A,Band Alignment Investigations Of Heterostructure NiO/TiO2 Nanomaterials Used As Efficient Heterojunction Earth-Abundant Metal Oxide Photocatalysts For Hydrogen Production,27,10.1039/c7cp01300k,https://w3id.org/oc/meta/br/06250509176,year_and_doi
ref_10,N/A,"Recent Advances In Non-Metals-Doped TiO2 Nanostructured Photocatalysts For Visible-Light Driven Hydrogen Production, CO2 Reduction And Air Purification",27,10.1016/j.ijhydene.2019.03.164,https://w3id.org/oc/meta/br/06130659885,year_and_doi
ref_11,N/A,Enhanced Photocatalytic Hydrogen Evolution From In Situ Formation Of Few-Layered MoS2/CdS Nanosheet-Based Van Der Waals Heterostructures,27,10.1039/c7nr01705g,https://w3id.org/oc/meta/br/06110714425,year_and_doi
ref_12,N/A,Cadmium Sulfide-Based Nanomaterials For Photocatalytic Hydrogen Production,27,10.1039/c8ta00671g,https://w3id.org/oc/meta/br/06160494918,year_and_doi
ref_13,N/A,Electrospinning Of Ag/ZnWO4/WO3 Composite Nanofibers With High Visible Light Photocatalytic Activity,24,10.1016/j.matlet.2018.10.088,https://w3id.org/oc/meta/br/0630451160,year_and_doi
ref_14,N/A,Two-step Hydrothermally Synthesized Carbon nanodots/WO3 Photocatalysts With Enhanced Photocatalytic Performance,27,10.1039/c7dt03003g,https://w3id.org/oc/meta/br/06180436210,year_and_doi
ref_15,N/A,Photocatalytic Dye Degradation And Biological Activities Of The Fe2O3/Cu2O Nanocomposite,27,10.1039/c8ra09929d,https://w3id.org/oc/meta/br/0630978031,year_and_doi
ref_16,N/A,Enhanced Light Harvesting And Electron-Hole Separation For Efficient Photocatalytic Hydrogen Evolution Over Cu7S4-enwrapped Cu2O Nanocubes,24,10.1016/j.apcatb.2019.01.042,https://w3id.org/oc/meta/br/06503497835,year_and_doi
ref_17,N/A,Facile Synthesis Of Porous Bi2WO6 Nanosheets With High Photocatalytic Performance,27,10.1039/c5dt01859e,https://w3id.org/oc/meta/br/06240428785,year_and_doi
ref_18,N/A,Enhanced Photocatalytic CO2 Reduction Activity Of Z-scheme CdS/BiVO4 Nanocomposite With Thinner BiVO4 Nanosheets,24,10.1016/j.jcou.2018.09.008,https://w3id.org/oc/meta/br/06802832953,year_and_doi
ref_19,N/A,"Solar Energy Conversion On g-C3N4 Photocatalyst: Light Harvesting, Charge Separation, And Surface Kinetics",27,10.1016/j.jechem.2018.02.018,https://w3id.org/oc/meta/br/0620748237,year_and_doi
