reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,Fully Sequential Procedures For Comparing Constrained Systems Via Simulation,30,10.1002/nav.20408,https://w3id.org/oc/meta/br/061502454114,year_and_doi
ref_2,N/A,HypE: An Algorithm For Fast Hypervolume-Based Many-Objective Optimization,27,10.1162/evco_a_00009,https://w3id.org/oc/meta/br/061101483807,year_and_doi
ref_4,N/A,F-Race And Iterated F-Race: An Overview,24,10.1007/978-3-642-02538-9_13,https://w3id.org/oc/meta/br/062303085258,year_and_doi
ref_5,N/A,Selecting A Selection Procedure,27,10.1287/mnsc.1070.0721,https://w3id.org/oc/meta/br/06901992874,year_and_doi
ref_6,N/A,New Developments In Ranking And Selection: An Empirical Comparison Of The Three Main Approaches,29,10.1109/wsc.2005.1574312,https://w3id.org/oc/meta/br/06103777368,doi_title
ref_8,N/A,A New Myopic Sequential Sampling Algorithm For Multi-Objective Problems,30,10.1109/wsc.2015.7408518,https://w3id.org/oc/meta/br/06602911962,year_and_doi
ref_10,N/A,A Multiple Attribute Utility Theory Approach To Ranking And Selection,27,10.1287/mnsc.47.6.800.9812,https://w3id.org/oc/meta/br/061101983031,year_and_doi
ref_11,N/A,Simulation Optimization: A Tutorial Overview And Recent Developments In Gradient-Based Methods,30,10.1109/wsc.2014.7019875,https://w3id.org/oc/meta/br/06202960241,year_and_doi
ref_12,N/A,A Lower Bound For The Correct Subset-Selection Probability And Its Application To Discrete-Event System Simulations,27,10.1109/9.533692,https://w3id.org/oc/meta/br/062301677397,year_and_doi
ref_13,N/A,Stochastic Simulation Optimization,30,10.1142/7437,https://w3id.org/oc/meta/br/062402767038,year_and_doi
ref_14,N/A,New Two-Stage And Sequential Procedures For Selecting The Best Simulated System,27,10.1287/opre.49.5.732.10615,https://w3id.org/oc/meta/br/06220747041,year_and_doi
ref_15,N/A,Selection Procedures With Frequentist Expected Opportunity Cost Bounds,27,10.1287/opre.1040.0187,https://w3id.org/oc/meta/br/06210748759,year_and_doi
ref_16,N/A,Sequential Sampling To Myopically Maximize The Expected Value Of Information,27,10.1287/ijoc.1090.0327,https://w3id.org/oc/meta/br/0680834618,year_and_doi
ref_18,N/A,SCORE Allocations For Bi-objective Ranking And Selection,26,10.1145/3158666,https://w3id.org/oc/meta/br/0690695430,year_author_volume
ref_20,N/A,A Fully Sequential Elimination Procedure For Indifference-Zone Ranking And Selection With Tight Bounds On Probability Of Correct Selection,27,10.1287/opre.2014.1282,https://w3id.org/oc/meta/br/06150754007,year_and_doi
ref_21,N/A,A Knowledge-Gradient Policy For Sequential Information Collection,27,10.1137/070693424,https://w3id.org/oc/meta/br/061201560556,year_and_doi
ref_22,N/A,Guessing Preferences: A New Approach To Multi-Attribute Ranking And Selection,30,10.1109/wsc.2011.6148119,https://w3id.org/oc/meta/br/061603004901,year_and_doi
ref_23,N/A,Simulation Allocation For Determining The Best Design In The Presence Of Correlated Sampling,27,10.1287/ijoc.1050.0141,https://w3id.org/oc/meta/br/06110828076,year_and_doi
ref_24,N/A,Some Topics For Simulation Optimization,30,10.1109/wsc.2008.4736053,https://w3id.org/oc/meta/br/062603251047,year_and_doi
ref_25,N/A,Multi‐Armed Bandit Allocation Indices,30,10.1002/9780470980033,https://w3id.org/oc/meta/br/0622057521,year_and_doi
ref_26,N/A,Opportunity Cost And OCBA Selection Procedures In Ordinal Optimization For A Fixed Number Of Alternative Systems,27,10.1109/tsmcc.2007.900656,https://w3id.org/oc/meta/br/061401238813,year_and_doi
ref_28,N/A,Optimal Sampling Laws For Stochastically Constrained Simulation Optimization On Finite Sets,27,10.1287/ijoc.1120.0519,https://w3id.org/oc/meta/br/0680834442,year_and_doi
ref_29,N/A,An Introduction To Multiobjective Simulation Optimization,33,10.1145/3299872,https://w3id.org/oc/meta/br/0690695397,year_and_doi
ref_30,N/A,Decisions With Multiple Objectives,30,10.1017/cbo9781139174084,https://w3id.org/oc/meta/br/061302856793,year_and_doi
