reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Loan prospecting and the loss of soft information,Loan Prospecting And The Loss Of Soft Information,41,10.1016/j.jfineco.2018.05.003,https://w3id.org/oc/meta/br/0650809246,year_and_doi
ref_3,Inconsistent Regulators: Evidence from Banking,Inconsistent Regulators: Evidence From Banking*,41,10.1093/qje/qju003,https://w3id.org/oc/meta/br/06230275409,year_and_doi
ref_4,Policy intervention in debt renegotiation: Evidence from the Home Affordable Modification Program,Policy Intervention In Debt Renegotiation: Evidence From The Home Affordable Modification Program,41,10.1086/691701,https://w3id.org/oc/meta/br/06603166829,year_and_doi
ref_5,Servicers and Mortgage-Backed Securities Default: Theory and Evidence,Servicers And Mortgage-Backed Securities Default: Theory And Evidence,40,10.1111/1540-6229.12099,https://w3id.org/oc/meta/br/0650574423,year_and_doi
ref_6,Crime and punishment: An economic approach,Crime And Punishment: An Economic Approach,38,10.1086/259394,https://w3id.org/oc/meta/br/06403174222,year_and_doi
ref_8,Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry,Assessing The Costs And Benefits Of Brokers In The Mutual Fund Industry,41,10.1093/rfs/hhp022,https://w3id.org/oc/meta/br/061601021853,year_and_doi
ref_9,How Much Should We Trust Differences-In-Differences Estimates?,How Much Should We Trust Differences-In-Differences Estimates?,41,10.1162/003355304772839588,https://w3id.org/oc/meta/br/0610277941,year_and_doi
ref_10,Bringing it Home: A Study of the Incentives Surrounding the Repatriation of Foreign Earnings Under the American Jobs Creation Act of,Bringing It Home: A Study Of The Incentives Surrounding The Repatriation Of Foreign Earnings Under The American Jobs Creation Act Of 2004,40,10.1111/j.1475-679x.2009.00342.x,https://w3id.org/oc/meta/br/061601422148,doi_title
ref_14,What do consumers' fund flows maximize? Evidence from their brokers' incentives,What Do Consumers’ Fund Flows Maximize? Evidence From Their Brokers’ Incentives,41,10.1111/j.1540-6261.2012.01798.x,https://w3id.org/oc/meta/br/062501162229,year_and_doi
ref_16,Free competition and the optimal amount of fraud,Free Competition And The Optimal Amount Of Fraud,38,10.1086/466756,https://w3id.org/oc/meta/br/06140892385,year_and_doi
ref_17,Mutual fund performance and the incentive to generate alpha,Mutual Fund Performance And The Incentive To Generate Alpha,41,10.1111/jofi.12048,https://w3id.org/oc/meta/br/062501162193,year_and_doi
ref_18,Self-regulation and government oversight,Self-Regulation And Government Oversight,41,10.1111/j.1467-937x.2005.00348.x,https://w3id.org/oc/meta/br/06250645625,year_and_doi
ref_19,"Watch What I Do, Not What I Say: The Unintended Consequences of the Homeland Investment Act","Watch What I Do, Not What I Say: The Unintended Consequences Of The Homeland Investment Act",41,10.1111/j.1540-6261.2011.01651.x,https://w3id.org/oc/meta/br/06301178219,year_and_doi
ref_20,Impact of the Dodd-Frank Act on Credit Ratings,Impact Of The Dodd-Frank Act On Credit Ratings,41,10.1016/j.jfineco.2014.10.012,https://w3id.org/oc/meta/br/0650809654,year_and_doi
ref_21,Predicting fraud by investment managers,Predicting Fraud By Investment Managers,41,10.1016/j.jfineco.2012.01.002,https://w3id.org/oc/meta/br/0660806395,year_and_doi
ref_24,The Market for Financial Adviser Misconduct,The Market For Financial Adviser Misconduct,40,10.1086/700735,https://w3id.org/oc/meta/br/06603166718,year_and_doi
ref_25,Investment and Capital Constraints: Repatriations Under the American Jobs Creation Act,Investment And Capital Constraints: Repatriations Under The American Jobs Creation Act,41,10.1093/rfs/hhs092,https://w3id.org/oc/meta/br/061601021505,year_and_doi
ref_26,Retail Financial Advice: Does One Size Fit All?,Retail Financial Advice: Does One Size Fit All?,38,10.1111/jofi.12514,https://w3id.org/oc/meta/br/062501161855,year_and_doi
ref_27,Money Doctors,Money Doctors,41,10.1111/jofi.12188,https://w3id.org/oc/meta/br/062501162103,year_and_doi
ref_28,Did credit rating agencies make unbiased assumptions on CDOs?,Did Credit Rating Agencies Make Unbiased Assumptions On CDOs?,41,10.1257/aer.101.3.125,https://w3id.org/oc/meta/br/061501195053,year_and_doi
ref_29,Did dubious mortgage origination practices distort house prices?,Did Dubious Mortgage Origination Practices Distort House Prices?,25,10.1093/rfs/hhw013,https://w3id.org/oc/meta/br/061501022373,author_title
ref_32,Financial advice and bank profits,Financial Advice And Bank Profits,41,10.1093/rfs/hhy046,https://w3id.org/oc/meta/br/061501022099,year_and_doi
ref_33,Credit CARD Act of 2009: What did Banks do?,Credit CARD Act Of 2009: What Did Banks Do?,38,10.1016/j.jbankfin.2014.04.025,https://w3id.org/oc/meta/br/062402822625,year_and_doi
ref_34,Fraudulent income overstatement on mortgage applications during the credit expansion of 2002 to,Fraudulent Income Overstatement On Mortgage Applications During The Credit Expansion Of 2002 To 2005,24,10.1093/rfs/hhw104,https://w3id.org/oc/meta/br/061501022310,author_title
ref_38,The Geography of Financial Misconduct,The Geography Of Financial Misconduct,41,10.1111/jofi.12704,https://w3id.org/oc/meta/br/062501161782,year_and_doi
ref_39,Asset Quality Misrepresentation by Financial Intermediaries: Evidence from the RMBS Market,Asset Quality Misrepresentation By Financial Intermediaries: Evidence From The RMBS Market,41,10.1111/jofi.12271,https://w3id.org/oc/meta/br/062501162037,year_and_doi
ref_40,Appraisal inflation: Evidence from the 2009 GSE HVCC intervention,Appraisal Inflation: Evidence From The 2009 GSE HVCC Intervention,38,10.1016/j.jhe.2015.02.007,https://w3id.org/oc/meta/br/0640348293,year_and_doi
ref_41,Markets: The credit rating agencies,Markets: The Credit Rating Agencies,41,10.1257/jep.24.2.211,https://w3id.org/oc/meta/br/0670643845,year_and_doi
ref_42,CMBS and Conflicts of Interest: Evidence from Ownership Changes for Servicers,CMBS And Conflicts Of Interest: Evidence From Ownership Changes For Servicers,41,10.1111/jofi.12690,https://w3id.org/oc/meta/br/062501161795,year_and_doi
