reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,Influence Of Concomitant Heeled Footwear When Wearing A Lateral Wedged Insole For Medial Compartment Osteoarthritis Of The Knee,33,10.1016/j.joca.2007.06.010,https://w3id.org/oc/meta/br/0650430095,year_and_doi
ref_2,N/A,"OARSI Recommendations For The Management Of Hip And Knee Osteoarthritis, Part II: OARSI Evidence-Based, Expert Consensus Guidelines",33,10.1016/j.joca.2007.12.013,https://w3id.org/oc/meta/br/0650429965,year_and_doi
ref_3,N/A,Lateral Wedges In Knee Osteoarthritis: What Are Their Immediate Clinical And Biomechanical Effects And Can These Predict A Three-Month Clinical Outcome?,33,10.1002/art.23326,https://w3id.org/oc/meta/br/06203525585,year_and_doi
ref_4,N/A,Effects Of Disease Severity On Response To Lateral Wedged Shoe Insole For Medial Compartment Knee Osteoarthritis,32,10.1016/j.apmr.2006.08.018,https://w3id.org/oc/meta/br/062502039425,doi_title
ref_5,N/A,Ankle Anticipatory Postural Adjustments During Gait Initiation In Healthy And Post-Stroke Subjects,33,10.1016/j.clinbiomech.2015.07.002,https://w3id.org/oc/meta/br/061201751676,year_and_doi
ref_6,N/A,Delayed Onset Of Electromyographic Activity Of Vastus Medialis Obliquus Relative To Vastus Lateralis In Subjects With Patellofemoral Pain Syndrome,33,10.1053/apmr.2001.19022,https://w3id.org/oc/meta/br/061802043462,year_and_doi
ref_7,N/A,Age-related Changes In The Initiation Of Gait: Degradation Of Central Mechanisms For Momentum Generation,32,10.1016/s0003-9993(98)90425-7,https://w3id.org/oc/meta/br/062602073644,doi_title
ref_8,N/A,"The Initiation Of Gait In Young, Elderly, And Parkinson's Disease Subjects",32,10.1016/s0966-6362(98)00020-4,https://w3id.org/oc/meta/br/062203786811,year_and_doi
ref_9,N/A,The Initiation Of Normal Walking,32,10.1002/mds.870090203,https://w3id.org/oc/meta/br/06260678986,doi_title
ref_11,N/A,Soft Tissues: A Question Of Balance,33,10.3928/0147-7447-19970901-24,https://w3id.org/oc/meta/br/06203924196,year_and_doi
ref_12,N/A,The Effect Of Flat And Textured Insoles On The Balance Of Primary Care Elderly People: A Randomized Controlled Clinical Trial,30,10.2147/cia.s149038,https://w3id.org/oc/meta/br/061203123114,year_and_doi
ref_13,N/A,The Effect Of Textured Insoles On Postural Control In Double And Single Limb Stance,33,10.1123/jsr.16.4.363,https://w3id.org/oc/meta/br/062603127731,year_and_doi
ref_14,N/A,Characteristic Muscle Activity Patterns During Gait Initiation In The Healthy Younger And Older Adults,30,10.1016/j.gaitpost.2015.09.014,https://w3id.org/oc/meta/br/06110660270,year_and_doi
ref_15,N/A,The Efficacy Of A Lateral Wedge Insole For Painful Medial Knee Osteoarthritis After Prescreening: A Randomized Clinical Trial,33,10.1002/art.40808,https://w3id.org/oc/meta/br/061701948044,year_and_doi
