reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,10.1038/nrmicro2800,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1111/j.1365-2958.2012.08102.x,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1371/journal.pgen.1006488,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1046/j.1365-2958.2002.02993.x,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1128/JB.01707-08,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.1038/nrmicro1968,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1128/JB.00307-06,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1128/JB.00940-06,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1093/nar/gkl649,,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.1016/j.mib.2009.10.004,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1111/j.1365-2958.2006.05134.x,,N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1128/JB.183.17.5180-5186.2001,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1128/JB.01326-10,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1111/j.1365-2958.2004.04343.x,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1099/mic.0.2008/018549-0,,N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,10.1046/j.1365-2958.2003.03805.x,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1111/j.1365-2958.2004.04267.x,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.1046/j.1472-765x.2000.00680.x,,N/A,N/A,N/A,N/A,No,No
ref_21,2000,,,Kieser,Practical Streptomyces genetics,,,,,N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,10.1128/jb.179.18.5854-5861.1997,,N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,10.1046/j.1365-2958.1996.6191336.x,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.1073/pnas.0337542100,,N/A,N/A,N/A,N/A,No,No
ref_25,,,,,,,,10.1128/AEM.01233-08,,N/A,N/A,N/A,N/A,No,No
ref_27,,,,,,,,10.1099/00221287-94-1-159,,N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,10.1038/417141a,,N/A,N/A,N/A,N/A,No,No
ref_30,2007,17,1708,Kim,Heterogeneous rRNA molecules encoded by Streptomyces coelicolor M145 genome are all expressed and assembled into ribosomes,,,,,16,16,N/A,N/A,No,Yes
ref_31,,,,,,,,10.1038/nrg2592,,N/A,N/A,N/A,N/A,No,No
ref_32,,,,,,,,10.1098/rsob.120097,,N/A,N/A,N/A,N/A,No,No
ref_33,,,,,,,,10.1016/j.jmb.2008.01.042,,N/A,N/A,N/A,N/A,No,No
ref_34,,,,,,,,10.1038/nrmicro2720,,N/A,N/A,N/A,N/A,No,No
ref_35,,,,,,,,10.1046/j.1365-2958.2001.02221.x,,N/A,N/A,N/A,N/A,No,No
ref_36,,,,,,,,10.1128/JB.183.11.3488-3498.2001,,N/A,N/A,N/A,N/A,No,No
ref_37,,,,,,,,10.1099/00221287-143-11-3581,,N/A,N/A,N/A,N/A,No,No
ref_38,,,,,,,,10.1371/journal.pone.0054316,,N/A,N/A,N/A,N/A,No,No
ref_39,,,,,,,,10.1016/0378-1119(95)00771-7,,N/A,N/A,N/A,N/A,No,No
ref_40,,,,,,,,10.1099/00221287-145-9-2281,,N/A,N/A,N/A,N/A,No,No
ref_41,,,,,,,,10.1073/pnas.1207409109,,N/A,N/A,N/A,N/A,No,No
ref_42,,,,,,,,10.1016/j.mib.2012.10.012,,N/A,N/A,N/A,N/A,No,No
ref_43,,,,,,,,10.1186/gb-2007-8-8-r161,,N/A,N/A,N/A,N/A,No,No
ref_44,,,,,,,,10.1128/jb.178.14.4289-4293.1996,,N/A,N/A,N/A,N/A,No,No
ref_45,,,,,,,,10.1126/science.1184939,,N/A,N/A,N/A,N/A,No,No
