reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,,"Alder, D. Ghafosim: A Projection System for Natural Forest Growth and Yield in Ghana. Manas Systems Ltd., Oxford, 1989. p. 114.",N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,,"Blaser, J., Sarre, A., Poore, D., Johnson, S. (2011) Status of tropical forest management. In: ITTO Technical Series No 38, International Tropical Timber Organization. Yokohama, Japan.",10,10,N/A,N/A,No,Yes
ref_11,,,,,,,,,"FAO (2011) Food and Agriculture Organization of the United Nations. State of the World’s Forests, Rome.",N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,,"Harilal, R., Ramji, M. (2014) Adaptation of open source 2D DIC software Ncorr for solid mechanics applications. 9th International Symposium on Advanced Science and Technology in Experimental Mechanics, New Delhi, India.",N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,,"Henning, C. (2018) Package “fpc”. https://cran.r-project.org/web/packages/fpc/index.html.",N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,,"ITTO. Biennial Review and Assessment of the World Timber Situation. Yokohama, Japan, 2016.",N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,,"Klaassen, R.K.W. (2018) Houtvademecum. Eds. Klaassen, H.M., Zuijdwijk, M. 11th ed. Vakbladen.com & Smartwave, Zwolle. p. 832.",N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,,"Legendre, P. (2018) Package “lmodel2”. https://cran.r-project.org/web/packages/lmodel2/index.html.",N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,,"Li, W., Van den Bulcke, J., De Windt, I., Dierick, M., Van Acker, J. (2015) Non-destructive monitoring of structure and moisture dynamics of plywood exposed outdoors to improve service life prediction and fit-for-purpose design. Proceedings IRG Annual Meeting. International Research Group on Wood Protection, Viña del Mar, Chile.",7,7,N/A,N/A,No,Yes
ref_23,,,,,,,,,"Lindegaard, B., Morsing, N. (2003) Natural durability of European wood species for exterior use above ground. Proceedings IRG Annual Meeting. International Research Group on Wood Protection, Brisbane, Australia.",N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,,"Maechler, M., Rousseeuw, P., Struyf, A., Hubert, M., Hornik, K., Studer, M., Roudier, P., Gonzalez, J., Kozlowski, K. (2018) Package “cluster” for RStudio. Repository Cran. Retrieved from http://cran.r-project.org/web/packages/cluster/index.html.",N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,,"Moore, J. (2012) Professional papers growing fit-for-purpose structural timber, what is the target and how do we get there? New Zeal. J. For. 57:17–24.",11,11,N/A,N/A,No,Yes
ref_29,,,,,,,,10.18637/jss.v001.i04,"Mouselimis, L. (2018) Package “ClusterR” for RStudio. Repository Cran. Retrieved from https://doi.org/10.18637/jss.v001.i04.",N/A,N/A,N/A,N/A,No,No
ref_41,,,,,,,,10.1016/j.biocon.2011.10.036,"Shearman, P., Bryan, J., Laurance, W.F. (2012) Are we approaching “peak timber” in the tropics? Biol. Conserv. 151:17–21.",N/A,N/A,N/A,N/A,No,No
ref_42,,,,,,,,,"Shukla, S.R., Kamdem, D.P. (2010) Dimensional stability of nine tropical hardwoods from Cameroon. J. Trop. For. Sci. 22:389–396.",11,11,N/A,N/A,No,Yes
ref_44,,,,,,,,,"Stamm, A.J. Wood and Cellulose Science. The Ronald Press Company, New York, 1964.",N/A,N/A,N/A,N/A,No,No
ref_45,,,,,,,,,"Suchsland, O. The Swelling and Shrinking of Wood: A Practical Technology Primer. Forest Products Society, Madison, WI, 2004.",N/A,N/A,N/A,N/A,No,No
ref_47,,,,,,,,,"Van Acker, J., Michon, S., Van den Bulcke, J., De Windt, I. (2011) Limited variability in biological durability of thermally modified timber using vacuum based technology. Proceedings IRG Annual Meeting. International Research Group on Wood Protection, Queenstown, New Zealand.",N/A,N/A,N/A,N/A,No,No
