reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_3,2007,22,161,Jiang,,,,,"Jiang, L. P. et al. Estimation of Grassland Ecosystem Services Value of China Using Remote Sensing Data. Journal of Natural Resources 22, 161–170 (2007).",16,16,N/A,N/A,No,Yes
ref_6,,,,,,,,,"Rizou, M., Sumner, D. M. & Nnadi, F. Evapotranspiration Parameterizations at a Grass Site in Florida, USA. Eos Transactions of the American Geophysical Union (2007).",N/A,N/A,N/A,N/A,No,No
ref_7,2010,14,2613,Rogiers,,,,10.1111/j.1365-2486.2008.01680.x,"Rogiers, N., Conen, F., Furger, M., Stöckli, R. & Eugster, W. Impact of past and present land‐management on the C‐balance of a grassland in the Swiss Alps. Global Change Biology 14, 2613–2625 (2010).",N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,,"Shiba, S. S. T. & Apan, A. Analysing the effect of drought on net primary productivity of tropical rainforests in Queensland using MODIS satellite imagery (2011).",N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,,"Niu, S. W. & Li-Bang, M. A. Effect of overgrazing on grassland desertification in Maqu County. Acta Ecologica Sinica (2008).",N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,,"McMahon, Thomas, A. & Arenas, D. Methods of computation of low streamflow (UNESCO, 1982).",N/A,N/A,N/A,N/A,No,No
ref_22,2007,27,408,Bernstein,,,,,"Bernstein, L. et al. Climate Change 2007 - Synthesis Report. Environmental Policy Collection 27, 408 (2007).",12,12,N/A,N/A,No,Yes
ref_30,,,,,,,,,"Dungan, J. L., Ganguly, S., Melton, F. S., Shupe, J. W. & Nemani, R. R. In Agu Fall Meeting.",N/A,N/A,N/A,N/A,No,No
ref_33,,,,,,,,,"Chen, T. Global-scale analysis of the carbon cycle sensitivity to drought on annual scales (2010).",N/A,N/A,N/A,N/A,No,No
ref_38,2008,23,387,Shi-Sheng,,,,,"Shi-Sheng, K. E. The Limited Types of Photosynthesis of Rhododendron fortunei under Soil Drought Stress. Journal of Yunnan Agricultural University 23, 387–391 (2008).",12,12,N/A,N/A,No,Yes
ref_42,,,,,,,,,"Bates, B. C., Kundzewicz, Z. W., Wu, S. & Palutikof, J. P. 2008: Climate Change and Water. Technical Paper of the Intergovernmental Panel on Climate Change, IPCC Secretariat (2008).",7,7,N/A,N/A,No,Yes
ref_47,,,,,,,,,"Piao, S. L., Fang, J. Y. & Guo, Q. H. Application of CASA model to the estimation of Chinese terrestrial net primary productivity. Vol. 25 (2001).",10,10,N/A,N/A,No,Yes
ref_53,2014,6,353,Barichivich,,,,,"Barichivich, J. et al. Temperature and Snow-Mediated Moisture Controls of Summer Photosynthetic Activity in Northern Terrestrial Ecosystems between 1982 and 2011. Remote Sens-Basel 6, 353–387 (2014).",12,12,N/A,N/A,No,Yes
ref_54,,,,,,,,,"Heim, R. R., Jr. Drought indices: A review. Drought: A Global Assessment. (2000).",N/A,N/A,N/A,N/A,No,No
ref_56,,,,,,,,,"Palmer, W. Meteorological drought. U.s.department of Commerce Weather Bureau Research Paper (1965).",N/A,N/A,N/A,N/A,No,No
ref_59,,,,,,,,,"Kendall, M. G. Rank correlation measures (1975).",N/A,N/A,N/A,N/A,No,No
