reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,Femtosecond Laser Oscillators For High-Field Science,27,10.1038/nphoton.2008.194,https://w3id.org/oc/meta/br/061901848225,year_and_doi
ref_2,N/A,35 kW Coherently Combined Ultrafast Fiber Laser,27,10.1364/ol.43.006037,https://w3id.org/oc/meta/br/062501128426,year_and_doi
ref_3,N/A,Compact Diode-Pumped 11 kW Yb:YAG Innoslab Femtosecond Amplifier,27,10.1364/ol.35.004169,https://w3id.org/oc/meta/br/061301136456,year_and_doi
ref_4,N/A,"Ultrafast Thin-Disk Multipass Laser Amplifier Delivering 14 kW (47 mJ, 1030 Nm) Average Power Converted To 820 W At 515 Nm And 234 W At 343 Nm",27,10.1364/oe.23.021064,https://w3id.org/oc/meta/br/061103141572,year_and_doi
ref_5,N/A,Scalable Concept For Diode-Pumped High-Power Solid-State Lasers,27,10.1007/bf01081875,https://w3id.org/oc/meta/br/061401997698,year_and_doi
ref_6,N/A,"1 kW, 200 mJ Picosecond Thin-Disk Laser System",27,10.1364/ol.42.001381,https://w3id.org/oc/meta/br/06201144489,year_and_doi
ref_7,N/A,Quantum Limits On Noise In Linear Amplifiers,27,10.1103/physrevd.26.1817,https://w3id.org/oc/meta/br/06503944875,year_and_doi
ref_8,N/A,Toward Millijoule-Level High-Power Ultrafast Thin-Disk Oscillators,27,10.1109/jstqe.2014.2341588,https://w3id.org/oc/meta/br/06220182460,year_and_doi
ref_9,N/A,Compact Extreme Ultraviolet Source At Megahertz Pulse Repetition Rate With A Low-Noise Ultrafast Thin-Disk Laser Oscillator,27,10.1364/optica.2.000980,https://w3id.org/oc/meta/br/06220847661,year_and_doi
ref_10,N/A,Optical Rectification Of A 100 W Average Power Mode-Locked Thin-Disk Oscillator,27,10.1364/ol.43.005909,https://w3id.org/oc/meta/br/062501128456,year_and_doi
