reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,1991,,,M.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_2,1991,,,M.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_3,1991,,,S.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1076/chin.8.2.71.8724,,N/A,N/A,N/A,N/A,No,No
ref_5,1980,,39,H.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.1207/s15327906mbr4102_5,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1177/0165025406072795,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1207/s15327752jpa6401_2,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1111/j.1467-9507.2004.000263.x,,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.1080/15374410701448513,,N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1111/1467-8624.00337,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1037/a0031745,,N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1017/S095457940000701X,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1037/0022-3514.78.1.136,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1080/152988602317319294,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1111/j.1467-8624.2004.00652.x,,N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,10.1037/0012-1649.39.4.761,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1037/14797-006,,N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,10.1037/0033-2909.132.1.33,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.1037/0096-3445.133.1.101,,N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.3389/fpsyg.2015.00946,,N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,10.1037/0021-843X.106.3.404,,N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,10.1023/A:1023277413027,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.1037/0012-1649.36.2.220,,N/A,N/A,N/A,N/A,No,No
ref_25,,,,,,,,10.1037/0003-066X.56.3.227,,N/A,N/A,N/A,N/A,No,No
ref_26,1999,45,413,C.,Consistency and change in children’s emotionality and regulation: A longitudinal study,,,,,12,12,N/A,N/A,No,Yes
ref_27,,,,,,,,10.1146/annurev.ecolsys.28.1.341,,N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,10.1111/jcpp.12675,,N/A,N/A,N/A,N/A,No,No
ref_29,,,,,,,,10.1037/0022-3514.78.1.122,,N/A,N/A,N/A,N/A,No,No
ref_30,,,,,,,,10.1111/1467-8624.00355,,N/A,N/A,N/A,N/A,No,No
ref_31,2006,,99,K.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_32,,,,,,,,10.1111/j.1750-8606.2007.00002.x,,N/A,N/A,N/A,N/A,No,No
ref_33,,,,,,,,10.1016/j.jrp.2008.03.002,,N/A,N/A,N/A,N/A,No,No
ref_34,,,,,,,,10.1037/1528-3542.6.3.498,,N/A,N/A,N/A,N/A,No,No
ref_35,,,,,,,,,U.S. Census Bureau. (2000).Census 2000 data for the state of Arizona. Retrieved fromhttps://www.census.gov/census2000/states/az.html,N/A,N/A,N/A,N/A,No,No
ref_36,,,,,,,,10.1111/1467-6494.7106011,,N/A,N/A,N/A,N/A,No,No
ref_37,,,,,,,,10.1037/1528-3542.6.3.459,,N/A,N/A,N/A,N/A,No,No
ref_38,,,,,,,,10.1097/00004583-200202000-00013,,N/A,N/A,N/A,N/A,No,No
ref_39,,,,,,,,10.1177/1088868310365565,,N/A,N/A,N/A,N/A,No,No
ref_40,,,,,,,,10.1111/cdev.12406,,N/A,N/A,N/A,N/A,No,No
ref_41,,,,,,,,10.1017/S0954579415001224,,N/A,N/A,N/A,N/A,No,No
ref_42,,,,,,,,10.1016/S0191-8869(00)00064-7,,N/A,N/A,N/A,N/A,No,No
