reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,,Martín Abadi Ashish Agarwal Paul Barham Eugene Brevdo Zhifeng Chen Craig Citro Greg S. Corrado Andy Davis Jeffrey Dean Matthieu Devin etal 2015. TensorFlow: Large-Scale Machine Learning on Heterogeneous Systems. (2015). https://www.tensorflow.org/  Martín Abadi Ashish Agarwal Paul Barham Eugene Brevdo Zhifeng Chen Craig Citro Greg S. Corrado Andy Davis Jeffrey Dean Matthieu Devin et al. 2015. TensorFlow: Large-Scale Machine Learning on Heterogeneous Systems. (2015). https://www.tensorflow.org/,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1145/2980179.2980257,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1145/383259.383309,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1145/344779.344932,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1145/2487228.2487238,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1145/166117.166153,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1111/j.1467-8659.2012.03009.x,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1145/237170.237191,,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,,Piotr Didyk Pitchaya Sitthi-Amorn William T. Freeman Fredo Durand and Wojciech Matusik. 2013. 3DTV at Home: Eulerian-Lagrangian Stereo-to-Multiview Conversion. In SIGGRAPH Asia.  Piotr Didyk Pitchaya Sitthi-Amorn William T. Freeman Fredo Durand and Wojciech Matusik. 2013. 3DTV at Home: Eulerian-Lagrangian Stereo-to-Multiview Conversion. In SIGGRAPH Asia.,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1145/237170.237200,,N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1145/3130800.3130828,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1145/3197517.3201384,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1145/3272127.3275084,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1145/2980179.2982420,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1145/2980179.2980251,,N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,10.1145/2487228.2487237,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.1145/3072959.3073617,,N/A,N/A,N/A,N/A,No,No
ref_22,2015,,,Diederik,,,,,Diederik P. Kingma and Jimmy Ba . 2015 . Adam : A Method for Stochastic Optimization. In ICLR. Diederik P. Kingma and Jimmy Ba. 2015. Adam: A Method for Stochastic Optimization. In ICLR.,N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,10.1145/2508363.2508369,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.1145/192161.192283,,N/A,N/A,N/A,N/A,No,No
ref_25,,,,,,,,10.1145/1457515.1409084,,N/A,N/A,N/A,N/A,No,No
