reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,10.1136/vr.153.15.462,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1016/j.jfms.2003.10.002,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1111/j.1365-2885.2005.00677.x,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1111/j.1467-2995.2012.00779.x,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1016/j.jfms.2009.09.004,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.2460/javma.245.2.195,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1053/svms.2002.36609,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1016/S0750-7658(05)80295-3,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.2174/1570159043359477,,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.2460/ajvr.68.7.699,,N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1046/j.1467-2987.2001.00062.x,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1177/1098612X12442038,,N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1111/jvp.12084,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1136/vr.152.22.675,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1371/journal.pone.0176443,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1111/jvp.12203,,N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,10.1111/j.1365-2885.2006.00800.x,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1177/1098612X15581206,,N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,10.1016/j.rvsc.2010.07.010,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.1111/j.1365-2885.2009.01069.x,,N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.1136/vr.160.17.578,,N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,10.1111/j.2042-7158.1981.tb13848.x,,N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,10.2165/00003088-198207040-00002,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.1136/adc.62.8.771,,N/A,N/A,N/A,N/A,No,No
ref_25,,,,,,,,10.1093/pm/pnx321,,N/A,N/A,N/A,N/A,No,No
ref_26,1996,45,298,M,,,,,,12,12,N/A,N/A,No,Yes
ref_27,,,,,,,,10.1016/j.vascn.2005.04.012,,N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,10.1016/j.cmpb.2010.01.007,,N/A,N/A,N/A,N/A,No,No
ref_29,,,,,,,,10.1016/0168-3659(95)00096-8,,N/A,N/A,N/A,N/A,No,No
ref_30,,,,,,,,10.1053/rvsc.2001.0543,,N/A,N/A,N/A,N/A,No,No
ref_31,,,,,,,,10.1016/j.tvjl.2008.06.017,,N/A,N/A,N/A,N/A,No,No
