reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1111/prd.12221,2017-07-31,"Periodontitis: Facts, Fallacies And The Future",https://w3id.org/oc/meta/id/06704334662,https://w3id.org/oc/meta/ar/0611012749640,https://w3id.org/oc/meta/re/061102337409,https://w3id.org/oc/meta/br/061103088788,http://purl.org/spar/fabio/JournalArticle
b1,10.1111/prd.12105,2015-08-07,Activation And Resolution Of Periodontal Inflammation And Its Systemic Impact,https://w3id.org/oc/meta/id/06704334593,https://w3id.org/oc/meta/ar/0611012749994,https://w3id.org/oc/meta/re/061102337487,https://w3id.org/oc/meta/br/061103088059,http://purl.org/spar/fabio/JournalArticle
b2,10.1038/nri3785,2014-12-23,Periodontitis: From Microbial Immune Subversion To Systemic Inflammation,https://w3id.org/oc/meta/id/062604286156,https://w3id.org/oc/meta/ar/062601687903,https://w3id.org/oc/meta/re/06260291710,https://w3id.org/oc/meta/br/06260455658,http://purl.org/spar/fabio/JournalArticle
b3,10.1111/prd.12085,2015-08-07,"Periodontal Herpesviruses: Prevalence, Pathogenicity, Systemic Risk",https://w3id.org/oc/meta/id/06704334581,https://w3id.org/oc/meta/ar/0611012750002,https://w3id.org/oc/meta/re/061102337490,https://w3id.org/oc/meta/br/061103088059,http://purl.org/spar/fabio/JournalArticle
b4,10.1111/j.1600-0757.2006.00179.x,2007-02,Toll-like Receptors And Their Role In Periodontal Health And Disease,https://w3id.org/oc/meta/id/06704334241,https://w3id.org/oc/meta/ar/0611012751945,https://w3id.org/oc/meta/re/061102338056,https://w3id.org/oc/meta/br/061103088667,http://purl.org/spar/fabio/JournalArticle
b5,10.3390/v3060920,2011-06-23,Pattern Recognition Receptors And The Innate Immune Response To Viral Infection,https://w3id.org/oc/meta/id/06504905545,https://w3id.org/oc/meta/ar/063013943257,https://w3id.org/oc/meta/re/06302394643,https://w3id.org/oc/meta/br/06303300508,http://purl.org/spar/fabio/JournalArticle
b6,10.1038/ni.1863,2010-04-20,The Role Of Pattern-Recognition Receptors In Innate Immunity: Update On Toll-like Receptors,https://w3id.org/oc/meta/id/061102653488,https://w3id.org/oc/meta/ar/0611011618795,https://w3id.org/oc/meta/re/061102118887,https://w3id.org/oc/meta/br/061102749239,http://purl.org/spar/fabio/JournalArticle
b7,10.1111/odi.12468,2016-03-28,The Role Of Toll-like Receptors In Periodontitis,https://w3id.org/oc/meta/id/063101180318,https://w3id.org/oc/meta/ar/061403098881,https://w3id.org/oc/meta/re/06140548384,https://w3id.org/oc/meta/br/06140718212,http://purl.org/spar/fabio/JournalArticle
b8,10.1902/jop.2012.120496,2013-09,"MyD88 Or TRAM Knockdown Regulates Interleukin (IL)-6, IL-8, And CXCL12 mRNA Expression In Human Gingival And Periodontal Ligament Fibroblasts",https://w3id.org/oc/meta/id/06603904534,https://w3id.org/oc/meta/ar/061501843161,https://w3id.org/oc/meta/re/06150323111,https://w3id.org/oc/meta/br/061307686,http://purl.org/spar/fabio/JournalArticle
b9,10.1128/iai.01036-12,2013-04,A Novel Class Of Lipoprotein Lipase-Sensitive Molecules Mediates Toll-Like Receptor 2 Activation By Porphyromonas Gingivalis,https://w3id.org/oc/meta/id/06130292147,https://w3id.org/oc/meta/ar/06130782896,https://w3id.org/oc/meta/re/06130138436,https://w3id.org/oc/meta/br/06905913,http://purl.org/spar/fabio/JournalArticle
b10,10.1016/j.cyto.2008.01.006,2008-05,LPS/TLR4 Signal Transduction Pathway,https://w3id.org/oc/meta/id/0681021163,https://w3id.org/oc/meta/ar/0616011722070,https://w3id.org/oc/meta/re/061602151461,https://w3id.org/oc/meta/br/061602769368,http://purl.org/spar/fabio/JournalArticle
b12,10.1111/jre.12066,2013-05-17,Role Of Salivary Epithelial Toll-Like Receptors 2 And 4 In Modulating Innate Immune Responses In Chronic Periodontitis,https://w3id.org/oc/meta/id/0670533664,https://w3id.org/oc/meta/ar/06701816105,https://w3id.org/oc/meta/re/0670315423,https://w3id.org/oc/meta/br/0670470151,http://purl.org/spar/fabio/JournalArticle
b13,10.1111/j.1600-051x.2011.01702.x,2011-02-01,Stimulants Of Toll-like Receptors 2 And 4 Are Elevated In Saliva Of Periodontitis Patients Compared With Healthy Subjects,https://w3id.org/oc/meta/id/061605498781,https://w3id.org/oc/meta/ar/062401539830,https://w3id.org/oc/meta/re/06240260204,https://w3id.org/oc/meta/br/06240399946,http://purl.org/spar/fabio/JournalArticle
b14,10.4049/jimmunol.177.12.8296,2006-12-01,Cutting Edge: TLR2 Is Required For The Innate Response To Porphyromonas Gingivalis: Activation Leads To Bacterial Persistence And TLR2 Deficiency Attenuates Induced Alveolar Bone Resorption,https://w3id.org/oc/meta/id/062402650176,https://w3id.org/oc/meta/ar/0624011562524,https://w3id.org/oc/meta/re/062402111590,https://w3id.org/oc/meta/br/064055900,http://purl.org/spar/fabio/JournalArticle
b15,10.1111/omi.12165,2016-07-20,"Global TLR2 And 4 Deficiency In Mice Impacts Bone Resorption, Inflammatory Markers And Atherosclerosis To Polymicrobial Infection",https://w3id.org/oc/meta/id/06601359604,https://w3id.org/oc/meta/ar/06605682671,https://w3id.org/oc/meta/re/06601071293,https://w3id.org/oc/meta/br/06601319759,http://purl.org/spar/fabio/JournalArticle
b16,10.1016/j.jmb.2013.11.024,2014-03,Toll-Like Receptors In Antiviral Innate Immunity,https://w3id.org/oc/meta/id/06705548777,https://w3id.org/oc/meta/ar/0640877776,https://w3id.org/oc/meta/re/0640151703,https://w3id.org/oc/meta/br/0640250606,http://purl.org/spar/fabio/JournalArticle
b17,10.1155/2015/972313,2015,"Periodontal Ligament Stem Cells: Current Status, Concerns, And Future Prospects",https://w3id.org/oc/meta/id/06604675119,https://w3id.org/oc/meta/ar/06703411381,https://w3id.org/oc/meta/re/0670631330,https://w3id.org/oc/meta/br/0670824839,http://purl.org/spar/fabio/JournalArticle
b18,10.1111/j.1601-6343.2007.00399.x,2007-08,Isolation And Characterization Of Multipotent Human Periodontal Ligament Stem Cells,https://w3id.org/oc/meta/id/06104645620,https://w3id.org/oc/meta/ar/061608808434,https://w3id.org/oc/meta/re/061601669035,https://w3id.org/oc/meta/br/061602011117,http://purl.org/spar/fabio/JournalArticle
b19,10.1111/jre.12193,2014-05-22,Lipopolysaccharide-regulated Production Of Bone Sialoprotein And Interleukin-8 In Human Periodontal Ligament Fibroblasts: The Role Of Toll-Like Receptors 2 And 4 And The MAPK Pathway,https://w3id.org/oc/meta/id/0670533569,https://w3id.org/oc/meta/ar/06701815450,https://w3id.org/oc/meta/re/0670315328,https://w3id.org/oc/meta/br/0670469723,http://purl.org/spar/fabio/JournalArticle
