reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1063/1.1554135,2003-01,The Atmospheric Radiation Measurement Program,https://w3id.org/oc/meta/id/06950908768,https://w3id.org/oc/meta/ar/06209253135,https://w3id.org/oc/meta/re/06201622062,https://w3id.org/oc/meta/br/065038877,http://purl.org/spar/fabio/JournalArticle
b1,10.5194/amt-10-4587-2017,2017-11-30,"Cloud Radiative Effect, Cloud Fraction And Cloud Type At Two Stations In Switzerland Using Hemispherical Sky Cameras",https://w3id.org/oc/meta/id/061904669934,https://w3id.org/oc/meta/ar/06109760919,https://w3id.org/oc/meta/re/06101714365,https://w3id.org/oc/meta/br/06102290972,http://purl.org/spar/fabio/JournalArticle
b2,10.5194/amt-11-5549-2018,2018-10-12,Cloud Fraction Determined By Thermal Infrared And Visible All-Sky Cameras,https://w3id.org/oc/meta/id/061904688763,https://w3id.org/oc/meta/ar/06109757966,https://w3id.org/oc/meta/re/06101714015,https://w3id.org/oc/meta/br/06102290962,http://purl.org/spar/fabio/JournalArticle
b3,10.1175/1520-0477(2000)081<2341:sansrb>2.3.co;2,2000-10,SURFRAD—A National Surface Radiation Budget Network For Atmospheric Research,https://w3id.org/oc/meta/id/06550125868,https://w3id.org/oc/meta/ar/0622013949545,https://w3id.org/oc/meta/re/062202510697,https://w3id.org/oc/meta/br/062203478100,http://purl.org/spar/fabio/JournalArticle
b4,10.1029/2010jd014593,2011-01-08,Surface Summertime Radiative Forcing By Shallow Cumuli At The Atmospheric Radiation Measurement Southern Great Plains Site,https://w3id.org/oc/meta/id/06630156464,https://w3id.org/oc/meta/ar/06150986763,,https://w3id.org/oc/meta/br/06150281079,http://purl.org/spar/fabio/JournalArticle
b5,10.1029/wr011i005p00742,1975-10,On A Derivable Formula For Long-Wave Radiation From Clear Skies,https://w3id.org/oc/meta/id/06930278312,https://w3id.org/oc/meta/ar/061604525809,https://w3id.org/oc/meta/re/06160851432,https://w3id.org/oc/meta/br/063022826,http://purl.org/spar/fabio/JournalArticle
b6,10.5194/essd-10-1491-2018,2018-08-21,Baseline Surface Radiation Network (BSRN): Structure And Data Description (1992–2017),https://w3id.org/oc/meta/id/06540599490,https://w3id.org/oc/meta/ar/06308201527,https://w3id.org/oc/meta/re/06301501461,https://w3id.org/oc/meta/br/06301827959,http://purl.org/spar/fabio/JournalArticle
b8,10.1029/2003jd004182,2004,Automatic Cloud Amount Detection By Surface Longwave Downward Radiation Measurements,https://w3id.org/oc/meta/id/06540516608,https://w3id.org/oc/meta/ar/061901027024,,https://w3id.org/oc/meta/br/06190289152,http://purl.org/spar/fabio/JournalArticle
b9,10.1088/0026-1394/49/2/s34,2012-03-02,Fourth World Radiometric Reference To SI Radiometric Scale Comparison And Implications For On-Orbit Measurements Of The Total Solar Irradiance,https://w3id.org/oc/meta/id/0690821599,https://w3id.org/oc/meta/ar/06903209549,https://w3id.org/oc/meta/re/0690578036,https://w3id.org/oc/meta/br/0690768561,http://purl.org/spar/fabio/JournalArticle
b13,10.1029/2009jd012274,2009-10-15,Effective Atmospheric Boundary Layer Temperature From Longwave Radiation Measurements,https://w3id.org/oc/meta/id/062205811632,https://w3id.org/oc/meta/ar/061801015752,,https://w3id.org/oc/meta/br/06180285468,http://purl.org/spar/fabio/JournalArticle
