reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b4,10.1088/1748-9326/aa7857,2017-12-01,Rooftop Solar Photovoltaic Potential In Cities: How Scalable Are Assessment Approaches?,https://w3id.org/oc/meta/id/06390913817,https://w3id.org/oc/meta/ar/06370258898,https://w3id.org/oc/meta/re/0637055106,https://w3id.org/oc/meta/br/0637062163,http://purl.org/spar/fabio/JournalArticle
b6,10.1016/j.rser.2014.08.060,2015-01,Modelling Solar Potential In The Urban Environment: State-of-the-art Review,https://w3id.org/oc/meta/id/06405733125,https://w3id.org/oc/meta/ar/061904028870,https://w3id.org/oc/meta/re/06190746551,https://w3id.org/oc/meta/br/06190952364,http://purl.org/spar/fabio/JournalArticle
b7,10.1016/j.rser.2014.08.023,2015-01,"A Review Of The Solar City Concept And Methods To Assess Rooftop Solar Electric Potential, With An Illustrative Application To The City Of Seoul",https://w3id.org/oc/meta/id/06405733180,https://w3id.org/oc/meta/ar/061904028826,https://w3id.org/oc/meta/re/06190746544,https://w3id.org/oc/meta/br/06190952364,http://purl.org/spar/fabio/JournalArticle
b8,10.1016/j.solener.2012.06.007,2012-09,Technical Potential For Photovoltaics On Buildings In The EU-27,https://w3id.org/oc/meta/id/062606011595,https://w3id.org/oc/meta/ar/06405587157,https://w3id.org/oc/meta/re/06401039875,https://w3id.org/oc/meta/br/06401290381,http://purl.org/spar/fabio/JournalArticle
b10,10.3390/s120404534,2012-04-10,The Application Of LiDAR To Assessment Of Rooftop Solar Photovoltaic Deployment Potential In A Municipal District Unit,https://w3id.org/oc/meta/id/061204269740,https://w3id.org/oc/meta/ar/061401777354,https://w3id.org/oc/meta/re/06140300819,https://w3id.org/oc/meta/br/06140441901,http://purl.org/spar/fabio/JournalArticle
b11,10.1016/j.scs.2013.01.002,2013-10,Methodology For Estimating Solar Potential On Multiple Building Rooftops For Photovoltaic Systems,https://w3id.org/oc/meta/id/06150519998,https://w3id.org/oc/meta/ar/061501785776,https://w3id.org/oc/meta/re/06150312695,https://w3id.org/oc/meta/br/06150459864,http://purl.org/spar/fabio/JournalArticle
b14,10.1016/j.apenergy.2016.07.001,2017-05,Development Of A Method For Estimating The Rooftop Solar Photovoltaic (PV) Potential By Analyzing The Available Rooftop Area Using Hillshade Analysis,https://w3id.org/oc/meta/id/06806292082,https://w3id.org/oc/meta/ar/06309895387,https://w3id.org/oc/meta/re/06301717090,https://w3id.org/oc/meta/br/0614042342,http://purl.org/spar/fabio/JournalArticle
b15,10.1016/j.renene.2015.12.058,2016-05,Estimation Of Rooftop Solar Photovoltaic Potential Using Geo-Spatial Techniques: A Perspective From Planned Neighborhood Of Karachi – Pakistan,https://w3id.org/oc/meta/id/06880215171,https://w3id.org/oc/meta/ar/061402306821,https://w3id.org/oc/meta/re/06140401810,https://w3id.org/oc/meta/br/06140550301,http://purl.org/spar/fabio/JournalArticle
b16,10.1016/j.renene.2014.11.077,2015-04,Evaluation Of The Development Potential Of Rooftop Solar Photovoltaic In Taiwan,https://w3id.org/oc/meta/id/06150617023,https://w3id.org/oc/meta/ar/061502263000,https://w3id.org/oc/meta/re/06150405639,https://w3id.org/oc/meta/br/06150560465,http://purl.org/spar/fabio/JournalArticle
