reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/fabio/hasSequenceIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1161/cir.0000000000000485,2017-03-07,Heart Disease And Stroke Statistics—2017 Update: A Report From The American Heart Association,https://w3id.org/oc/meta/id/06603774380,,https://w3id.org/oc/meta/ar/062104847208,,https://w3id.org/oc/meta/br/062101120866,http://purl.org/spar/fabio/JournalArticle
b2,10.1056/nejmcp1502240,2016-03-24,Chronic Stable Angina,https://w3id.org/oc/meta/id/06940271001,,https://w3id.org/oc/meta/ar/061109556283,https://w3id.org/oc/meta/re/061101763766,https://w3id.org/oc/meta/br/061102137015,http://purl.org/spar/fabio/JournalArticle
b4,10.1016/j.ijcard.2014.09.126,2014-12,The Prevalence Of Doctor-Diagnosed Angina In 4314 Older Adults In China And Comparison With The Rose Angina Questionnaire: The 4 Province Study,https://w3id.org/oc/meta/id/06410619308,,https://w3id.org/oc/meta/ar/063013581851,https://w3id.org/oc/meta/re/06302316372,https://w3id.org/oc/meta/br/066056865,http://purl.org/spar/fabio/JournalArticle
b5,10.1136/heartjnl-2011-301436,2012-01-23,Management Of Stable Angina: Summary Of NICE Guidance: Figure 1,https://w3id.org/oc/meta/id/061405124271,,https://w3id.org/oc/meta/ar/062503787,https://w3id.org/oc/meta/re/06250573,https://w3id.org/oc/meta/br/0625062012,http://purl.org/spar/fabio/JournalArticle
b6,10.1016/s0140-6736(17)32714-9,2018,"Percutaneous Coronary Intervention In Stable Angina (ORBITA): A Double-Blind, Randomised Controlled Trial.",https://w3id.org/oc/meta/id/062303761776,,https://w3id.org/oc/meta/ar/0623014651150,https://w3id.org/oc/meta/re/064701518,https://w3id.org/oc/meta/br/0616022987,http://purl.org/spar/fabio/JournalArticle
b7,10.1016/j.ijcard.2015.05.043,2015-09,Efficacy Of Electroacupuncture Pretreatment For Myocardial Injury In Patients Undergoing Percutaneous Coronary Intervention: A Randomized Clinical Trial With A 2-Year Follow-Up,https://w3id.org/oc/meta/id/062305306452,,https://w3id.org/oc/meta/ar/061013364841,https://w3id.org/oc/meta/re/06102342229,https://w3id.org/oc/meta/br/06103226436,http://purl.org/spar/fabio/JournalArticle
b8,10.1097/00132580-200107000-00006,2001-07,Alternative Approaches To The Medical Management Of Angina Pectoris,https://w3id.org/oc/meta/id/06520545757,,https://w3id.org/oc/meta/ar/061606528700,https://w3id.org/oc/meta/re/061601245884,https://w3id.org/oc/meta/br/061601513570,http://purl.org/spar/fabio/JournalArticle
b9,10.1142/s0192415x99000197,1999-01,Effect Of Acupuncture At Nei-Kuan On Left Ventricular Function In Patients With Coronary Artery Disease,https://w3id.org/oc/meta/id/062303826788,,https://w3id.org/oc/meta/ar/06209685049,https://w3id.org/oc/meta/re/06201700901,https://w3id.org/oc/meta/br/06202270735,http://purl.org/spar/fabio/JournalArticle
b10,10.1016/j.ijcard.2014.07.011,2014-09,A Randomized Controlled Trial Of Acupuncture In Stable Ischemic Heart Disease Patients,https://w3id.org/oc/meta/id/06310694381,,https://w3id.org/oc/meta/ar/063013586093,https://w3id.org/oc/meta/re/06302316925,https://w3id.org/oc/meta/br/06303214803,http://purl.org/spar/fabio/JournalArticle
b11,10.1161/01.cir.71.2.308,1985-02,The Effects Of Transcutaneous Electrical Nerve Stimulation In Patients With Severe Angina Pectoris.,https://w3id.org/oc/meta/id/062503464986,,https://w3id.org/oc/meta/ar/062204863974,https://w3id.org/oc/meta/re/06220902121,https://w3id.org/oc/meta/br/0625022824,http://purl.org/spar/fabio/JournalArticle
