reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1186/s12912-017-0242-2,2017-08-15,Perceptions Of The Critical Cultural Competence Of Registered Nurses In Canada,https://w3id.org/oc/meta/id/06310772425,https://w3id.org/oc/meta/ar/06220564057,,https://w3id.org/oc/meta/br/06220180727,http://purl.org/spar/fabio/JournalArticle
b1,10.1016/j.nedt.2017.05.015,2017-09,Understanding And Addressing Missed Care In Clinical Placements — Implications For Nursing Students And Nurse Educators,https://w3id.org/oc/meta/id/06750180798,https://w3id.org/oc/meta/ar/062203699390,https://w3id.org/oc/meta/re/06220661210,https://w3id.org/oc/meta/br/06220857451,http://purl.org/spar/fabio/JournalArticle
b2,10.1111/jonm.12514,2017-07-27,Predicting Variations To Missed Nursing Care: A Three-Nation Comparison,https://w3id.org/oc/meta/id/06904123491,https://w3id.org/oc/meta/ar/0619013514594,https://w3id.org/oc/meta/re/061902449902,https://w3id.org/oc/meta/br/061903352597,http://purl.org/spar/fabio/JournalArticle
b4,10.1177/0969733013478307,2013-03-20,Learning The Requirements For Compassionate Practice,https://w3id.org/oc/meta/id/06304394217,https://w3id.org/oc/meta/ar/061402067292,https://w3id.org/oc/meta/re/06140353753,https://w3id.org/oc/meta/br/06409401,http://purl.org/spar/fabio/JournalArticle
b5,10.1016/j.nedt.2015.12.007,2016-03,Care Erosion In Hospitals: Problems In Reflective Nursing Practice And The Role Of Cognitive Dissonance,https://w3id.org/oc/meta/id/06720668948,https://w3id.org/oc/meta/ar/062303630227,https://w3id.org/oc/meta/re/06230655292,https://w3id.org/oc/meta/br/06230856095,http://purl.org/spar/fabio/JournalArticle
b6,10.1016/j.nepr.2017.06.004,2017-09,Teaching Psychology To Nursing Students-A Discussion Of The Potential Contribution Of Psychology Towards Building Resilience To Lapses In Compassionate Caring,https://w3id.org/oc/meta/id/06440812747,https://w3id.org/oc/meta/ar/069011105696,https://w3id.org/oc/meta/re/06902030093,https://w3id.org/oc/meta/br/0618053624,http://purl.org/spar/fabio/JournalArticle
b7,10.1086/222197,1957-09,"A Study Of Thinking.J. S. Bruner , J. J. Goodnow , G. A. Austin",https://w3id.org/oc/meta/id/063901181616,https://w3id.org/oc/meta/ar/061109828822,https://w3id.org/oc/meta/re/061101822181,https://w3id.org/oc/meta/br/0625042709,http://purl.org/spar/fabio/JournalArticle
b8,10.1016/j.nedt.2018.04.002,2018-07,The Impact Of ‘Missed Care’ On The Professional Socialisation Of Nursing Students: A Qualitative Research Study,https://w3id.org/oc/meta/id/0689056657,https://w3id.org/oc/meta/ar/062203698033,https://w3id.org/oc/meta/re/06220660942,https://w3id.org/oc/meta/br/06220857441,http://purl.org/spar/fabio/JournalArticle
b12,10.1016/j.nedt.2017.12.005,2018-03,Exploring The Cultural Competence Of Undergraduate Nursing Students In Saudi Arabia,https://w3id.org/oc/meta/id/06750180196,https://w3id.org/oc/meta/ar/062203698677,https://w3id.org/oc/meta/re/06220661068,https://w3id.org/oc/meta/br/06220857445,http://purl.org/spar/fabio/JournalArticle
b13,10.1111/jocn.12500,2013-12-26,Cultural Challenges And Barriers Through The Voices Of Nurses,https://w3id.org/oc/meta/id/06601048162,https://w3id.org/oc/meta/ar/06604217549,https://w3id.org/oc/meta/re/0660788678,https://w3id.org/oc/meta/br/063021772,http://purl.org/spar/fabio/JournalArticle
b14,10.1111/jocn.12141,2013-03-11,Care And Compassion: The Experiences Of Newly Qualified Staff Nurses,https://w3id.org/oc/meta/id/06701034328,https://w3id.org/oc/meta/ar/06704164887,https://w3id.org/oc/meta/re/0670775863,https://w3id.org/oc/meta/br/063021782,http://purl.org/spar/fabio/JournalArticle
b16,10.1111/jocn.13352,2016-06-15,Recognising And Responding To ‘Cutting Corners’ When Providing Nursing Care: A Qualitative Study,https://w3id.org/oc/meta/id/06501054827,https://w3id.org/oc/meta/ar/06504257623,https://w3id.org/oc/meta/re/0650792494,https://w3id.org/oc/meta/br/063021738,http://purl.org/spar/fabio/JournalArticle
b17,10.1016/j.ijnurstu.2015.02.012,2015-06,"Unfinished Nursing Care, Missed Care, And Implicitly Rationed Care: State Of The Science Review",https://w3id.org/oc/meta/id/06603837266,https://w3id.org/oc/meta/ar/061601550638,https://w3id.org/oc/meta/re/06160260465,https://w3id.org/oc/meta/br/06160407602,http://purl.org/spar/fabio/JournalArticle
b18,10.1016/j.outlook.2017.09.002,2018-03,Diversity And Education Of The Nursing Workforce 2006–2016,https://w3id.org/oc/meta/id/063301180311,https://w3id.org/oc/meta/ar/062403140897,https://w3id.org/oc/meta/re/06240557969,https://w3id.org/oc/meta/br/06240733147,http://purl.org/spar/fabio/JournalArticle
b19,10.1111/jocn.13926,2017-08-03,Understanding Nurses’ Concerns When Caring For Patients From Diverse Cultural And Ethnic Backgrounds,https://w3id.org/oc/meta/id/06820324842,https://w3id.org/oc/meta/ar/06504255041,https://w3id.org/oc/meta/re/0650791966,https://w3id.org/oc/meta/br/06501000586,http://purl.org/spar/fabio/JournalArticle
b20,10.1186/s12939-017-0571-5,2017-05-12,Organisational Systems’ Approaches To Improving Cultural Competence In Healthcare: A Systematic Scoping Review Of The Literature,https://w3id.org/oc/meta/id/062104274688,https://w3id.org/oc/meta/ar/0620913225,,https://w3id.org/oc/meta/br/062403041,http://purl.org/spar/fabio/JournalArticle
b21,10.3109/10398562.2011.562296,2011-04,Blame And Accountability 1: Understanding Blame And Blame Pathologies,https://w3id.org/oc/meta/id/061304115457,https://w3id.org/oc/meta/ar/061808297894,https://w3id.org/oc/meta/re/061801585859,https://w3id.org/oc/meta/br/0613040236,http://purl.org/spar/fabio/JournalArticle
b22,10.1111/jonm.12498,2017-10-27,Barriers And Facilitators Of Care For Diverse Patients: Nurse Leader Perspectives And Nurse Manager Implications,https://w3id.org/oc/meta/id/06904123523,https://w3id.org/oc/meta/ar/0619013514442,https://w3id.org/oc/meta/re/061902449872,https://w3id.org/oc/meta/br/061903352597,http://purl.org/spar/fabio/JournalArticle
b24,10.7748/ns2013.04.27.31.35.e7040,2013-04-03,Cross-cultural Communication Barriers In Health Care,https://w3id.org/oc/meta/id/0690812718,https://w3id.org/oc/meta/ar/06903171914,https://w3id.org/oc/meta/re/0690569214,https://w3id.org/oc/meta/br/0611015192,http://purl.org/spar/fabio/JournalArticle
b25,10.1186/1472-6963-14-99,2014-03-03,Interventions To Improve Cultural Competency In Healthcare: A Systematic Review Of Reviews,https://w3id.org/oc/meta/id/06804592195,https://w3id.org/oc/meta/ar/0650589229,,https://w3id.org/oc/meta/br/062102374,http://purl.org/spar/fabio/JournalArticle
b27,10.1016/j.nedt.2018.08.012,2018-11,Nursing Students' Cultural Competence In Caring For Older People In A Multicultural And Developing Region,https://w3id.org/oc/meta/id/06750180079,https://w3id.org/oc/meta/ar/062203697466,https://w3id.org/oc/meta/re/06220660824,https://w3id.org/oc/meta/br/06220857437,http://purl.org/spar/fabio/JournalArticle
