reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b1,10.1145/2980179.2980257,2016-11-11,Jump,https://w3id.org/oc/meta/id/06440787280,https://w3id.org/oc/meta/ar/061504334780,https://w3id.org/oc/meta/re/06150804665,https://w3id.org/oc/meta/br/061501011651,http://purl.org/spar/fabio/JournalArticle
b2,10.1145/383259.383309,2001,Unstructured Lumigraph Rendering,https://w3id.org/oc/meta/id/06820378666,https://w3id.org/oc/meta/ar/0612013565653,,https://w3id.org/oc/meta/br/061203348807,http://purl.org/spar/fabio/ProceedingsPaper
b3,10.1145/344779.344932,2000,Plenoptic Sampling,https://w3id.org/oc/meta/id/06820378300,https://w3id.org/oc/meta/ar/0612013565525,,https://w3id.org/oc/meta/br/061203348768,http://purl.org/spar/fabio/ProceedingsPaper
b4,10.1145/2487228.2487238,2013-06,Depth Synthesis And Local Warps For Plausible Image-Based Navigation,https://w3id.org/oc/meta/id/06705900339,https://w3id.org/oc/meta/ar/061604289513,https://w3id.org/oc/meta/re/06160800064,https://w3id.org/oc/meta/br/061601010044,http://purl.org/spar/fabio/JournalArticle
b5,10.1109/iccv.2017.168,2017-10,Photographic Image Synthesis With Cascaded Refinement Networks,https://w3id.org/oc/meta/id/06501925321,https://w3id.org/oc/meta/ar/06508722253,,https://w3id.org/oc/meta/br/06501924842,http://purl.org/spar/fabio/ProceedingsPaper
b6,10.1145/166117.166153,1993,View Interpolation For Image Synthesis,https://w3id.org/oc/meta/id/06504981111,https://w3id.org/oc/meta/ar/0612013565344,,https://w3id.org/oc/meta/br/061203348721,http://purl.org/spar/fabio/ProceedingsPaper
b7,10.1111/j.1467-8659.2012.03009.x,2012-05,Unstructured Light Fields,https://w3id.org/oc/meta/id/062201517012,https://w3id.org/oc/meta/ar/062206484171,https://w3id.org/oc/meta/re/062201213210,https://w3id.org/oc/meta/br/062201475915,http://purl.org/spar/fabio/JournalArticle
b8,10.1145/237170.237191,1996,Modeling And Rendering Architecture From Photographs,https://w3id.org/oc/meta/id/06820378765,https://w3id.org/oc/meta/ar/0612013565668,,https://w3id.org/oc/meta/br/061203348811,http://purl.org/spar/fabio/ProceedingsPaper
b10,10.1109/cvpr.2016.595,2016-06,Deep Stereo: Learning To Predict New Views From The World's Imagery,https://w3id.org/oc/meta/id/06950408312,https://w3id.org/oc/meta/ar/0612010742065,,https://w3id.org/oc/meta/br/061202474682,http://purl.org/spar/fabio/ProceedingsPaper
b11,10.1145/237170.237200,1996,The Lumigraph,https://w3id.org/oc/meta/id/06820378174,https://w3id.org/oc/meta/ar/0612013565638,,https://w3id.org/oc/meta/br/061203348802,http://purl.org/spar/fabio/ProceedingsPaper
b12,10.1145/3130800.3130828,2017-11-20,Casual 3D Photography,https://w3id.org/oc/meta/id/06480548204,https://w3id.org/oc/meta/ar/061504333333,https://w3id.org/oc/meta/re/06150804394,https://w3id.org/oc/meta/br/061501012005,http://purl.org/spar/fabio/JournalArticle
b13,10.1145/3197517.3201384,2018-08-31,Instant 3D Photography,https://w3id.org/oc/meta/id/062305775460,https://w3id.org/oc/meta/ar/061504332161,https://w3id.org/oc/meta/re/06150804182,https://w3id.org/oc/meta/br/061501011824,http://purl.org/spar/fabio/JournalArticle
b14,10.1145/3272127.3275084,2018-12-31,Deep Blending For Free-Viewpoint Image-Based Rendering,https://w3id.org/oc/meta/id/062305775561,https://w3id.org/oc/meta/ar/061504331454,https://w3id.org/oc/meta/re/06150804061,https://w3id.org/oc/meta/br/061501011729,http://purl.org/spar/fabio/JournalArticle
b15,10.1145/2980179.2982420,2016-11-11,Scalable Inside-Out Image-Based Rendering,https://w3id.org/oc/meta/id/061501055098,https://w3id.org/oc/meta/ar/061504334739,https://w3id.org/oc/meta/re/06150804657,https://w3id.org/oc/meta/br/061501011651,http://purl.org/spar/fabio/JournalArticle
b16,10.1109/cvpr.2018.00298,2018-06,DeepMVS: Learning Multi-view Stereopsis,https://w3id.org/oc/meta/id/062402298386,https://w3id.org/oc/meta/ar/0624010108748,,https://w3id.org/oc/meta/br/062402304458,http://purl.org/spar/fabio/ProceedingsPaper
b17,10.1145/2980179.2980251,2016-11-11,Learning-based View Synthesis For Light Field Cameras,https://w3id.org/oc/meta/id/061501055127,https://w3id.org/oc/meta/ar/061504334904,https://w3id.org/oc/meta/re/06150804686,https://w3id.org/oc/meta/br/061501011651,http://purl.org/spar/fabio/JournalArticle
b18,10.1145/2487228.2487237,2013-06,Screened Poisson Surface Reconstruction,https://w3id.org/oc/meta/id/06705900073,https://w3id.org/oc/meta/ar/061604289531,https://w3id.org/oc/meta/re/06160800068,https://w3id.org/oc/meta/br/061601010044,http://purl.org/spar/fabio/JournalArticle
b19,10.1145/3072959.3073617,2017-07-20,3DTV At Home,https://w3id.org/oc/meta/id/06480548549,https://w3id.org/oc/meta/ar/061504334166,https://w3id.org/oc/meta/re/06150804551,https://w3id.org/oc/meta/br/0611021780,http://purl.org/spar/fabio/JournalArticle
b20,10.1109/iccv.2017.17,2017-10,End-to-End Learning Of Geometry And Context For Deep Stereo Regression,https://w3id.org/oc/meta/id/06501925755,https://w3id.org/oc/meta/ar/06508724400,,https://w3id.org/oc/meta/br/06501925267,http://purl.org/spar/fabio/ProceedingsPaper
b22,10.1145/2508363.2508369,2013-11,Image-based Rendering In The Gradient Domain,https://w3id.org/oc/meta/id/0676011650,https://w3id.org/oc/meta/ar/061604288826,https://w3id.org/oc/meta/re/06160799934,https://w3id.org/oc/meta/br/0611021784,http://purl.org/spar/fabio/JournalArticle
b23,10.1145/192161.192283,1994,Fast Volume Rendering Using A Shear-Warp Factorization Of The Viewing Transformation,https://w3id.org/oc/meta/id/06820378450,https://w3id.org/oc/meta/ar/0612013564635,,https://w3id.org/oc/meta/br/061203348515,http://purl.org/spar/fabio/ProceedingsPaper
b24,10.1145/1457515.1409084,2008,Shield Fields,https://w3id.org/oc/meta/id/062305567157,https://w3id.org/oc/meta/ar/066014145275,,https://w3id.org/oc/meta/br/06603391054,http://purl.org/spar/fabio/ProceedingsPaper
b26,10.1145/237170.237199,1996,Light Field Rendering,https://w3id.org/oc/meta/id/061905177083,https://w3id.org/oc/meta/ar/0611013610588,,https://w3id.org/oc/meta/br/061103362246,http://purl.org/spar/fabio/ProceedingsPaper
b27,10.1145/218380.218398,1995,Plenoptic Modeling,https://w3id.org/oc/meta/id/06820378554,https://w3id.org/oc/meta/ar/0612013565264,,https://w3id.org/oc/meta/br/061203348701,http://purl.org/spar/fabio/ProceedingsPaper
b28,10.1109/3dv.2015.59,2015-10,A Bayesian Approach For Selective Image-Based Rendering Using Superpixels,https://w3id.org/oc/meta/id/061202457506,https://w3id.org/oc/meta/ar/0612010822820,,https://w3id.org/oc/meta/br/061202509684,http://purl.org/spar/fabio/ProceedingsPaper
b29,10.1145/3272127.3275031,2018-12-31,"A System For Acquiring, Processing, And Rendering Panoramic Light Field Stills For Virtual Reality",https://w3id.org/oc/meta/id/062305775418,https://w3id.org/oc/meta/ar/061504331929,https://w3id.org/oc/meta/re/06150804141,https://w3id.org/oc/meta/br/061501011729,http://purl.org/spar/fabio/JournalArticle
b30,10.1145/3130800.3130855,2017-11-20,Soft 3D Reconstruction For View Synthesis,https://w3id.org/oc/meta/id/06480548297,https://w3id.org/oc/meta/ar/061504333384,https://w3id.org/oc/meta/re/06150804404,https://w3id.org/oc/meta/br/061501012005,http://purl.org/spar/fabio/JournalArticle
b31,10.1145/800031.808606,1984,Compositing Digital Images,https://w3id.org/oc/meta/id/06820378408,https://w3id.org/oc/meta/ar/0612013564953,,https://w3id.org/oc/meta/br/061203348604,http://purl.org/spar/fabio/ProceedingsPaper
b32,10.1145/3123266.3129396,2017-10-19,UnrealCV,https://w3id.org/oc/meta/id/06610790387,https://w3id.org/oc/meta/ar/0624010229243,,https://w3id.org/oc/meta/br/062402356422,http://purl.org/spar/fabio/ProceedingsPaper
b33,10.1109/cvpr.2016.445,2016-06,Structure-from-Motion Revisited,https://w3id.org/oc/meta/id/06902444898,https://w3id.org/oc/meta/ar/069010671344,,https://w3id.org/oc/meta/br/06902501193,http://purl.org/spar/fabio/ProceedingsPaper
b34,10.1007/978-3-319-46487-9_31,2016,Pixelwise View Selection For Unstructured Multi-View Stereo,https://w3id.org/oc/meta/id/061304948483,https://w3id.org/oc/meta/ar/0612010507768,https://w3id.org/oc/meta/re/061201917114,https://w3id.org/oc/meta/br/0611065043,http://purl.org/spar/fabio/BookChapter
b35,10.1145/280814.280882,1998,Layered Depth Images,https://w3id.org/oc/meta/id/061905176588,https://w3id.org/oc/meta/ar/0611013611449,,https://w3id.org/oc/meta/br/061103362512,http://purl.org/spar/fabio/ProceedingsPaper
b36,10.1117/12.386541,2000-05-30,Review Of Image-Based Rendering Techniques,https://w3id.org/oc/meta/id/061803133574,https://w3id.org/oc/meta/ar/0618013501745,,https://w3id.org/oc/meta/br/061803384887,http://purl.org/spar/fabio/ProceedingsPaper
b37,10.1145/2185520.2185596,2012-08-05,Image-based Rendering For Scenes With Reflections,https://w3id.org/oc/meta/id/06705900227,https://w3id.org/oc/meta/ar/061604290496,https://w3id.org/oc/meta/re/06160800258,https://w3id.org/oc/meta/br/061601010154,http://purl.org/spar/fabio/JournalArticle
b38,10.1109/cvpr.2017.28,2017-07,Semantic Scene Completion From A Single Depth Image,https://w3id.org/oc/meta/id/06502595910,https://w3id.org/oc/meta/ar/065011621396,,https://w3id.org/oc/meta/br/06502747285,http://purl.org/spar/fabio/ProceedingsPaper
b39,10.1109/iccv.2017.246,2017-10,Learning To Synthesize A 4D RGBD Light Field From A Single Image,https://w3id.org/oc/meta/id/06880418867,https://w3id.org/oc/meta/ar/06508723863,,https://w3id.org/oc/meta/br/06501925166,http://purl.org/spar/fabio/ProceedingsPaper
b41,10.1145/1964921.1964990,2011,Layered 3D,https://w3id.org/oc/meta/id/06560770703,https://w3id.org/oc/meta/ar/0612012505757,,https://w3id.org/oc/meta/br/061203008970,http://purl.org/spar/fabio/ProceedingsPaper
b42,10.1145/2185520.2185576,2012-08-05,Tensor Displays,https://w3id.org/oc/meta/id/06705900201,https://w3id.org/oc/meta/ar/061604290423,https://w3id.org/oc/meta/re/06160800244,https://w3id.org/oc/meta/br/061601010154,http://purl.org/spar/fabio/JournalArticle
b43,10.1145/1186822.1073259,2005,High Performance Imaging Using Large Camera Arrays,https://w3id.org/oc/meta/id/06905286234,https://w3id.org/oc/meta/ar/066015316747,,https://w3id.org/oc/meta/br/06603767514,http://purl.org/spar/fabio/ProceedingsPaper
b44,10.1145/344779.344925,2000,Surface Light Fields For 3D Photography,https://w3id.org/oc/meta/id/061905176554,https://w3id.org/oc/meta/ar/0611013612643,,https://w3id.org/oc/meta/br/061103362834,http://purl.org/spar/fabio/ProceedingsPaper
b47,10.1109/tcsvt.2003.817350,2003-11,Spectral Analysis For Sampling Image-Based Rendering Data,https://w3id.org/oc/meta/id/061901206295,https://w3id.org/oc/meta/ar/061905015239,https://w3id.org/oc/meta/re/06190942054,https://w3id.org/oc/meta/br/061901172677,http://purl.org/spar/fabio/JournalArticle
