reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1176/appi.books.9780890425596,2013-05-22,Diagnostic And Statistical Manual Of Mental Disorders,https://w3id.org/oc/meta/id/06850483591,https://w3id.org/oc/meta/ar/069012496161,,,http://purl.org/spar/fabio/Expression
b1,10.1073/pnas.1516191113,2016-04-04,A Neural Link Between Affective Understanding And Interpersonal Attraction,https://w3id.org/oc/meta/id/061502904067,https://w3id.org/oc/meta/ar/0615012678734,,https://w3id.org/oc/meta/br/0621061052,http://purl.org/spar/fabio/JournalArticle
b2,10.7551/mitpress/4635.001.0001,1995,Mindblindness,https://w3id.org/oc/meta/id/06102433551,https://w3id.org/oc/meta/ar/061010926312,,,http://purl.org/spar/fabio/Expression
b3,10.1080/13668250410001709494,2004-06,Elicited Imitation In Children And Adults With Autism: Is There A Deficit?,https://w3id.org/oc/meta/id/06680334482,https://w3id.org/oc/meta/ar/061308078608,https://w3id.org/oc/meta/re/061301501683,https://w3id.org/oc/meta/br/061301802631,http://purl.org/spar/fabio/JournalArticle
b4,10.1016/s2215-0366(17)30162-1,2017-06,Understanding And Prevention Of Suicide In Autism,https://w3id.org/oc/meta/id/061904498751,https://w3id.org/oc/meta/ar/0619015021391,https://w3id.org/oc/meta/re/062402273,https://w3id.org/oc/meta/br/0624065159,http://purl.org/spar/fabio/JournalArticle
b5,10.1037/abn0000199,2016-10,Interaction Takes Two: Typical Adults Exhibit Mind-Blindness Towards Those With Autism Spectrum Disorder.,https://w3id.org/oc/meta/id/06603841501,https://w3id.org/oc/meta/ar/062206452722,https://w3id.org/oc/meta/re/062201207051,https://w3id.org/oc/meta/br/06604077112,http://purl.org/spar/fabio/JournalArticle
b6,10.1007/s10803-014-2194-7,2014-07-19,Evaluating Posed And Evoked Facial Expressions Of Emotion From Adults With Autism Spectrum Disorder,https://w3id.org/oc/meta/id/061903800465,https://w3id.org/oc/meta/ar/061202397580,https://w3id.org/oc/meta/re/06120427302,https://w3id.org/oc/meta/br/06120580558,http://purl.org/spar/fabio/JournalArticle
b7,10.1016/s1364-6613(98)01262-5,1998,Mirror Neurons And The Simulation Theory Of Mind-Reading.,https://w3id.org/oc/meta/id/06110288678,https://w3id.org/oc/meta/ar/06110719833,https://w3id.org/oc/meta/re/06110126490,https://w3id.org/oc/meta/br/06504131,http://purl.org/spar/fabio/JournalArticle
b8,10.1044/1092-4388(2012/12-0067),2013,Emotional Facial And Vocal Expressions During Story Retelling By Children And Adolescents With High-Functioning Autism.,https://w3id.org/oc/meta/id/062404169564,https://w3id.org/oc/meta/ar/0622011720309,https://w3id.org/oc/meta/re/062202151095,https://w3id.org/oc/meta/br/0623062916,http://purl.org/spar/fabio/JournalArticle
b9,10.2307/1416950,1944-04,An Experimental Study Of Apparent Behavior,https://w3id.org/oc/meta/id/06470978298,https://w3id.org/oc/meta/ar/061309827246,https://w3id.org/oc/meta/re/061301833107,https://w3id.org/oc/meta/br/0623054530,http://purl.org/spar/fabio/JournalArticle
b10,10.1016/s1364-6613(98)01230-3,1998,Development Itself Is The Key To Understanding Developmental Disorders.,https://w3id.org/oc/meta/id/06110288436,https://w3id.org/oc/meta/ar/06110719239,https://w3id.org/oc/meta/re/06110126248,https://w3id.org/oc/meta/br/06504131,http://purl.org/spar/fabio/JournalArticle
b11,10.1007/s10803-013-1966-9,2013-10-24,Beyond Modularisation: The Need Of A Socio-Neuro-Constructionist Model Of Autism,https://w3id.org/oc/meta/id/061903800260,https://w3id.org/oc/meta/ar/061202398820,https://w3id.org/oc/meta/re/06120427501,https://w3id.org/oc/meta/br/06120580558,http://purl.org/spar/fabio/JournalArticle
b12,10.1111/j.1469-7610.1989.tb00288.x,1989-11,Recognition And Expression Of Emotional Cues By Autistic And Normal Adults,https://w3id.org/oc/meta/id/0667025928,https://w3id.org/oc/meta/ar/06604017852,https://w3id.org/oc/meta/re/0660745688,https://w3id.org/oc/meta/br/069026512,http://purl.org/spar/fabio/JournalArticle
b13,10.1080/09687599.2012.710008,2012-10,On The Ontological Status Of Autism: The ‘Double Empathy Problem’,https://w3id.org/oc/meta/id/062801060540,https://w3id.org/oc/meta/ar/062503189794,https://w3id.org/oc/meta/re/06250555031,https://w3id.org/oc/meta/br/06250730632,http://purl.org/spar/fabio/JournalArticle
b15,10.1016/j.jneumeth.2006.11.017,2007-05,PsychoPy—Psychophysics Software In Python,https://w3id.org/oc/meta/id/0630526734,https://w3id.org/oc/meta/ar/06301784316,https://w3id.org/oc/meta/re/0630310237,https://w3id.org/oc/meta/br/0630463269,http://purl.org/spar/fabio/JournalArticle
b16,10.1371/journal.pone.0049859,2012-11-30,Can People Guess What Happened To Others From Their Reactions?,https://w3id.org/oc/meta/id/06904453706,https://w3id.org/oc/meta/ar/062406679338,https://w3id.org/oc/meta/re/062401239435,https://w3id.org/oc/meta/br/068037936,http://purl.org/spar/fabio/JournalArticle
b17,10.1007/s10803-014-2106-x,2014-04-08,Using Other Minds As A Window Onto The World: Guessing What Happened From Clues In Behaviour,https://w3id.org/oc/meta/id/061903800386,https://w3id.org/oc/meta/ar/061202398062,https://w3id.org/oc/meta/re/06120427380,https://w3id.org/oc/meta/br/06120580563,http://purl.org/spar/fabio/JournalArticle
b18,10.1016/j.neubiorev.2012.07.004,2012-10,"Cognitive And Affective Theory Of Mind In Neurodegenerative Diseases: Neuropsychological, Neuroanatomical And Neurochemical Levels",https://w3id.org/oc/meta/id/06680473848,https://w3id.org/oc/meta/ar/062304126519,https://w3id.org/oc/meta/re/06230754893,https://w3id.org/oc/meta/br/06230968967,http://purl.org/spar/fabio/JournalArticle
