reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b1,10.1016/j.cvsm.2007.12.002,2008-03,Immunopathogenesis Of Keratoconjunctivitis Sicca In The Dog,https://w3id.org/oc/meta/id/062404572587,https://w3id.org/oc/meta/ar/062206896053,https://w3id.org/oc/meta/re/062201293684,https://w3id.org/oc/meta/br/062201564212,http://purl.org/spar/fabio/JournalArticle
b2,10.1016/j.jtos.2017.08.003,2017-10,TFOS DEWS II Report Executive Summary,https://w3id.org/oc/meta/id/062104596742,https://w3id.org/oc/meta/ar/061505000223,https://w3id.org/oc/meta/re/06150936530,https://w3id.org/oc/meta/br/061501158254,http://purl.org/spar/fabio/JournalArticle
b3,10.2460/ajvr.70.3.394,2009-03,"Effects Of Feline Herpesvirus Type 1 On Tear Film Break-Up Time, Schirmer Tear Test Results, And Conjunctival Goblet Cell Density In Experimentally Infected Cats",https://w3id.org/oc/meta/id/06390978094,https://w3id.org/oc/meta/ar/061309837588,https://w3id.org/oc/meta/re/061301836279,https://w3id.org/oc/meta/br/061302198519,http://purl.org/spar/fabio/JournalArticle
b4,10.1046/j.1463-5224.1999.00082.x,1999-09,Ulcerative Keratitis Associated With Qualitative Tear Film Abnormalities In Cats,https://w3id.org/oc/meta/id/06680915532,https://w3id.org/oc/meta/ar/062604834542,https://w3id.org/oc/meta/re/06260896858,https://w3id.org/oc/meta/br/062601132888,http://purl.org/spar/fabio/JournalArticle
b5,10.1111/j.1463-5224.2005.00362.x,2005-05,Qualitative Tear Film And Conjunctival Goblet Cell Assessment Of Cats With Corneal Sequestra,https://w3id.org/oc/meta/id/06680915998,https://w3id.org/oc/meta/ar/062604833328,https://w3id.org/oc/meta/re/06260896594,https://w3id.org/oc/meta/br/062601132865,http://purl.org/spar/fabio/JournalArticle
b6,10.1111/j.1463-5224.2005.00403.x,2005-09,Schirmer Tear Test Values And Tear Film Break-Up Times In Cats With Conjunctivitis,https://w3id.org/oc/meta/id/06340584254,https://w3id.org/oc/meta/ar/062604833224,https://w3id.org/oc/meta/re/06260896574,https://w3id.org/oc/meta/br/062601132863,http://purl.org/spar/fabio/JournalArticle
b7,10.2460/javma.246.4.426,2015-02-15,"Reference Values, Intertest Correlations, And Test-Retest Repeatability Of Selected Tear Film Tests In Healthy Cats",https://w3id.org/oc/meta/id/06510943235,https://w3id.org/oc/meta/ar/0624010846540,https://w3id.org/oc/meta/re/062401963779,https://w3id.org/oc/meta/br/062402563622,http://purl.org/spar/fabio/JournalArticle
b9,10.1111/j.1463-5224.2005.00390.x,2005-07,Effect Of Topical 0.02% Tacrolimus Aqueous Suspension On Tear Production In Dogs With Keratoconjunctivitis Sicca,https://w3id.org/oc/meta/id/06680915744,https://w3id.org/oc/meta/ar/062604833313,https://w3id.org/oc/meta/re/06260896591,https://w3id.org/oc/meta/br/062601132864,http://purl.org/spar/fabio/JournalArticle
b10,10.4061/2011/487592,2011,An Investigation Comparing The Efficacy Of Topical Ocular Application Of Tacrolimus And Cyclosporine In Dogs,https://w3id.org/oc/meta/id/06102397511,https://w3id.org/oc/meta/ar/061010782087,https://w3id.org/oc/meta/re/06101901200,https://w3id.org/oc/meta/br/06102515682,http://purl.org/spar/fabio/JournalArticle
b12,10.1177/1098612x12464628,2012-12-19,Routine Health Screening,https://w3id.org/oc/meta/id/06204475742,https://w3id.org/oc/meta/ar/06607560740,https://w3id.org/oc/meta/re/06601384221,https://w3id.org/oc/meta/br/06601677017,http://purl.org/spar/fabio/JournalArticle
b13,10.1016/j.exer.2003.09.003,2004-03,The Role Of The Lacrimal Functional Unit In The Pathophysiology Of Dry Eye,https://w3id.org/oc/meta/id/06103802822,https://w3id.org/oc/meta/ar/06230527840,https://w3id.org/oc/meta/re/0623094904,https://w3id.org/oc/meta/br/062101727,http://purl.org/spar/fabio/JournalArticle
b14,10.1097/ico.0b013e31820687dd,2011-09,Usefulness Of Double Vital Staining With 1% Fluorescein And 1% Lissamine Green In Patients With Dry Eye Syndrome,https://w3id.org/oc/meta/id/06504194652,https://w3id.org/oc/meta/ar/061303093010,https://w3id.org/oc/meta/re/06130551226,https://w3id.org/oc/meta/br/06130722084,http://purl.org/spar/fabio/JournalArticle
b15,10.1111/vop.12436,2016-10-20,Assessment Of Tear Film Osmolarity Using The TearLab™ Osmometer In Normal Dogs And Dogs With Keratoconjunctivitis Sicca,https://w3id.org/oc/meta/id/06504568715,https://w3id.org/oc/meta/ar/062504878579,https://w3id.org/oc/meta/re/06250892464,https://w3id.org/oc/meta/br/062501103686,http://purl.org/spar/fabio/JournalArticle
b16,10.1111/j.1463-5224.2011.00916.x,2011-09,Tear-film Osmolarity In Normal Cats And Cats With Conjunctivitis,https://w3id.org/oc/meta/id/061504254991,https://w3id.org/oc/meta/ar/062604830587,https://w3id.org/oc/meta/re/06260896077,https://w3id.org/oc/meta/br/0618025644,http://purl.org/spar/fabio/JournalArticle
b17,10.1111/j.1463-5224.2010.00778.x,2010-05,Lip Commissure To Eyelid Transposition For Repair Of Feline Eyelid Agenesis,https://w3id.org/oc/meta/id/061504254885,https://w3id.org/oc/meta/ar/062604831525,https://w3id.org/oc/meta/re/06260896248,https://w3id.org/oc/meta/br/062601132842,http://purl.org/spar/fabio/JournalArticle
