reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1039/c0cs00077a,2011,Recent Advances In Catalytic Asymmetric Epoxidation Using The Environmentally Benign Oxidant Hydrogen Peroxide And Its Derivatives,https://w3id.org/oc/meta/id/0664076158,https://w3id.org/oc/meta/ar/065013851452,https://w3id.org/oc/meta/re/06502397933,https://w3id.org/oc/meta/br/06503288407,http://purl.org/spar/fabio/JournalArticle,N/A,Recent Advances In Catalytic Asymmetric Epoxidation Using The Environmentally Benign Oxidant Hydrogen Peroxide And Its Derivatives,27,10.1039/c0cs00077a,https://w3id.org/oc/meta/br/06503287534,year_volume_page
ref_2,10.1021/cr500064w,2014-05-01,Organocatalytic Asymmetric Epoxidation And Aziridination Of Olefins And Their Synthetic Applications,https://w3id.org/oc/meta/id/06103764083,https://w3id.org/oc/meta/ar/0620294938,https://w3id.org/oc/meta/re/062053807,https://w3id.org/oc/meta/br/0624040,http://purl.org/spar/fabio/JournalArticle,N/A,Organocatalytic Asymmetric Epoxidation And Aziridination Of Olefins And Their Synthetic Applications,27,10.1021/cr500064w,https://w3id.org/oc/meta/br/0620119534,year_volume_page
ref_3,10.1021/ja00163a052,1990-03,Enantioselective Epoxidation Of Unfunctionalized Olefins Catalyzed By Salen Manganese Complexes,https://w3id.org/oc/meta/id/06401583123,https://w3id.org/oc/meta/ar/06406860732,https://w3id.org/oc/meta/re/06401269379,https://w3id.org/oc/meta/br/0611035776,http://purl.org/spar/fabio/JournalArticle,N/A,Enantioselective Epoxidation Of Unfunctionalized Olefins Catalyzed By Salen Manganese Complexes,27,10.1021/ja00163a052,https://w3id.org/oc/meta/br/06401552869,year_volume_page
ref_4,10.1016/s0040-4039(00)88562-7,1990,Catalytic Asymmetric Epoxidation Of Unfunctionalized Olefins,https://w3id.org/oc/meta/id/06160772617,https://w3id.org/oc/meta/ar/061602977387,https://w3id.org/oc/meta/re/06160539328,https://w3id.org/oc/meta/br/061014337,http://purl.org/spar/fabio/JournalArticle,N/A,Catalytic Asymmetric Epoxidation Of Unfunctionalized Olefins,34,10.1016/s0040-4039(00)88562-7,https://w3id.org/oc/meta/br/06160722036,year_author_page
ref_5,10.1021/ic034578w,2003-10-03,CrIII(salen)Cl Catalyzed Asymmetric Epoxidations: Insight Into The Catalytic Cycle,https://w3id.org/oc/meta/id/061202137280,https://w3id.org/oc/meta/ar/061209497918,https://w3id.org/oc/meta/re/061201747252,https://w3id.org/oc/meta/br/061202108355,http://purl.org/spar/fabio/JournalArticle,N/A,CrIII(salen)Cl Catalyzed Asymmetric Epoxidations: Insight Into The Catalytic Cycle,27,10.1021/ic034578w,https://w3id.org/oc/meta/br/061202107395,year_volume_page
ref_6,10.1002/adsc.201000428,2010-11-16,Reusable Chiral Dicationic Chromium(III) Salen Catalysts For Aminolytic Kinetic Resolution Of trans-Epoxides,https://w3id.org/oc/meta/id/06102874243,https://w3id.org/oc/meta/ar/061012875847,https://w3id.org/oc/meta/re/06102230754,https://w3id.org/oc/meta/br/06103103806,http://purl.org/spar/fabio/JournalArticle,N/A,Reusable Chiral Dicationic Chromium(III) Salen Catalysts For Aminolytic Kinetic Resolution Of trans-Epoxides,34,10.1002/adsc.201000428,https://w3id.org/oc/meta/br/06103103700,year_author_page
ref_7,10.1021/ja201873d,2011-05-16,"Iron-Catalyzed Asymmetric Epoxidation Of β,β-Disubstituted Enones",https://w3id.org/oc/meta/id/061801561698,https://w3id.org/oc/meta/ar/061806614677,https://w3id.org/oc/meta/re/061801262092,https://w3id.org/oc/meta/br/061801531664,http://purl.org/spar/fabio/JournalArticle,N/A,"Iron-Catalyzed Asymmetric Epoxidation Of β,β-Disubstituted Enones",34,10.1021/ja201873d,https://w3id.org/oc/meta/br/061801531055,year_author_page
ref_8,10.1021/jacs.5b11429,2015-12-14,Design Of A New Bimetallic Catalyst For Asymmetric Epoxidation And Sulfoxidation,https://w3id.org/oc/meta/id/06401580630,https://w3id.org/oc/meta/ar/06406846810,https://w3id.org/oc/meta/re/06401266889,https://w3id.org/oc/meta/br/06401550984,http://purl.org/spar/fabio/JournalArticle,N/A,Design Of A New Bimetallic Catalyst For Asymmetric Epoxidation And Sulfoxidation,34,10.1021/jacs.5b11429,https://w3id.org/oc/meta/br/06401550352,year_author_page
ref_9,10.1021/jacs.6b10836,2016-12-02,Photocatalytic Asymmetric Epoxidation Of Terminal Olefins Using Water As An Oxygen Source In The Presence Of A Mononuclear Non-Heme Chiral Manganese Complex,https://w3id.org/oc/meta/id/06201576402,https://w3id.org/oc/meta/ar/06206806760,https://w3id.org/oc/meta/re/06201273157,https://w3id.org/oc/meta/br/0611035007,http://purl.org/spar/fabio/JournalArticle,N/A,Photocatalytic Asymmetric Epoxidation Of Terminal Olefins Using Water As An Oxygen Source In The Presence Of A Mononuclear Non-Heme Chiral Manganese Complex,27,10.1021/jacs.6b10836,https://w3id.org/oc/meta/br/06201541956,year_volume_page
ref_10,10.1016/s0040-4039(99)00488-8,1999-04,"Chromium Salen Catalysed Asymmetric Alkene Epoxidation. Influence Of Substituents At The 3,3′-Positions On The Salen Rings",https://w3id.org/oc/meta/id/0670775763,https://w3id.org/oc/meta/ar/06702966796,https://w3id.org/oc/meta/re/0670536593,https://w3id.org/oc/meta/br/061013632,http://purl.org/spar/fabio/JournalArticle,N/A,"Chromium Salen Catalysed Asymmetric Alkene Epoxidation. Influence Of Substituents At The 3,3′-Positions On The Salen Rings",31,10.1016/s0040-4039(99)00488-8,https://w3id.org/oc/meta/br/0670719073,year_author_page
