reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,10.1080/00207543.2013.831220,2013-09-20,A Job Shop Scheduling Problem With Human Operators In Handicraft Production,https://w3id.org/oc/meta/id/0660476653,https://w3id.org/oc/meta/ar/06601557246,https://w3id.org/oc/meta/re/0660266356,https://w3id.org/oc/meta/br/061406317,http://purl.org/spar/fabio/JournalArticle,N/A,A Job Shop Scheduling Problem With Human Operators In Handicraft Production,26,10.1080/00207543.2013.831220,https://w3id.org/oc/meta/br/0660410057,year_volume_page
ref_3,10.1137/0803002,1993-02,A Cutting Plane Approach To The Sequential Ordering Problem (With Applications To Job Scheduling In Manufacturing),https://w3id.org/oc/meta/id/061902201099,https://w3id.org/oc/meta/ar/061909583849,https://w3id.org/oc/meta/re/061901798146,https://w3id.org/oc/meta/br/061902185172,http://purl.org/spar/fabio/JournalArticle,N/A,A Cutting Plane Approach To The Sequential Ordering Problem (With Applications To Job Scheduling In Manufacturing),34,10.1137/0803002,https://w3id.org/oc/meta/br/061902185059,year_author_page
ref_4,10.1016/j.ejor.2016.08.041,2017-04,A Generalized Classification Scheme For Crane Scheduling With Interference,https://w3id.org/oc/meta/id/06570646220,https://w3id.org/oc/meta/ar/06220751318,https://w3id.org/oc/meta/re/06220130032,https://w3id.org/oc/meta/br/06703333,http://purl.org/spar/fabio/JournalArticle,N/A,A Generalized Classification Scheme For Crane Scheduling With Interference,27,10.1016/j.ejor.2016.08.041,https://w3id.org/oc/meta/br/06220218672,year_volume_page
ref_5,10.1016/j.ejor.2009.05.031,2010-05,A Survey Of Berth Allocation And Quay Crane Scheduling Problems In Container Terminals,https://w3id.org/oc/meta/id/06260290820,https://w3id.org/oc/meta/ar/06260759708,https://w3id.org/oc/meta/re/06260131243,https://w3id.org/oc/meta/br/06260240033,http://purl.org/spar/fabio/JournalArticle,N/A,A Survey Of Berth Allocation And Quay Crane Scheduling Problems In Container Terminals,34,10.1016/j.ejor.2009.05.031,https://w3id.org/oc/meta/br/06260239306,year_author_page
ref_6,10.1016/j.ejor.2014.12.030,2015-08,A Follow-Up Survey Of Berth Allocation And Quay Crane Scheduling Problems In Container Terminals,https://w3id.org/oc/meta/id/06230297274,https://w3id.org/oc/meta/ar/06230748567,https://w3id.org/oc/meta/re/06230129623,https://w3id.org/oc/meta/br/06230229425,http://purl.org/spar/fabio/JournalArticle,N/A,A Follow-Up Survey Of Berth Allocation And Quay Crane Scheduling Problems In Container Terminals,34,10.1016/j.ejor.2014.12.030,https://w3id.org/oc/meta/br/06230228658,year_author_page
ref_7,10.1002/jos.120,2002,Complexity Results For Parallel Machine Problems With A Single Server,https://w3id.org/oc/meta/id/06840391728,https://w3id.org/oc/meta/ar/0621013083050,https://w3id.org/oc/meta/re/062102369512,https://w3id.org/oc/meta/br/062103121385,http://purl.org/spar/fabio/JournalArticle,N/A,Complexity Results For Parallel Machine Problems With A Single Server,34,10.1002/jos.120,https://w3id.org/oc/meta/br/062103121099,year_author_page
ref_8,10.1016/j.ejor.2004.04.010,2005-09,Complexity Results For Flow-Shop Problems With A Single Server,https://w3id.org/oc/meta/id/0630293119,https://w3id.org/oc/meta/ar/0630760811,https://w3id.org/oc/meta/re/0630131650,https://w3id.org/oc/meta/br/0630222371,http://purl.org/spar/fabio/JournalArticle,N/A,Complexity Results For Flow-Shop Problems With A Single Server,34,10.1016/j.ejor.2004.04.010,https://w3id.org/oc/meta/br/0630222031,year_author_page
ref_9,10.1137/s0036144596297514,1998-01,Well-Solvable Special Cases Of The Traveling Salesman Problem: A Survey,https://w3id.org/oc/meta/id/061305553990,https://w3id.org/oc/meta/ar/0613012715795,https://w3id.org/oc/meta/re/061302327372,https://w3id.org/oc/meta/br/0624058355,http://purl.org/spar/fabio/JournalArticle,N/A,Well-Solvable Special Cases Of The Traveling Salesman Problem: A Survey,34,10.1137/s0036144596297514,https://w3id.org/oc/meta/br/061303055727,year_author_page
ref_10,10.1080/00207543.2015.1126371,2015-12-30,Open Shop Scheduling Problem With A Multi-Skills Resource Constraint: A Genetic Algorithm And An Ant Colony Optimisation Approach,https://w3id.org/oc/meta/id/06940701948,https://w3id.org/oc/meta/ar/06501592340,https://w3id.org/oc/meta/re/0650266375,https://w3id.org/oc/meta/br/061406310,http://purl.org/spar/fabio/JournalArticle,N/A,Open Shop Scheduling Problem With A Multi-Skills Resource Constraint: A Genetic Algorithm And An Ant Colony Optimisation Approach,26,10.1080/00207543.2015.1126371,https://w3id.org/oc/meta/br/0650407648,year_volume_page
ref_11,10.1016/j.cie.2013.06.013,2013-09,An Ant Colony Optimization Routing Algorithm For Two Order Pickers With Congestion Consideration,https://w3id.org/oc/meta/id/063701302802,https://w3id.org/oc/meta/ar/062105588286,https://w3id.org/oc/meta/re/062101050821,https://w3id.org/oc/meta/br/062101291429,http://purl.org/spar/fabio/JournalArticle,N/A,An Ant Colony Optimization Routing Algorithm For Two Order Pickers With Congestion Consideration,34,10.1016/j.cie.2013.06.013,https://w3id.org/oc/meta/br/062101291138,year_author_volume
