reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1016/j.carbpol.2015.03.036,2015-08,"The Role Of Cellulosic Chains Of Cotton In Biosynthesis Of ZnO Nanorods Producing Multifunctional Properties: Mechanism, Characterizations And Features",https://w3id.org/oc/meta/id/06840173172,https://w3id.org/oc/meta/ar/0670436258,https://w3id.org/oc/meta/re/067075918,https://w3id.org/oc/meta/br/0670164568,http://purl.org/spar/fabio/JournalArticle,N/A,"The Role Of Cellulosic Chains Of Cotton In Biosynthesis Of ZnO Nanorods Producing Multifunctional Properties: Mechanism, Characterizations And Features",31,10.1016/j.carbpol.2015.03.036,https://w3id.org/oc/meta/br/0670163806,year_author_page
ref_2,10.1039/c6ra27036k,2017,Sustainable Oleic And Stearic Acid Based Biodegradable Surfactants,https://w3id.org/oc/meta/id/06510446551,https://w3id.org/oc/meta/ar/061504165726,https://w3id.org/oc/meta/re/06150772408,https://w3id.org/oc/meta/br/0624018976,http://purl.org/spar/fabio/JournalArticle,N/A,Sustainable Oleic And Stearic Acid Based Biodegradable Surfactants,34,10.1039/c6ra27036k,https://w3id.org/oc/meta/br/06150975876,year_author_page
ref_3,10.1016/j.pmatsci.2010.04.003,2011-01,"Natural And Biomimetic Artificial Surfaces For Superhydrophobicity, Self-Cleaning, Low Adhesion, And Drag Reduction",https://w3id.org/oc/meta/id/06501231589,https://w3id.org/oc/meta/ar/06505075936,https://w3id.org/oc/meta/re/0650953831,https://w3id.org/oc/meta/br/06501184605,http://purl.org/spar/fabio/JournalArticle,N/A,"Natural And Biomimetic Artificial Surfaces For Superhydrophobicity, Self-Cleaning, Low Adhesion, And Drag Reduction",27,10.1016/j.pmatsci.2010.04.003,https://w3id.org/oc/meta/br/06501183945,year_volume_page
ref_5,10.1016/j.coco.2017.03.003,2017-06,Acid And Temperature Dual-Responsive Cotton Fabrics With Polymer Coating,https://w3id.org/oc/meta/id/06910791812,https://w3id.org/oc/meta/ar/062105676883,https://w3id.org/oc/meta/re/062101065226,https://w3id.org/oc/meta/br/062101309054,http://purl.org/spar/fabio/JournalArticle,N/A,Acid And Temperature Dual-Responsive Cotton Fabrics With Polymer Coating,45,10.1016/j.coco.2017.03.003,https://w3id.org/oc/meta/br/062101308447,author_title
ref_6,10.1021/acssuschemeng.7b02549,2017-11-03,Sustainable And Biodegradable Superhydrophobic Coating From Epoxidized Soybean Oil And ZnO Nanoparticles On Cellulosic Substrates For Efficient Oil/Water Separation,https://w3id.org/oc/meta/id/062901301100,https://w3id.org/oc/meta/ar/0612010419457,https://w3id.org/oc/meta/re/061201898899,https://w3id.org/oc/meta/br/061202387093,http://purl.org/spar/fabio/JournalArticle,N/A,Sustainable And Biodegradable Superhydrophobic Coating From Epoxidized Soybean Oil And ZnO Nanoparticles On Cellulosic Substrates For Efficient Oil/Water Separation,27,10.1021/acssuschemeng.7b02549,https://w3id.org/oc/meta/br/061202386580,year_volume_page
ref_7,10.1016/j.carbpol.2018.07.046,2018-11,Cellulose Nanocrystal Coated Cotton Fabric With Superhydrophobicity For Efficient Oil/Water Separation,https://w3id.org/oc/meta/id/061104605683,https://w3id.org/oc/meta/ar/0630464189,https://w3id.org/oc/meta/re/063077477,https://w3id.org/oc/meta/br/0630160410,http://purl.org/spar/fabio/JournalArticle,N/A,Cellulose Nanocrystal Coated Cotton Fabric With Superhydrophobicity For Efficient Oil/Water Separation,45,10.1016/j.carbpol.2018.07.046,https://w3id.org/oc/meta/br/0630159618,author_title
ref_8,10.1016/j.polymertesting.2018.01.005,2018-04,Biobased Super-Hydrophobic Coating On Cotton Fabric Fabricated By Spray-Coating For Efficient Oil/Water Separation,https://w3id.org/oc/meta/id/062701157900,https://w3id.org/oc/meta/ar/061302283198,https://w3id.org/oc/meta/re/06130403252,https://w3id.org/oc/meta/br/06130554813,http://purl.org/spar/fabio/JournalArticle,N/A,Biobased Super-Hydrophobic Coating On Cotton Fabric Fabricated By Spray-Coating For Efficient Oil/Water Separation,45,10.1016/j.polymertesting.2018.01.005,https://w3id.org/oc/meta/br/06130554288,author_title
ref_9,10.1007/s10570-019-02267-6,2019-01-24,Robust And Durable Superhydrophobic Cotton Fabrics Via A One-Step Solvothermal Method For Efficient Oil/Water Separation,https://w3id.org/oc/meta/id/061801847105,https://w3id.org/oc/meta/ar/061807938506,https://w3id.org/oc/meta/re/061801515946,https://w3id.org/oc/meta/br/061801824187,http://purl.org/spar/fabio/JournalArticle,N/A,Robust And Durable Superhydrophobic Cotton Fabrics Via A One-Step Solvothermal Method For Efficient Oil/Water Separation,27,10.1007/s10570-019-02267-6,https://w3id.org/oc/meta/br/061801823625,year_volume_page
ref_11,10.1016/j.compositesb.2018.12.097,2019-03,TiO2-alginate Composite Aerogels As Novel Oil/Water Separation And Wastewater Remediation Filters,https://w3id.org/oc/meta/id/0670393568,https://w3id.org/oc/meta/ar/06701162331,https://w3id.org/oc/meta/re/0670202822,https://w3id.org/oc/meta/br/0670327981,http://purl.org/spar/fabio/JournalArticle,N/A,TiO2-alginate Composite Aerogels As Novel Oil/Water Separation And Wastewater Remediation Filters,31,10.1016/j.compositesb.2018.12.097,https://w3id.org/oc/meta/br/0670327400,year_author_page
ref_12,10.1039/c8ta10869b,2019,"A Self-Roughened And Biodegradable Superhydrophobic Coating With UV Shielding, Solar-Induced Self-Healing And Versatile Oil–Water Separation Ability",https://w3id.org/oc/meta/id/06140553244,https://w3id.org/oc/meta/ar/061401975501,https://w3id.org/oc/meta/re/06140342256,https://w3id.org/oc/meta/br/06140487819,http://purl.org/spar/fabio/JournalArticle,N/A,"A Self-Roughened And Biodegradable Superhydrophobic Coating With UV Shielding, Solar-Induced Self-Healing And Versatile Oil–Water Separation Ability",27,10.1039/c8ta10869b,https://w3id.org/oc/meta/br/06140487307,year_volume_page
ref_13,10.1002/adma.200290020,2002-12-17,Super-Hydrophobic Surfaces: From Natural To Artificial,https://w3id.org/oc/meta/id/061902513738,https://w3id.org/oc/meta/ar/0619010892384,https://w3id.org/oc/meta/re/061901994328,https://w3id.org/oc/meta/br/061902607132,http://purl.org/spar/fabio/JournalArticle,N/A,Super-Hydrophobic Surfaces: From Natural To Artificial,48,10.1002/adma.200290020,https://w3id.org/oc/meta/br/061902606931,author_title
ref_14,10.1021/acssuschemeng.8b01397,2018-06-05,Mussel Adhesive-Inspired Design Of Superhydrophobic Nanofibrillated Cellulose Aerogels For Oil/Water Separation,https://w3id.org/oc/meta/id/061102362010,https://w3id.org/oc/meta/ar/0611010401618,https://w3id.org/oc/meta/re/061101903665,https://w3id.org/oc/meta/br/061102403932,http://purl.org/spar/fabio/JournalArticle,N/A,Mussel Adhesive-Inspired Design Of Superhydrophobic Nanofibrillated Cellulose Aerogels For Oil/Water Separation,27,10.1021/acssuschemeng.8b01397,https://w3id.org/oc/meta/br/061102403408,year_volume_page
