reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1091/mbc.e10-11-0873,2011-06-15,C4orf41 And TTC-15 Are Mammalian TRAPP Components With A Role At An Early Stage In ER-to-Golgi Trafficking,https://w3id.org/oc/meta/id/06910576627,https://w3id.org/oc/meta/ar/06170154721,https://w3id.org/oc/meta/re/0617030667,https://w3id.org/oc/meta/br/0617097133,http://purl.org/spar/fabio/JournalArticle,N/A,C4orf41 And TTC-15 Are Mammalian TRAPP Components With A Role At An Early Stage In ER-to-Golgi Trafficking,34,10.1091/mbc.e10-11-0873,https://w3id.org/oc/meta/br/0617096969,year_author_page
ref_2,10.1038/emboj.2009.350,2009-11-26,A Genome-Wide RNA Interference Screen Identifies Two Novel Components Of The Metazoan Secretory Pathway,https://w3id.org/oc/meta/id/06605737560,https://w3id.org/oc/meta/ar/061408317497,https://w3id.org/oc/meta/re/061401548992,https://w3id.org/oc/meta/br/061401849771,http://purl.org/spar/fabio/JournalArticle,N/A,A Genome-Wide RNA Interference Screen Identifies Two Novel Components Of The Metazoan Secretory Pathway,33,10.1038/emboj.2009.350,https://w3id.org/oc/meta/br/061401849418,year_author_page
ref_3,10.1038/nature09204,2010-06-20,Network Organization Of The Human Autophagy System,https://w3id.org/oc/meta/id/062105934039,https://w3id.org/oc/meta/ar/062301304938,https://w3id.org/oc/meta/re/06230223706,https://w3id.org/oc/meta/br/06230356463,http://purl.org/spar/fabio/JournalArticle,N/A,Network Organization Of The Human Autophagy System,34,10.1038/nature09204,https://w3id.org/oc/meta/br/06230356163,year_author_page
ref_4,10.15252/embj.201592695,2015-12-28,TBC1D14 Regulates Autophagy Via theTRAPPcomplex andATG9 Traffic,https://w3id.org/oc/meta/id/06660198352,https://w3id.org/oc/meta/ar/061208361294,https://w3id.org/oc/meta/re/061201543891,https://w3id.org/oc/meta/br/061201861648,http://purl.org/spar/fabio/JournalArticle,N/A,TBC1D14 Regulates Autophagy Via theTRAPPcomplex andATG9 Traffic,33,10.15252/embj.201592695,https://w3id.org/oc/meta/br/061201861198,year_author_page
ref_6,10.1111/tra.12640,2019-05,TRAPPC11 Functions In Autophagy By Recruiting ATG2B‐WIPI4/WDR45 To Preautophagosomal Membranes,https://w3id.org/oc/meta/id/06704540787,https://w3id.org/oc/meta/ar/062206122884,https://w3id.org/oc/meta/re/062201156661,https://w3id.org/oc/meta/br/062201410543,http://purl.org/spar/fabio/JournalArticle,N/A,TRAPPC11 Functions In Autophagy By Recruiting ATG2B‐WIPI4/WDR45 To Preautophagosomal Membranes,34,10.1111/tra.12640,https://w3id.org/oc/meta/br/062201409688,year_author_page
ref_7,10.1091/mbc.11.12.4403,2000-12,The TRAPP Complex Is A Nucleotide Exchanger For Ypt1 And Ypt31/32,https://w3id.org/oc/meta/id/06360445723,https://w3id.org/oc/meta/ar/06160151670,https://w3id.org/oc/meta/re/0616030739,https://w3id.org/oc/meta/br/0616099710,http://purl.org/spar/fabio/JournalArticle,N/A,The TRAPP Complex Is A Nucleotide Exchanger For Ypt1 And Ypt31/32,27,10.1091/mbc.11.12.4403,https://w3id.org/oc/meta/br/0616099507,year_volume_page
ref_8,10.1083/jcb.201705214,2017-11-06,The TRAPPIII Complex Activates The GTPase Ypt1 (Rab1) In The Secretory Pathway,https://w3id.org/oc/meta/id/06510692785,https://w3id.org/oc/meta/ar/06207284083,https://w3id.org/oc/meta/re/06201369331,https://w3id.org/oc/meta/br/06201654092,http://purl.org/spar/fabio/JournalArticle,N/A,The TRAPPIII Complex Activates The GTPase Ypt1 (Rab1) In The Secretory Pathway,26,10.1083/jcb.201705214,https://w3id.org/oc/meta/br/06201653856,year_volume_page
ref_9,10.1155/2018/8090797,2018-07-16,Novel TRAPPC11 Mutations In A Chinese Pedigree Of Limb Girdle Muscular Dystrophy,https://w3id.org/oc/meta/id/062604488112,https://w3id.org/oc/meta/ar/06106608297,https://w3id.org/oc/meta/re/06101257397,https://w3id.org/oc/meta/br/06101527568,http://purl.org/spar/fabio/JournalArticle,N/A,Novel TRAPPC11 Mutations In A Chinese Pedigree Of Limb Girdle Muscular Dystrophy,37,10.1155/2018/8090797,https://w3id.org/oc/meta/br/06101526597,author_title
ref_10,10.1083/jcb.201705068,2017-12-22,The Two TRAPP Complexes Of Metazoans Have Distinct Roles And Act On Different Rab GTPases,https://w3id.org/oc/meta/id/06703851854,https://w3id.org/oc/meta/ar/06207283727,https://w3id.org/oc/meta/re/06201369274,https://w3id.org/oc/meta/br/06201654091,http://purl.org/spar/fabio/JournalArticle,N/A,The Two TRAPP Complexes Of Metazoans Have Distinct Roles And Act On Different Rab GTPases,33,10.1083/jcb.201705068,https://w3id.org/oc/meta/br/06201653799,year_author_page
ref_11,10.1091/mbc.e15-08-0557,2016-04-15,Trappc11Is Required For Protein Glycosylation In Zebrafish And Humans,https://w3id.org/oc/meta/id/06710756919,https://w3id.org/oc/meta/ar/06130162754,https://w3id.org/oc/meta/re/0613030736,https://w3id.org/oc/meta/br/0613095757,http://purl.org/spar/fabio/JournalArticle,N/A,Trappc11Is Required For Protein Glycosylation In Zebrafish And Humans,34,10.1091/mbc.e15-08-0557,https://w3id.org/oc/meta/br/0613095596,year_author_page
ref_12,10.1083/jcb.201501090,2015-04-27,"TRAMM/TrappC12 Plays A Role In Chromosome Congression, Kinetochore Stability, And CENP-E Recruitment",https://w3id.org/oc/meta/id/06603856265,https://w3id.org/oc/meta/ar/06307275246,https://w3id.org/oc/meta/re/06301361530,https://w3id.org/oc/meta/br/06301655438,http://purl.org/spar/fabio/JournalArticle,N/A,"TRAMM/TrappC12 Plays A Role In Chromosome Congression, Kinetochore Stability, And CENP-E Recruitment",34,10.1083/jcb.201501090,https://w3id.org/oc/meta/br/06301655301,year_author_page
ref_13,10.1038/srep43207,2017-02-27,Mammalian TRAPPIII Complex Positively Modulates The Recruitment Of Sec13/31 Onto COPII Vesicles,https://w3id.org/oc/meta/id/061404945072,https://w3id.org/oc/meta/ar/0611011097261,,https://w3id.org/oc/meta/br/0616054364,http://purl.org/spar/fabio/JournalArticle,N/A,Mammalian TRAPPIII Complex Positively Modulates The Recruitment Of Sec13/31 Onto COPII Vesicles,39,10.1038/srep43207,https://w3id.org/oc/meta/br/061102629727,author_title
ref_14,10.1111/tra.12615,2018-09-24,TRAPPopathies: An Emerging Set Of Disorders Linked To Variations In The Genes Encoding Transport Protein Particle (TRAPP)‐associated Proteins,https://w3id.org/oc/meta/id/06720673468,https://w3id.org/oc/meta/ar/062206123040,https://w3id.org/oc/meta/re/062201156685,https://w3id.org/oc/meta/br/062201410547,http://purl.org/spar/fabio/JournalArticle,N/A,TRAPPopathies: An Emerging Set Of Disorders Linked To Variations In The Genes Encoding Transport Protein Particle (TRAPP)‐associated Proteins,26,10.1111/tra.12615,https://w3id.org/oc/meta/br/062201409713,year_volume_page
ref_15,10.1016/j.ajhg.2013.05.028,2013-07,Recessive TRAPPC11 Mutations Cause A Disease Spectrum Of Limb Girdle Muscular Dystrophy And Myopathy With Movement Disorder And Intellectual Disability,https://w3id.org/oc/meta/id/06680517148,https://w3id.org/oc/meta/ar/061703936551,https://w3id.org/oc/meta/re/06170719344,https://w3id.org/oc/meta/br/06170927955,http://purl.org/spar/fabio/JournalArticle,N/A,Recessive TRAPPC11 Mutations Cause A Disease Spectrum Of Limb Girdle Muscular Dystrophy And Myopathy With Movement Disorder And Intellectual Disability,27,10.1016/j.ajhg.2013.05.028,https://w3id.org/oc/meta/br/06170927435,year_volume_page
ref_16,10.1097/cnd.0000000000000173,2017-09,Siblings With Mutations In TRAPPC11 Presenting With Limb-Girdle Muscular Dystrophy 2S,https://w3id.org/oc/meta/id/064201323377,https://w3id.org/oc/meta/ar/062206575251,https://w3id.org/oc/meta/re/062201232506,https://w3id.org/oc/meta/br/062201499126,http://purl.org/spar/fabio/JournalArticle,N/A,Siblings With Mutations In TRAPPC11 Presenting With Limb-Girdle Muscular Dystrophy 2S,34,10.1097/cnd.0000000000000173,https://w3id.org/oc/meta/br/062201498250,year_author_page
ref_17,10.1136/jmedgenet-2016-104108,2016-10-05,"A novelTRAPPC11mutation In Two Turkish Families Associated With Cerebral Atrophy, Global Retardation, Scoliosis, Achalasia And Alacrima",https://w3id.org/oc/meta/id/062605133831,https://w3id.org/oc/meta/ar/06220838585,https://w3id.org/oc/meta/re/06220147133,https://w3id.org/oc/meta/br/06220238353,http://purl.org/spar/fabio/JournalArticle,N/A,"A novelTRAPPC11mutation In Two Turkish Families Associated With Cerebral Atrophy, Global Retardation, Scoliosis, Achalasia And Alacrima",33,10.1136/jmedgenet-2016-104108,https://w3id.org/oc/meta/br/06220237991,year_author_page
ref_18,10.1186/s13395-018-0163-0,2018-05-31,TRAPPC11 And GOSR2 Mutations Associate With Hypoglycosylation Of Α-Dystroglycan And Muscular Dystrophy,https://w3id.org/oc/meta/id/062604459362,https://w3id.org/oc/meta/ar/062604686314,,https://w3id.org/oc/meta/br/062601099391,http://purl.org/spar/fabio/JournalArticle,N/A,TRAPPC11 And GOSR2 Mutations Associate With Hypoglycosylation Of Α-Dystroglycan And Muscular Dystrophy,26,10.1186/s13395-018-0163-0,https://w3id.org/oc/meta/br/062601099057,year_author_volume
ref_19,10.1186/s13395-015-0056-4,2015-08-28,Congenital Muscular Dystrophy With Fatty Liver And Infantile-Onset Cataract Caused By TRAPPC11 Mutations: Broadening Of The Phenotype,https://w3id.org/oc/meta/id/062604459254,https://w3id.org/oc/meta/ar/062604687213,,https://w3id.org/oc/meta/br/062601099397,http://purl.org/spar/fabio/JournalArticle,N/A,Congenital Muscular Dystrophy With Fatty Liver And Infantile-Onset Cataract Caused By TRAPPC11 Mutations: Broadening Of The Phenotype,26,10.1186/s13395-015-0056-4,https://w3id.org/oc/meta/br/062601099164,year_author_volume
ref_20,10.1002/humu.23145,2016-11-26,Mutations inTRAPPC11are Associated With A Congenital Disorder Of Glycosylation,https://w3id.org/oc/meta/id/062504129099,https://w3id.org/oc/meta/ar/0620166147,https://w3id.org/oc/meta/re/062032519,https://w3id.org/oc/meta/br/062097629,http://purl.org/spar/fabio/JournalArticle,N/A,Mutations inTRAPPC11are Associated With A Congenital Disorder Of Glycosylation,33,10.1002/humu.23145,https://w3id.org/oc/meta/br/062096746,year_author_page
