reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1016/b978-0-08-100220-9.00019-9,2016,Advances In The Identification Of Adulterated Vegetable Oils,https://w3id.org/oc/meta/id/062302431365,https://w3id.org/oc/meta/ar/0623010606219,https://w3id.org/oc/meta/re/062301944546,https://w3id.org/oc/meta/br/062302487287,http://purl.org/spar/fabio/BookChapter,N/A,Advances In The Identification Of Adulterated Vegetable Oils,31,10.1016/b978-0-08-100220-9.00019-9,https://w3id.org/oc/meta/br/062302486298,year_author_page
ref_2,10.3989/gya.0462181,2019-02-11,"Organically Vs Conventionally-Grown Dark And White Chia Seeds (<em>Salvia Hispanica</Em> L.): Fatty Acid Composition, Antioxidant Activity And Techno-Functional Properties",https://w3id.org/oc/meta/id/06440816614,https://w3id.org/oc/meta/ar/06108497163,https://w3id.org/oc/meta/re/06101541012,https://w3id.org/oc/meta/br/06101867734,http://purl.org/spar/fabio/JournalArticle,N/A,"Organically Vs Conventionally-Grown Dark And White Chia Seeds (<em>Salvia Hispanica</Em> L.): Fatty Acid Composition, Antioxidant Activity And Techno-Functional Properties",26,10.3989/gya.0462181,https://w3id.org/oc/meta/br/06101866863,year_author_volume
ref_4,10.1051/ocl/2017026,2017-05-31,Characterization Of Sterolic And Alcoholic Fractions Of Some Algerian Olive Oils According To The Variety And Ripening Stage,https://w3id.org/oc/meta/id/0650517752,https://w3id.org/oc/meta/ar/06501774366,https://w3id.org/oc/meta/re/0650304159,https://w3id.org/oc/meta/br/0650449997,http://purl.org/spar/fabio/JournalArticle,N/A,Characterization Of Sterolic And Alcoholic Fractions Of Some Algerian Olive Oils According To The Variety And Ripening Stage,27,10.1051/ocl/2017026,https://w3id.org/oc/meta/br/0650449446,year_and_doi
ref_5,10.1111/j.1756-1051.2009.00460.x,2009-08,Plukenetia Huayllabambanasp. Nov. (Euphorbiaceae) From The Upper Amazon Of Peru,https://w3id.org/oc/meta/id/061105237718,https://w3id.org/oc/meta/ar/0616010422530,https://w3id.org/oc/meta/re/061601937907,https://w3id.org/oc/meta/br/0618049512,http://purl.org/spar/fabio/JournalArticle,N/A,Plukenetia Huayllabambanasp. Nov. (Euphorbiaceae) From The Upper Amazon Of Peru,27,10.1111/j.1756-1051.2009.00460.x,https://w3id.org/oc/meta/br/061602424734,year_and_doi
ref_6,10.1021/jf5028697,2014-10-02,Characterization Of Glyceridic And Unsaponifiable Compounds Of Sacha Inchi (Plukenetia Huayllabambana L.) Oils,https://w3id.org/oc/meta/id/06180980320,https://w3id.org/oc/meta/ar/061803923122,https://w3id.org/oc/meta/re/06180728772,https://w3id.org/oc/meta/br/06180932299,http://purl.org/spar/fabio/JournalArticle,N/A,Characterization Of Glyceridic And Unsaponifiable Compounds Of Sacha Inchi (Plukenetia Huayllabambana L.) Oils,27,10.1021/jf5028697,https://w3id.org/oc/meta/br/06180931836,year_and_doi
ref_7,10.3989/gya.0457161,2016-12-01,Markers Of Quality And Genuineness Of Commercial Extra Virgin Sacha Inchi Oils,https://w3id.org/oc/meta/id/06850843832,https://w3id.org/oc/meta/ar/06108497789,https://w3id.org/oc/meta/re/06101541127,https://w3id.org/oc/meta/br/06101867745,http://purl.org/spar/fabio/JournalArticle,N/A,Markers Of Quality And Genuineness Of Commercial Extra Virgin Sacha Inchi Oils,26,10.3989/gya.0457161,https://w3id.org/oc/meta/br/06101866980,year_author_volume
ref_8,10.1016/j.foodchem.2013.04.078,2013-12,"Sacha Inchi (Plukenetia Volubilis): A Seed Source Of Polyunsaturated Fatty Acids, Tocopherols, Phytosterols, Phenolic Compounds And Antioxidant Capacity",https://w3id.org/oc/meta/id/06403191134,https://w3id.org/oc/meta/ar/064014348016,https://w3id.org/oc/meta/re/06402463885,https://w3id.org/oc/meta/br/06403471309,http://purl.org/spar/fabio/JournalArticle,N/A,"Sacha Inchi (Plukenetia Volubilis): A Seed Source Of Polyunsaturated Fatty Acids, Tocopherols, Phytosterols, Phenolic Compounds And Antioxidant Capacity",27,10.1016/j.foodchem.2013.04.078,https://w3id.org/oc/meta/br/06403470673,year_and_doi
ref_9,10.1016/j.foodchem.2014.10.120,2015-04,Comparison Of The Physico-Chemical And Phytochemical Characteristics Of The Oil Of Two Plukenetia Species,https://w3id.org/oc/meta/id/06604234068,https://w3id.org/oc/meta/ar/061014154490,https://w3id.org/oc/meta/re/06102478457,https://w3id.org/oc/meta/br/06103478609,http://purl.org/spar/fabio/JournalArticle,N/A,Comparison Of The Physico-Chemical And Phytochemical Characteristics Of The Oil Of Two Plukenetia Species,31,10.1016/j.foodchem.2014.10.120,https://w3id.org/oc/meta/br/06103478350,year_author_page
ref_11,10.1021/jf203184y,2011-11-17,Chemical Characterization Of Sacha Inchi (Plukenetia Volubilis L.) Oil,https://w3id.org/oc/meta/id/06950658202,https://w3id.org/oc/meta/ar/062303966492,https://w3id.org/oc/meta/re/06230723740,https://w3id.org/oc/meta/br/068022148,http://purl.org/spar/fabio/JournalArticle,N/A,Chemical Characterization Of Sacha Inchi (Plukenetia Volubilis L.) Oil,27,10.1021/jf203184y,https://w3id.org/oc/meta/br/06230932291,year_and_doi
ref_13,10.1016/j.supflu.2009.03.010,2009-07,Supercritical CO2 Extraction Of Omega-3 Rich Oil From Sacha Inchi (Plukenetia Volubilis L.) Seeds,https://w3id.org/oc/meta/id/0692028966,https://w3id.org/oc/meta/ar/06101319510,https://w3id.org/oc/meta/re/0610242264,https://w3id.org/oc/meta/br/0610368504,http://purl.org/spar/fabio/JournalArticle,N/A,Supercritical CO2 Extraction Of Omega-3 Rich Oil From Sacha Inchi (Plukenetia Volubilis L.) Seeds,27,10.1016/j.supflu.2009.03.010,https://w3id.org/oc/meta/br/0610368198,year_and_doi
