reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_3,10.1017/cbo9780511486210,2001-05-28,Morphological Productivity,https://w3id.org/oc/meta/id/061502926558,https://w3id.org/oc/meta/ar/0615012764337,,,http://purl.org/spar/fabio/Expression,N/A,Morphological Productivity,30,10.1017/cbo9780511486210,https://w3id.org/oc/meta/br/061503077221,year_and_doi
ref_4,10.1093/acprof:oso/9780198747062.001.0001,2013-08-29,The Oxford Reference Guide To English Morphology,https://w3id.org/oc/meta/id/06380510925,https://w3id.org/oc/meta/ar/0623010872623,,,http://purl.org/spar/fabio/Expression,N/A,The Oxford Reference Guide To English Morphology,30,10.1093/acprof:oso/9780198747062.001.0001,https://w3id.org/oc/meta/br/062302592582,year_and_doi
ref_5,10.1075/tilar.3.05ber,2004,Between Emergence And Mastery,https://w3id.org/oc/meta/id/062405093563,https://w3id.org/oc/meta/ar/066013983860,https://w3id.org/oc/meta/re/06602425161,https://w3id.org/oc/meta/br/06603316230,http://purl.org/spar/fabio/BookChapter,N/A,Between Emergence And Mastery,31,10.1075/tilar.3.05ber,https://w3id.org/oc/meta/br/06603315231,year_author_page
ref_8,10.1093/acprof:oso/9780199263936.001.0001,2013-10-03,Structuring Sense: Volume III: Taking Form,https://w3id.org/oc/meta/id/062504897141,https://w3id.org/oc/meta/ar/0613012731547,,,http://purl.org/spar/fabio/Expression,N/A,Structuring Sense: Volume III: Taking Form,30,10.1093/acprof:oso/9780199263936.001.0001,https://w3id.org/oc/meta/br/061303060747,year_and_doi
ref_9,10.1007/s11525-009-9127-8,2008-10,Clausal Order And The Acquisition Of Dutch Deverbal Compounds,https://w3id.org/oc/meta/id/061202995854,https://w3id.org/oc/meta/ar/0612013003208,https://w3id.org/oc/meta/re/061202383008,https://w3id.org/oc/meta/br/061203132904,http://purl.org/spar/fabio/JournalArticle,N/A,Clausal Order And The Acquisition Of Dutch Deverbal Compounds,27,10.1007/s11525-009-9127-8,https://w3id.org/oc/meta/br/061203132663,year_and_doi
ref_12,10.1016/0010-0277(82)90027-0,1982-07,Learning To Coin Agent And Instrument Nouns,https://w3id.org/oc/meta/id/063801015871,https://w3id.org/oc/meta/ar/06301892725,https://w3id.org/oc/meta/re/0630334303,https://w3id.org/oc/meta/br/0630489099,http://purl.org/spar/fabio/JournalArticle,N/A,Learning To Coin Agent And Instrument Nouns,27,10.1016/0010-0277(82)90027-0,https://w3id.org/oc/meta/br/0630488752,year_and_doi
ref_13,10.1515/ling.1986.24.1.7,1986,Coining Complex Compounds In English: Affixes And Word Order In Acquisition,https://w3id.org/oc/meta/id/06601619401,https://w3id.org/oc/meta/ar/06606968490,,https://w3id.org/oc/meta/br/06601585378,http://purl.org/spar/fabio/JournalArticle,N/A,Coining Complex Compounds In English: Affixes And Word Order In Acquisition,26,10.1515/ling.1986.24.1.7,https://w3id.org/oc/meta/br/06601584411,year_author_volume
ref_14,10.1075/lald.61.07dab,2017-10-25,Chapter 6. The Early Production Of Compounds In Lithuanian,https://w3id.org/oc/meta/id/06802713558,https://w3id.org/oc/meta/ar/068012465528,https://w3id.org/oc/meta/re/06802109999,https://w3id.org/oc/meta/br/06802873304,http://purl.org/spar/fabio/BookChapter,N/A,Chapter 6. The Early Production Of Compounds In Lithuanian,31,10.1075/lald.61.07dab,https://w3id.org/oc/meta/br/06802872309,year_author_page
ref_15,10.1159/000021479,1999,Morphological Representationin Specific Language Impairment:Evidence From Greek Word Formation,https://w3id.org/oc/meta/id/06603215353,https://w3id.org/oc/meta/ar/066014475903,https://w3id.org/oc/meta/re/06602496621,https://w3id.org/oc/meta/br/062059027,http://purl.org/spar/fabio/JournalArticle,N/A,Morphological Representationin Specific Language Impairment:Evidence From Greek Word Formation,27,10.1159/000021479,https://w3id.org/oc/meta/br/06603488536,year_and_doi
ref_18,10.1007/1-4020-3596-9_11,2005,Word-Formation In Natural Morphology,https://w3id.org/oc/meta/id/06403280284,https://w3id.org/oc/meta/ar/064014738815,https://w3id.org/oc/meta/re/06402543024,https://w3id.org/oc/meta/br/0614060041,http://purl.org/spar/fabio/BookChapter,N/A,Word-Formation In Natural Morphology,31,10.1007/1-4020-3596-9_11,https://w3id.org/oc/meta/br/06403560744,year_author_page
