reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1161/01.cir.0000145144.56673.59,2004-10-26,Practice Standards For Electrocardiographic Monitoring In Hospital Settings,https://w3id.org/oc/meta/id/06601183316,https://w3id.org/oc/meta/ar/06604871978,https://w3id.org/oc/meta/re/0660907566,https://w3id.org/oc/meta/br/06601137025,http://purl.org/spar/fabio/JournalArticle,N/A,Practice Standards For Electrocardiographic Monitoring In Hospital Settings,27,10.1161/01.cir.0000145144.56673.59,https://w3id.org/oc/meta/br/06601136034,year_and_doi
ref_2,10.1007/s00467-013-2712-4,2013-12-11,Electrolyte Abnormalities In Cystic Fibrosis: Systematic Review Of The Literature,https://w3id.org/oc/meta/id/06550784178,https://w3id.org/oc/meta/ar/06107495997,https://w3id.org/oc/meta/re/06101411602,https://w3id.org/oc/meta/br/06101708261,http://purl.org/spar/fabio/JournalArticle,N/A,Electrolyte Abnormalities In Cystic Fibrosis: Systematic Review Of The Literature,26,10.1007/s00467-013-2712-4,https://w3id.org/oc/meta/br/06101707961,year_and_doi
ref_3,10.1039/c7lc00914c,2018,"Wearable Sensors: Modalities, Challenges, And Prospects",https://w3id.org/oc/meta/id/06640248168,https://w3id.org/oc/meta/ar/0680567751,https://w3id.org/oc/meta/re/068094818,https://w3id.org/oc/meta/br/0680188963,http://purl.org/spar/fabio/JournalArticle,N/A,"Wearable Sensors: Modalities, Challenges, And Prospects",27,10.1039/c7lc00914c,https://w3id.org/oc/meta/br/0680188695,year_and_doi
ref_4,10.1002/adma.201504829,2016-01-28,New Developments In Smart Bandage Technologies For Wound Diagnostics,https://w3id.org/oc/meta/id/061504047865,https://w3id.org/oc/meta/ar/065012766051,https://w3id.org/oc/meta/re/06502170207,https://w3id.org/oc/meta/br/068055767,http://purl.org/spar/fabio/JournalArticle,N/A,New Developments In Smart Bandage Technologies For Wound Diagnostics,27,10.1002/adma.201504829,https://w3id.org/oc/meta/br/06503024301,year_and_doi
ref_5,10.1021/acssensors.6b00250,2016-05-11,Wearable Chemical Sensors: Present Challenges And Future Prospects,https://w3id.org/oc/meta/id/06120364031,https://w3id.org/oc/meta/ar/061201081135,https://w3id.org/oc/meta/re/06120191756,https://w3id.org/oc/meta/br/06120292451,http://purl.org/spar/fabio/JournalArticle,N/A,Wearable Chemical Sensors: Present Challenges And Future Prospects,27,10.1021/acssensors.6b00250,https://w3id.org/oc/meta/br/06120291926,year_and_doi
ref_6,10.1002/adma.201705024,2018-03-02,Materials And Wearable Devices For Autonomous Monitoring Of Physiological Markers,https://w3id.org/oc/meta/id/06202805357,https://w3id.org/oc/meta/ar/062012559796,https://w3id.org/oc/meta/re/06202166274,https://w3id.org/oc/meta/br/068055619,http://purl.org/spar/fabio/JournalArticle,N/A,Materials And Wearable Devices For Autonomous Monitoring Of Physiological Markers,27,10.1002/adma.201705024,https://w3id.org/oc/meta/br/06203021008,year_and_doi
ref_7,10.1021/ac00045a007,1992-11-01,All-solid-state Sodium-Selective Electrode Based On A Calixarene Ionophore In A Poly(Vinyl Chloride) Membrane With A Polypyrrole Solid Contact,https://w3id.org/oc/meta/id/06620426243,https://w3id.org/oc/meta/ar/061904266053,https://w3id.org/oc/meta/re/06190790671,https://w3id.org/oc/meta/br/065020763,http://purl.org/spar/fabio/JournalArticle,N/A,All-solid-state Sodium-Selective Electrode Based On A Calixarene Ionophore In A Poly(Vinyl Chloride) Membrane With A Polypyrrole Solid Contact,27,10.1021/ac00045a007,https://w3id.org/oc/meta/br/06190998908,year_and_doi
ref_8,10.1021/ac990497z,1999-10-01,Potential Stability Of All-Solid-State Ion-Selective Electrodes Using Conducting Polymers As Ion-to-Electron Transducers,https://w3id.org/oc/meta/id/06560153032,https://w3id.org/oc/meta/ar/06304303454,https://w3id.org/oc/meta/re/0630785064,https://w3id.org/oc/meta/br/065020430,http://purl.org/spar/fabio/JournalArticle,N/A,Potential Stability Of All-Solid-State Ion-Selective Electrodes Using Conducting Polymers As Ion-to-Electron Transducers,27,10.1021/ac990497z,https://w3id.org/oc/meta/br/06301001722,year_and_doi
ref_9,10.1016/j.coelec.2018.04.004,2018-08,All-solid-state Potentiometric Sensors: A New Wave For In Situ Aquatic Research,https://w3id.org/oc/meta/id/06402124525,https://w3id.org/oc/meta/ar/06409535527,https://w3id.org/oc/meta/re/06401657503,https://w3id.org/oc/meta/br/06402228264,http://purl.org/spar/fabio/JournalArticle,N/A,All-solid-state Potentiometric Sensors: A New Wave For In Situ Aquatic Research,31,10.1016/j.coelec.2018.04.004,https://w3id.org/oc/meta/br/06402227894,year_author_page
ref_10,10.1021/a1980010w,1998-05-19,Chemical Sensors,https://w3id.org/oc/meta/id/06590432517,https://w3id.org/oc/meta/ar/06204316712,https://w3id.org/oc/meta/re/0620789176,https://w3id.org/oc/meta/br/065020346,http://purl.org/spar/fabio/JournalArticle,N/A,Chemical Sensors,27,10.1021/a1980010w,https://w3id.org/oc/meta/br/0620998460,year_and_doi
