reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1016/s0167-8809(01)00290-0,2002-12,Carbon Exchange And Species Composition Of Grazed Pastures And Exclosures In The Shortgrass Steppe Of Colorado,https://w3id.org/oc/meta/id/06250225580,https://w3id.org/oc/meta/ar/06250424998,https://w3id.org/oc/meta/re/0625067655,https://w3id.org/oc/meta/br/06250147842,http://purl.org/spar/fabio/JournalArticle,N/A,Carbon Exchange And Species Composition Of Grazed Pastures And Exclosures In The Shortgrass Steppe Of Colorado,27,10.1016/s0167-8809(01)00290-0,https://w3id.org/oc/meta/br/06250147636,year_and_doi
ref_2,10.1016/j.ecolind.2018.07.008,2018-12,Dynamics Of Grassland Carbon Sequestration And Its Coupling Relation With Hydrothermal Factor Of Inner Mongolia,https://w3id.org/oc/meta/id/06520914256,https://w3id.org/oc/meta/ar/06504439476,https://w3id.org/oc/meta/re/0650833943,https://w3id.org/oc/meta/br/0619027572,http://purl.org/spar/fabio/JournalArticle,N/A,Dynamics Of Grassland Carbon Sequestration And Its Coupling Relation With Hydrothermal Factor Of Inner Mongolia,24,10.1016/j.ecolind.2018.07.008,https://w3id.org/oc/meta/br/06501046114,year_and_doi
ref_4,10.1029/2004gl022043,2005,Response Of Terrestrial Ecosystems To Recent Northern Hemispheric Drought,https://w3id.org/oc/meta/id/06490458203,https://w3id.org/oc/meta/ar/0617011772447,,https://w3id.org/oc/meta/br/061702818960,http://purl.org/spar/fabio/JournalArticle,N/A,Response Of Terrestrial Ecosystems To Recent Northern Hemispheric Drought,33,10.1029/2004gl022043,https://w3id.org/oc/meta/br/061702818606,year_and_doi
ref_5,10.1038/s41598-018-21089-3,2018-02-13,Grassland Dynamics In Response To Climate Change And Human Activities In Xinjiang From 2000 To 2014,https://w3id.org/oc/meta/id/06905832074,https://w3id.org/oc/meta/ar/069011047511,,https://w3id.org/oc/meta/br/0616054363,http://purl.org/spar/fabio/JournalArticle,N/A,Grassland Dynamics In Response To Climate Change And Human Activities In Xinjiang From 2000 To 2014,26,10.1038/s41598-018-21089-3,https://w3id.org/oc/meta/br/06902638498,year_author_volume
ref_8,10.2307/1941761,1991-08,The Effects Of Climate Change On Decomposition Processes In Grassland And Coniferous Forests,https://w3id.org/oc/meta/id/062104110269,https://w3id.org/oc/meta/ar/06301262892,https://w3id.org/oc/meta/re/0630222249,https://w3id.org/oc/meta/br/062405148,http://purl.org/spar/fabio/JournalArticle,N/A,The Effects Of Climate Change On Decomposition Processes In Grassland And Coniferous Forests,27,10.2307/1941761,https://w3id.org/oc/meta/br/0630343601,year_and_doi
ref_10,10.1111/jac.12137,2015-06-29,Assessing The Spatiotemporal Dynamic Of Global Grassland Water Use Efficiency In Response To Climate Change From 2000 To 2013,https://w3id.org/oc/meta/id/06705667633,https://w3id.org/oc/meta/ar/06407609725,https://w3id.org/oc/meta/re/06401397072,https://w3id.org/oc/meta/br/06401707094,http://purl.org/spar/fabio/JournalArticle,N/A,Assessing The Spatiotemporal Dynamic Of Global Grassland Water Use Efficiency In Response To Climate Change From 2000 To 2013,26,10.1111/jac.12137,https://w3id.org/oc/meta/br/06401706509,year_and_doi
ref_11,10.1093/aob/mcs209,2012-09-21,The Role Of Grasslands In Food Security And Climate Change,https://w3id.org/oc/meta/id/06910399440,https://w3id.org/oc/meta/ar/06360235275,https://w3id.org/oc/meta/re/0636048283,https://w3id.org/oc/meta/br/0624016915,http://purl.org/spar/fabio/JournalArticle,N/A,The Role Of Grasslands In Food Security And Climate Change,27,10.1093/aob/mcs209,https://w3id.org/oc/meta/br/0636053392,year_and_doi
ref_12,10.1007/s11769-016-0804-3,2016-04,"Effects Of Drought On Net Primary Productivity: Roles Of Temperature, Drought Intensity, And Duration",https://w3id.org/oc/meta/id/06503245193,https://w3id.org/oc/meta/ar/065014576903,https://w3id.org/oc/meta/re/06502520810,https://w3id.org/oc/meta/br/06503520070,http://purl.org/spar/fabio/JournalArticle,N/A,"Effects Of Drought On Net Primary Productivity: Roles Of Temperature, Drought Intensity, And Duration",27,10.1007/s11769-016-0804-3,https://w3id.org/oc/meta/br/06503519520,year_and_doi
ref_13,10.1016/j.jenvman.2012.10.031,2013-01,Assessing The Impacts Of Droughts On Net Primary Productivity In China,https://w3id.org/oc/meta/id/06230784379,https://w3id.org/oc/meta/ar/062303043552,https://w3id.org/oc/meta/re/06230539434,https://w3id.org/oc/meta/br/06230727229,http://purl.org/spar/fabio/JournalArticle,N/A,Assessing The Impacts Of Droughts On Net Primary Productivity In China,31,10.1016/j.jenvman.2012.10.031,https://w3id.org/oc/meta/br/06230726790,year_author_page
ref_15,10.5194/acpd-10-16153-2010,2010-06-30,"Global Fire Emissions And The Contribution Of Deforestation, Savanna, Forest, Agricultural, And Peat Fires (1997–2009)",https://w3id.org/oc/meta/id/061503015326,https://w3id.org/oc/meta/ar/0615013137159,,,http://purl.org/spar/fabio/WebContent,N/A,"Global Fire Emissions And The Contribution Of Deforestation, Savanna, Forest, Agricultural, And Peat Fires (1997–2009)",29,10.5194/acpd-10-16153-2010,https://w3id.org/oc/meta/br/061503181287,year_and_doi
ref_17,10.1016/s0034-4257(03)00174-3,2003-09,Assessing Vegetation Response To Drought In The Northern Great Plains Using Vegetation And Drought Indices,https://w3id.org/oc/meta/id/064701202744,https://w3id.org/oc/meta/ar/06902703034,https://w3id.org/oc/meta/re/0690478747,https://w3id.org/oc/meta/br/0690657985,http://purl.org/spar/fabio/JournalArticle,N/A,Assessing Vegetation Response To Drought In The Northern Great Plains Using Vegetation And Drought Indices,27,10.1016/s0034-4257(03)00174-3,https://w3id.org/oc/meta/br/0690657620,year_and_doi
ref_19,10.1007/bf00317226,1992-02,Drought And Biodiversity In Grasslands,https://w3id.org/oc/meta/id/06203942287,https://w3id.org/oc/meta/ar/06603141333,https://w3id.org/oc/meta/re/0660572484,https://w3id.org/oc/meta/br/0612012948,http://purl.org/spar/fabio/JournalArticle,N/A,Drought And Biodiversity In Grasslands,27,10.1007/bf00317226,https://w3id.org/oc/meta/br/0660754816,year_and_doi
ref_20,10.1126/science.1192666,2010-08-20,Drought-Induced Reduction In Global Terrestrial Net Primary Production From 2000 Through 2009,https://w3id.org/oc/meta/id/06830216489,https://w3id.org/oc/meta/ar/061301881782,https://w3id.org/oc/meta/re/06130331481,https://w3id.org/oc/meta/br/06130478810,http://purl.org/spar/fabio/JournalArticle,N/A,Drought-Induced Reduction In Global Terrestrial Net Primary Production From 2000 Through 2009,27,10.1126/science.1192666,https://w3id.org/oc/meta/br/06130478435,year_and_doi
ref_21,10.2307/1943158,1988-02,Primary Production Of The Central Grassland Region Of The United States,https://w3id.org/oc/meta/id/061605364645,https://w3id.org/oc/meta/ar/062606911315,https://w3id.org/oc/meta/re/062601300761,https://w3id.org/oc/meta/br/0624032137,http://purl.org/spar/fabio/JournalArticle,N/A,Primary Production Of The Central Grassland Region Of The United States,27,10.2307/1943158,https://w3id.org/oc/meta/br/062601589702,year_and_doi
ref_23,10.1016/j.agrformet.2011.01.018,2011-07,Drought And Ecosystem Carbon Cycling,https://w3id.org/oc/meta/id/0650857283,https://w3id.org/oc/meta/ar/06503338547,https://w3id.org/oc/meta/re/0650612153,https://w3id.org/oc/meta/br/063015886,http://purl.org/spar/fabio/JournalArticle,N/A,Drought And Ecosystem Carbon Cycling,27,10.1016/j.agrformet.2011.01.018,https://w3id.org/oc/meta/br/0650799479,year_and_doi
ref_24,10.1175/jhm-386.1,2004-12-01,A Global Dataset Of Palmer Drought Severity Index For 1870–2002: Relationship With Soil Moisture And Effects Of Surface Warming,https://w3id.org/oc/meta/id/06740692029,https://w3id.org/oc/meta/ar/06290291921,https://w3id.org/oc/meta/re/0629055124,https://w3id.org/oc/meta/br/0629063159,http://purl.org/spar/fabio/JournalArticle,N/A,A Global Dataset Of Palmer Drought Severity Index For 1870–2002: Relationship With Soil Moisture And Effects Of Surface Warming,27,10.1175/jhm-386.1,https://w3id.org/oc/meta/br/0629062813,year_and_doi
ref_25,10.1126/science.1082750,2003-06-06,Climate-Driven Increases In Global Terrestrial Net Primary Production From 1982 To 1999,https://w3id.org/oc/meta/id/06920333608,https://w3id.org/oc/meta/ar/061501909842,https://w3id.org/oc/meta/re/06150338358,https://w3id.org/oc/meta/br/06150489452,http://purl.org/spar/fabio/JournalArticle,N/A,Climate-Driven Increases In Global Terrestrial Net Primary Production From 1982 To 1999,27,10.1126/science.1082750,https://w3id.org/oc/meta/br/06150488538,year_and_doi
ref_26,10.3319/tao.2012.03.28.01(a),2012,Variations Of Terrestrial Net Primary Productivity In East Asia,https://w3id.org/oc/meta/id/061404675426,https://w3id.org/oc/meta/ar/061207234363,https://w3id.org/oc/meta/re/061201348335,https://w3id.org/oc/meta/br/061201625647,http://purl.org/spar/fabio/JournalArticle,N/A,Variations Of Terrestrial Net Primary Productivity In East Asia,27,10.3319/tao.2012.03.28.01(a),https://w3id.org/oc/meta/br/061201625239,year_and_doi
ref_27,10.1016/j.scitotenv.2016.09.033,2017-01,Country-level Net Primary Production Distribution And Response To Drought And Land Cover Change,https://w3id.org/oc/meta/id/06101041535,https://w3id.org/oc/meta/ar/06104245312,https://w3id.org/oc/meta/re/0610790825,https://w3id.org/oc/meta/br/06101003560,http://purl.org/spar/fabio/JournalArticle,N/A,Country-level Net Primary Production Distribution And Response To Drought And Land Cover Change,24,10.1016/j.scitotenv.2016.09.033,https://w3id.org/oc/meta/br/06101002885,year_and_doi
ref_28,10.1038/nature14213,2015-03-04,Drought Impact On Forest Carbon Dynamics And Fluxes In Amazonia,https://w3id.org/oc/meta/id/0650420950,https://w3id.org/oc/meta/ar/06501305730,https://w3id.org/oc/meta/re/0650231676,https://w3id.org/oc/meta/br/062609175,http://purl.org/spar/fabio/JournalArticle,N/A,Drought Impact On Forest Carbon Dynamics And Fluxes In Amazonia,27,10.1038/nature14213,https://w3id.org/oc/meta/br/0650350495,year_and_doi
ref_29,10.1016/j.rsase.2018.04.013,2018-08,Impact Of Drought On Vegetation Carbon Storage In Arid And Semi-Arid Regions,https://w3id.org/oc/meta/id/06320497531,https://w3id.org/oc/meta/ar/061803418055,https://w3id.org/oc/meta/re/06180627653,https://w3id.org/oc/meta/br/06180822340,http://purl.org/spar/fabio/JournalArticle,N/A,Impact Of Drought On Vegetation Carbon Storage In Arid And Semi-Arid Regions,30,10.1016/j.rsase.2018.04.013,https://w3id.org/oc/meta/br/06180821500,year_and_doi
