reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_5,10.1111/1467-8721.00013,1999-04,Vocal Expression And Perception Of Emotion,https://w3id.org/oc/meta/id/06640278840,https://w3id.org/oc/meta/ar/061401617066,https://w3id.org/oc/meta/re/06140271771,https://w3id.org/oc/meta/br/06140409458,http://purl.org/spar/fabio/JournalArticle,,Vocal Expression And Perception Of Emotion,70,10.1111/1467-8721.00013,https://w3id.org/oc/meta/br/06140409009,year_and_doi
ref_6,10.1111/j.1467-9280.1995.tb00596.x,1995-07,Vocal Expression Of Emotion: Acoustic Properties Of Speech Are Associated With Emotional Intensity And Context,https://w3id.org/oc/meta/id/06706259939,https://w3id.org/oc/meta/ar/0618011027016,https://w3id.org/oc/meta/re/061802045779,https://w3id.org/oc/meta/br/065050106,http://purl.org/spar/fabio/JournalArticle,,Vocal Expression Of Emotion: Acoustic Properties Of Speech Are Associated With Emotional Intensity And Context,70,10.1111/j.1467-9280.1995.tb00596.x,https://w3id.org/oc/meta/br/061802651611,year_and_doi
ref_7,10.2307/40285811,1999,A Cross-Cultural Investigation Of The Perception Of Emotion In Music: Psychophysical And Cultural Cues,https://w3id.org/oc/meta/id/0679047207,https://w3id.org/oc/meta/ar/061404397230,https://w3id.org/oc/meta/re/06140802491,https://w3id.org/oc/meta/br/061401003149,http://purl.org/spar/fabio/JournalArticle,,A Cross-Cultural Investigation Of The Perception Of Emotion In Music: Psychophysical And Cultural Cues,70,10.2307/40285811,https://w3id.org/oc/meta/br/061401002555,year_and_doi
ref_11,10.1080/02699930126095,2001-01,The Contribution Of Speech Rate And Pitch Variation To The Perception Of Vocal Emotions In A German And An American Sample,https://w3id.org/oc/meta/id/06603061852,https://w3id.org/oc/meta/ar/066013821642,https://w3id.org/oc/meta/re/06602393027,https://w3id.org/oc/meta/br/064058926,http://purl.org/spar/fabio/JournalArticle,,The Contribution Of Speech Rate And Pitch Variation To The Perception Of Vocal Emotions In A German And An American Sample,70,10.1080/02699930126095,https://w3id.org/oc/meta/br/06603273784,year_and_doi
ref_12,10.1525/mp.2013.31.1.32,2013-09-01,Diachronic Changes In Jazz Harmony,https://w3id.org/oc/meta/id/061401054357,https://w3id.org/oc/meta/ar/061404396642,https://w3id.org/oc/meta/re/06140802291,https://w3id.org/oc/meta/br/061401003110,http://purl.org/spar/fabio/JournalArticle,,Diachronic Changes In Jazz Harmony,70,10.1525/mp.2013.31.1.32,https://w3id.org/oc/meta/br/061401002355,year_and_doi
ref_14,10.1037/1089-2680.3.1.14,1999-03,On The Psychometric Principles Of Affect,https://w3id.org/oc/meta/id/061201068110,https://w3id.org/oc/meta/ar/061204406357,https://w3id.org/oc/meta/re/06120815340,https://w3id.org/oc/meta/br/061201016428,http://purl.org/spar/fabio/JournalArticle,,On The Psychometric Principles Of Affect,70,10.1037/1089-2680.3.1.14,https://w3id.org/oc/meta/br/061201015411,year_and_doi
ref_16,10.2307/1423686,2001,"Musical Scales And Evaluations Of Happiness And Awkwardness: Effects Of Pitch, Direction, And Scale Mode",https://w3id.org/oc/meta/id/061602221917,https://w3id.org/oc/meta/ar/061609690451,https://w3id.org/oc/meta/re/061601837222,https://w3id.org/oc/meta/br/0623054639,http://purl.org/spar/fabio/JournalArticle,,"Musical Scales And Evaluations Of Happiness And Awkwardness: Effects Of Pitch, Direction, And Scale Mode",70,10.2307/1423686,https://w3id.org/oc/meta/br/061602208031,year_and_doi
ref_17,10.1111/desc.12100,2013-11-11,Enculturation To Musical Pitch Structure In Young Children: Evidence From Behavioral And Electrophysiological Methods,https://w3id.org/oc/meta/id/06860546726,https://w3id.org/oc/meta/ar/06604044331,https://w3id.org/oc/meta/re/0660752209,https://w3id.org/oc/meta/br/0660957360,http://purl.org/spar/fabio/JournalArticle,,Enculturation To Musical Pitch Structure In Young Children: Evidence From Behavioral And Electrophysiological Methods,65,10.1111/desc.12100,https://w3id.org/oc/meta/br/0660956510,year_and_doi
ref_18,10.1525/mp.2004.22.1.1,2004,"Interval Distributions, Mode, And Tonal Strength Of Melodies As Predictors Of Perceived Emotion",https://w3id.org/oc/meta/id/061601055763,https://w3id.org/oc/meta/ar/061604296447,https://w3id.org/oc/meta/re/06160801959,https://w3id.org/oc/meta/br/061601013031,http://purl.org/spar/fabio/JournalArticle,,"Interval Distributions, Mode, And Tonal Strength Of Melodies As Predictors Of Perceived Emotion",70,10.1525/mp.2004.22.1.1,https://w3id.org/oc/meta/br/061601012231,year_and_doi
ref_19,10.3758/bf03330169,1985-04,"Perception Of The Major/Minor Distinction: III. Hedonic, Musical, And Affective Discriminations",https://w3id.org/oc/meta/id/06840540011,https://w3id.org/oc/meta/ar/061705877389,https://w3id.org/oc/meta/re/061701114837,https://w3id.org/oc/meta/br/0611030508,http://purl.org/spar/fabio/JournalArticle,,"Perception Of The Major/Minor Distinction: III. Hedonic, Musical, And Affective Discriminations",70,10.3758/bf03330169,https://w3id.org/oc/meta/br/061701366402,year_and_doi
ref_20,10.1016/s0010-0277(00)00136-0,2001,A Developmental Study Of The Affective Value Of Tempo And Mode In Music.,https://w3id.org/oc/meta/id/06703779240,https://w3id.org/oc/meta/ar/062401902936,https://w3id.org/oc/meta/re/06240333614,https://w3id.org/oc/meta/br/062108471,http://purl.org/spar/fabio/JournalArticle,A developmental study of the affective value of tempo and mode in music,A Developmental Study Of The Affective Value Of Tempo And Mode In Music.,70,10.1016/s0010-0277(00)00136-0,https://w3id.org/oc/meta/br/06240480967,year_and_doi
