reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.3390/atmos10020056,2019-02-01,Characterizing Emissions From Agricultural Diesel Pumps In The Terai Region Of Nepal,https://w3id.org/oc/meta/id/062505985310,https://w3id.org/oc/meta/ar/061807347994,https://w3id.org/oc/meta/re/061801419190,https://w3id.org/oc/meta/br/061801710012,http://purl.org/spar/fabio/JournalArticle,,Characterizing Emissions From Agricultural Diesel Pumps In The Terai Region Of Nepal,70,10.3390/atmos10020056,https://w3id.org/oc/meta/br/061801709904,year_and_doi
ref_5,10.1016/j.enpol.2009.07.010,2009-10,Atmospheric Emissions From Road Transportation In India,https://w3id.org/oc/meta/id/061605212397,https://w3id.org/oc/meta/ar/061209456518,https://w3id.org/oc/meta/re/061201739510,https://w3id.org/oc/meta/br/061202098792,http://purl.org/spar/fabio/JournalArticle,,Atmospheric Emissions From Road Transportation In India,70,10.1016/j.enpol.2009.07.010,https://w3id.org/oc/meta/br/061202098462,year_and_doi
ref_6,10.3126/hn.v18i0.14641,2016-03-15,Road Transportation Energy Demand And Environmental Emission: A Case Of Kathmandu Valley,https://w3id.org/oc/meta/id/06640566372,https://w3id.org/oc/meta/ar/062308691310,https://w3id.org/oc/meta/re/062301630111,https://w3id.org/oc/meta/br/062301983419,http://purl.org/spar/fabio/JournalArticle,,Road Transportation Energy Demand And Environmental Emission: A Case Of Kathmandu Valley,70,10.3126/hn.v18i0.14641,https://w3id.org/oc/meta/br/062301982423,year_and_doi
ref_11,10.1073/pnas.1317275111,2014-11-03,Recent Climate And Air Pollution Impacts On Indian Agriculture,https://w3id.org/oc/meta/id/06640492881,https://w3id.org/oc/meta/ar/0621012750582,https://w3id.org/oc/meta/re/062102301566,https://w3id.org/oc/meta/br/062103046030,http://purl.org/spar/fabio/JournalArticle,,Recent Climate And Air Pollution Impacts On Indian Agriculture,70,10.1073/pnas.1317275111,https://w3id.org/oc/meta/br/062103045624,year_and_doi
ref_15,10.1007/s00382-008-0464-9,2008-10-14,Aerosol Direct Forcing Of The Summer Indian Monsoon As Simulated By The NCAR CAM3,https://w3id.org/oc/meta/id/062201715001,https://w3id.org/oc/meta/ar/062207426594,https://w3id.org/oc/meta/re/062201394862,https://w3id.org/oc/meta/br/062201678648,http://purl.org/spar/fabio/JournalArticle,,Aerosol Direct Forcing Of The Summer Indian Monsoon As Simulated By The NCAR CAM3,65,10.1007/s00382-008-0464-9,https://w3id.org/oc/meta/br/062201678413,year_and_doi
ref_19,10.1016/s0301-4215(02)00205-7,2003-11,"Implications Of Transportation Policies On Energy And Environment In Kathmandu Valley, Nepal",https://w3id.org/oc/meta/id/061602129948,https://w3id.org/oc/meta/ar/061609332744,https://w3id.org/oc/meta/re/061601758486,https://w3id.org/oc/meta/br/061602118325,http://purl.org/spar/fabio/JournalArticle,,"Implications Of Transportation Policies On Energy And Environment In Kathmandu Valley, Nepal",70,10.1016/s0301-4215(02)00205-7,https://w3id.org/oc/meta/br/061602117944,year_and_doi
ref_24,10.1080/10962247.2015.1040526,2015-05-15,Air Quality And Climate Connections,https://w3id.org/oc/meta/id/064301267140,https://w3id.org/oc/meta/ar/062405235332,https://w3id.org/oc/meta/re/06240970266,https://w3id.org/oc/meta/br/062401194042,http://purl.org/spar/fabio/JournalArticle,,Air Quality And Climate Connections,70,10.1080/10962247.2015.1040526,https://w3id.org/oc/meta/br/062401193790,year_and_doi
ref_27,10.1016/j.enpol.2011.10.022,2012-01,The Prospects Of Renewable Energy Technologies For Rural Electrification: A Review From Nepal,https://w3id.org/oc/meta/id/061102130695,https://w3id.org/oc/meta/ar/061109444938,https://w3id.org/oc/meta/re/061101743721,https://w3id.org/oc/meta/br/0615045420,http://purl.org/spar/fabio/JournalArticle,,The Prospects Of Renewable Energy Technologies For Rural Electrification: A Review From Nepal,70,10.1016/j.enpol.2011.10.022,https://w3id.org/oc/meta/br/061102114126,year_and_doi
ref_31,10.1080/02786826.2016.1178502,2016-04-13,Evaluation Of Portable Dilution System For Aerosol Measurement From Stationary And Mobile Combustion Sources,https://w3id.org/oc/meta/id/061301533017,https://w3id.org/oc/meta/ar/061306609496,https://w3id.org/oc/meta/re/061301241167,https://w3id.org/oc/meta/br/061301504836,http://purl.org/spar/fabio/JournalArticle,,Evaluation Of Portable Dilution System For Aerosol Measurement From Stationary And Mobile Combustion Sources,70,10.1080/02786826.2016.1178502,https://w3id.org/oc/meta/br/061301504419,year_and_doi
ref_41,10.1016/j.enpol.2013.06.023,2013-10,Household Energy Consumption Patterns And Its Environmental Implications: Assessment Of Energy Access And Poverty In Nepal,https://w3id.org/oc/meta/id/06940104127,https://w3id.org/oc/meta/ar/068010864424,https://w3id.org/oc/meta/re/06801864583,https://w3id.org/oc/meta/br/06802483979,http://purl.org/spar/fabio/JournalArticle,,Household Energy Consumption Patterns And Its Environmental Implications: Assessment Of Energy Access And Poverty In Nepal,50,10.1016/j.enpol.2013.06.023,https://w3id.org/oc/meta/br/06802483511,author_title
