reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/fabio/hasSequenceIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1161/cir.0000000000000485,2017-03-07,Heart Disease And Stroke Statistics—2017 Update: A Report From The American Heart Association,https://w3id.org/oc/meta/id/06603774380,,https://w3id.org/oc/meta/ar/062104847208,,https://w3id.org/oc/meta/br/062101120866,http://purl.org/spar/fabio/JournalArticle,Heart disease and stroke statistics—2017 update: a report from the American Heart Association.,Heart Disease And Stroke Statistics—2017 Update: A Report From The American Heart Association,70,10.1161/cir.0000000000000485,https://w3id.org/oc/meta/br/062101120483,year_and_doi
ref_3,10.1056/nejmcp1502240,2016-03-24,Chronic Stable Angina,https://w3id.org/oc/meta/id/06940271001,,https://w3id.org/oc/meta/ar/061109556283,https://w3id.org/oc/meta/re/061101763766,https://w3id.org/oc/meta/br/061102137015,http://purl.org/spar/fabio/JournalArticle,Clinical practice: chronic stable angina.,Chronic Stable Angina,70,10.1056/nejmcp1502240,https://w3id.org/oc/meta/br/061102136589,year_and_doi
ref_5,10.1016/j.ijcard.2014.09.126,2014-12,The Prevalence Of Doctor-Diagnosed Angina In 4314 Older Adults In China And Comparison With The Rose Angina Questionnaire: The 4 Province Study,https://w3id.org/oc/meta/id/06410619308,,https://w3id.org/oc/meta/ar/063013581851,https://w3id.org/oc/meta/re/06302316372,https://w3id.org/oc/meta/br/066056865,http://purl.org/spar/fabio/JournalArticle,The prevalence of doctor-diagnosed angina in 4314 older adults in China and comparison with the Rose Angina Questionnaire: the 4 Province Study.,The Prevalence Of Doctor-Diagnosed Angina In 4314 Older Adults In China And Comparison With The Rose Angina Questionnaire: The 4 Province Study,70,10.1016/j.ijcard.2014.09.126,https://w3id.org/oc/meta/br/06303213938,year_and_doi
ref_6,10.1136/heartjnl-2011-301436,2012-01-23,Management Of Stable Angina: Summary Of NICE Guidance: Figure 1,https://w3id.org/oc/meta/id/061405124271,,https://w3id.org/oc/meta/ar/062503787,https://w3id.org/oc/meta/re/06250573,https://w3id.org/oc/meta/br/0625062012,http://purl.org/spar/fabio/JournalArticle,Management of stable angina: summary of NICE guidance.,Management Of Stable Angina: Summary Of NICE Guidance: Figure 1,70,10.1136/heartjnl-2011-301436,https://w3id.org/oc/meta/br/0625061551,year_and_doi
ref_7,10.1016/s0140-6736(17)32714-9,2018,"Percutaneous Coronary Intervention In Stable Angina (ORBITA): A Double-Blind, Randomised Controlled Trial.",https://w3id.org/oc/meta/id/062303761776,,https://w3id.org/oc/meta/ar/0623014651150,https://w3id.org/oc/meta/re/064701518,https://w3id.org/oc/meta/br/0616022987,http://purl.org/spar/fabio/JournalArticle,"Percutaneous coronary intervention in stable angina (ORBITA): a double-blind, randomised controlled trial.","Percutaneous Coronary Intervention In Stable Angina (ORBITA): A Double-Blind, Randomised Controlled Trial.",70,10.1016/s0140-6736(17)32714-9,https://w3id.org/oc/meta/br/062303720894,year_and_doi
ref_8,10.1016/j.ijcard.2015.05.043,2015-09,Efficacy Of Electroacupuncture Pretreatment For Myocardial Injury In Patients Undergoing Percutaneous Coronary Intervention: A Randomized Clinical Trial With A 2-Year Follow-Up,https://w3id.org/oc/meta/id/062305306452,,https://w3id.org/oc/meta/ar/061013364841,https://w3id.org/oc/meta/re/06102342229,https://w3id.org/oc/meta/br/06103226436,http://purl.org/spar/fabio/JournalArticle,Efficacy of electroacupuncture pretreatment for myocardial injury in patients undergoing percutaneous coronary intervention: a randomized clinical trial with a 2-year follow-up.,Efficacy Of Electroacupuncture Pretreatment For Myocardial Injury In Patients Undergoing Percutaneous Coronary Intervention: A Randomized Clinical Trial With A 2-Year Follow-Up,70,10.1016/j.ijcard.2015.05.043,https://w3id.org/oc/meta/br/06103225934,year_and_doi
ref_9,10.1097/00132580-200107000-00006,2001-07,Alternative Approaches To The Medical Management Of Angina Pectoris,https://w3id.org/oc/meta/id/06520545757,,https://w3id.org/oc/meta/ar/061606528700,https://w3id.org/oc/meta/re/061601245884,https://w3id.org/oc/meta/br/061601513570,http://purl.org/spar/fabio/JournalArticle,"Alternative approaches to the medical management of angina pectoris: acupuncture, electrical nerve stimulation, and spinal cord stimulation.",Alternative Approaches To The Medical Management Of Angina Pectoris,70,10.1097/00132580-200107000-00006,https://w3id.org/oc/meta/br/061601512583,year_and_doi
ref_10,10.1142/s0192415x99000197,1999-01,Effect Of Acupuncture At Nei-Kuan On Left Ventricular Function In Patients With Coronary Artery Disease,https://w3id.org/oc/meta/id/062303826788,,https://w3id.org/oc/meta/ar/06209685049,https://w3id.org/oc/meta/re/06201700901,https://w3id.org/oc/meta/br/06202270735,http://purl.org/spar/fabio/JournalArticle,Effect of acupuncture at nei-kuan on left ventricular function in patients with coronary artery disease.,Effect Of Acupuncture At Nei-Kuan On Left Ventricular Function In Patients With Coronary Artery Disease,70,10.1142/s0192415x99000197,https://w3id.org/oc/meta/br/06202270196,year_and_doi
ref_11,10.1016/j.ijcard.2014.07.011,2014-09,A Randomized Controlled Trial Of Acupuncture In Stable Ischemic Heart Disease Patients,https://w3id.org/oc/meta/id/06310694381,,https://w3id.org/oc/meta/ar/063013586093,https://w3id.org/oc/meta/re/06302316925,https://w3id.org/oc/meta/br/06303214803,http://purl.org/spar/fabio/JournalArticle,A randomized controlled trial of acupuncture in stable ischemic heart disease patients.,A Randomized Controlled Trial Of Acupuncture In Stable Ischemic Heart Disease Patients,70,10.1016/j.ijcard.2014.07.011,https://w3id.org/oc/meta/br/06303214492,year_and_doi
ref_12,10.1161/01.cir.71.2.308,1985-02,The Effects Of Transcutaneous Electrical Nerve Stimulation In Patients With Severe Angina Pectoris.,https://w3id.org/oc/meta/id/062503464986,,https://w3id.org/oc/meta/ar/062204863974,https://w3id.org/oc/meta/re/06220902121,https://w3id.org/oc/meta/br/0625022824,http://purl.org/spar/fabio/JournalArticle,The effects of transcutaneous electrical nerve stimulation in patients with severe angina pectoris.,The Effects Of Transcutaneous Electrical Nerve Stimulation In Patients With Severe Angina Pectoris.,70,10.1161/01.cir.71.2.308,https://w3id.org/oc/meta/br/062201123571,year_and_doi
ref_13,10.1093/oxfordjournals.eurheartj.a059865,1991-02,Effect Of Acupuncture In Patients With Angina Pectoris,https://w3id.org/oc/meta/id/061703820945,,https://w3id.org/oc/meta/ar/06602399920,https://w3id.org/oc/meta/re/0660435720,https://w3id.org/oc/meta/br/064011893,http://purl.org/spar/fabio/JournalArticle,Effect of acupuncture in patients with angina pectoris.,Effect Of Acupuncture In Patients With Angina Pectoris,70,10.1093/oxfordjournals.eurheartj.a059865,https://w3id.org/oc/meta/br/0660598936,year_and_doi
ref_15,10.1152/ajpheart.00030.2012,2012-05-01,Cardioprotection Of Electroacupuncture Against Myocardial Ischemia-Reperfusion Injury By Modulation Of Cardiac Norepinephrine Release,https://w3id.org/oc/meta/id/06606164715,,https://w3id.org/oc/meta/ar/061903188033,https://w3id.org/oc/meta/re/06190577858,https://w3id.org/oc/meta/br/06190764350,http://purl.org/spar/fabio/JournalArticle,Cardioprotection of electroacupuncture against myocardial ischemia-reperfusion injury by modulation of cardiac norepinephrine release.,Cardioprotection Of Electroacupuncture Against Myocardial Ischemia-Reperfusion Injury By Modulation Of Cardiac Norepinephrine Release,70,10.1152/ajpheart.00030.2012,https://w3id.org/oc/meta/br/06190764244,year_and_doi
ref_16,10.1152/ajpheart.00889.2013,2014-05-15,Electroacupuncture Improves Cardiac Function And Remodeling By Inhibition Of Sympathoexcitation In Chronic Heart Failure Rats,https://w3id.org/oc/meta/id/06190814741,,https://w3id.org/oc/meta/ar/061903182652,https://w3id.org/oc/meta/re/06190577137,https://w3id.org/oc/meta/br/06190764295,http://purl.org/spar/fabio/JournalArticle,Electroacupuncture improves cardiac function and remodeling by inhibition of sympathoexcitation in chronic heart failure rats.,Electroacupuncture Improves Cardiac Function And Remodeling By Inhibition Of Sympathoexcitation In Chronic Heart Failure Rats,70,10.1152/ajpheart.00889.2013,https://w3id.org/oc/meta/br/06190763523,year_and_doi
ref_17,10.1016/j.lfs.2007.01.019,2007-03,Acupuncture Pretreatment Protects Heart From Injury In Rats With Myocardial Ischemia And Reperfusion Via Inhibition Of The Β1-Adrenoceptor Signaling Pathway,https://w3id.org/oc/meta/id/06680854125,,https://w3id.org/oc/meta/ar/06206971599,https://w3id.org/oc/meta/re/06201306605,https://w3id.org/oc/meta/br/06201580926,http://purl.org/spar/fabio/JournalArticle,Acupuncture pretreatment protects heart from injury in rats with myocardial ischemia and reperfusion via inhibition of the beta(1)-adrenoceptor signaling pathway.,Acupuncture Pretreatment Protects Heart From Injury In Rats With Myocardial Ischemia And Reperfusion Via Inhibition Of The Β1-Adrenoceptor Signaling Pathway,70,10.1016/j.lfs.2007.01.019,https://w3id.org/oc/meta/br/06201580687,year_and_doi
ref_18,10.3390/molecules191016158,2014-10-09,Electro-Acupuncture At Neiguan Pretreatment Alters Genome-Wide Gene Expressions And Protects Rat Myocardium Against Ischemia-Reperfusion,https://w3id.org/oc/meta/id/062304221409,,https://w3id.org/oc/meta/ar/061706106079,https://w3id.org/oc/meta/re/061701163406,https://w3id.org/oc/meta/br/061701421649,http://purl.org/spar/fabio/JournalArticle,Electro-acupuncture at neiguan pretreatment alters genome-wide gene expressions and protects rat myocardium against ischemia-reperfusion.,Electro-Acupuncture At Neiguan Pretreatment Alters Genome-Wide Gene Expressions And Protects Rat Myocardium Against Ischemia-Reperfusion,70,10.3390/molecules191016158,https://w3id.org/oc/meta/br/061701421513,year_and_doi
ref_19,10.1089/acu.2013.0960,2013-04,Acupuncture's Cardiovascular Actions: A Mechanistic Perspective,https://w3id.org/oc/meta/id/06610537205,,https://w3id.org/oc/meta/ar/0619012066825,https://w3id.org/oc/meta/re/061902230228,https://w3id.org/oc/meta/br/061902879212,http://purl.org/spar/fabio/JournalArticle,Acupuncture’s cardiovascular actions: a mechanistic perspective.,Acupuncture's Cardiovascular Actions: A Mechanistic Perspective,70,10.1089/acu.2013.0960,https://w3id.org/oc/meta/br/061902878644,year_and_doi
ref_22,10.1186/s12906-015-0586-7,2015-03-28,Effectiveness Of Acupuncture For Angina Pectoris: A Systematic Review Of Randomized Controlled Trials,https://w3id.org/oc/meta/id/061804262574,,https://w3id.org/oc/meta/ar/06110564661,,https://w3id.org/oc/meta/br/062102355,http://purl.org/spar/fabio/JournalArticle,Effectiveness of acupuncture for angina pectoris: a systematic review of randomized controlled trials.,Effectiveness Of Acupuncture For Angina Pectoris: A Systematic Review Of Randomized Controlled Trials,70,10.1186/s12906-015-0586-7,https://w3id.org/oc/meta/br/06110188079,year_and_doi
ref_23,10.3727/036012995816357113,1995,Acupuncture In Angina Pectoris: Do Psycho-Social And Neurophysiological Factors Relate To The Effect?,https://w3id.org/oc/meta/id/06210719224,,https://w3id.org/oc/meta/ar/062102817862,https://w3id.org/oc/meta/re/06210486644,https://w3id.org/oc/meta/br/06210665421,http://purl.org/spar/fabio/JournalArticle,Acupuncture in angina pectoris: do psycho-social and neurophysiological factors relate to the effect?,Acupuncture In Angina Pectoris: Do Psycho-Social And Neurophysiological Factors Relate To The Effect?,70,10.3727/036012995816357113,https://w3id.org/oc/meta/br/06210664873,year_and_doi
ref_25,10.1161/circulationaha.107.188208,2008-01-15,2007 Focused Update Of The ACC/AHA/SCAI 2005 Guideline Update For Percutaneous Coronary Intervention,https://w3id.org/oc/meta/id/0668059391,,https://w3id.org/oc/meta/ar/06104870792,https://w3id.org/oc/meta/re/0610919231,https://w3id.org/oc/meta/br/06101145346,http://purl.org/spar/fabio/JournalArticle,"2007 Focused update of the ACC/AHA/SCAI 2005 guideline update for percutaneous coronary intervention: a report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines: 2007 Writing Group to review new evidence and update the ACC/AHA/SCAI 2005 guideline update for percutaneous coronary intervention, writing on behalf of the 2005 Writing Committee.",2007 Focused Update Of The ACC/AHA/SCAI 2005 Guideline Update For Percutaneous Coronary Intervention,70,10.1161/circulationaha.107.188208,https://w3id.org/oc/meta/br/06101145100,year_and_doi
ref_27,10.1186/1745-6215-15-50,2014-02-05,"Acupuncture For Chronic, Stable Angina Pectoris And An Investigation Of The Characteristics Of Acupoint Specificity: Study Protocol For A Multicenter Randomized Controlled Trial",https://w3id.org/oc/meta/id/06430491427,,https://w3id.org/oc/meta/ar/06902585421,,https://w3id.org/oc/meta/br/0616010867,http://purl.org/spar/fabio/JournalArticle,"Acupuncture for chronic, stable angina pectoris and an investigation of the characteristics of acupoint specificity: study protocol for a multicenter randomized controlled trial.","Acupuncture For Chronic, Stable Angina Pectoris And An Investigation Of The Characteristics Of Acupoint Specificity: Study Protocol For A Multicenter Randomized Controlled Trial",70,10.1186/1745-6215-15-50,https://w3id.org/oc/meta/br/0690631124,year_and_doi
ref_30,10.1001/jamainternmed.2016.9378,2017-04-01,The Long-term Effect Of Acupuncture For Migraine Prophylaxis,https://w3id.org/oc/meta/id/06502527717,,https://w3id.org/oc/meta/ar/065011338020,https://w3id.org/oc/meta/re/06501991556,https://w3id.org/oc/meta/br/062203792349,http://purl.org/spar/fabio/JournalArticle,The long-term effect of acupuncture for migraine prophylaxis: a randomized clinical trial.,The Long-term Effect Of Acupuncture For Migraine Prophylaxis,70,10.1001/jamainternmed.2016.9378,https://w3id.org/oc/meta/br/06502628492,year_and_doi
ref_31,10.1016/j.jacc.2012.07.013,2012-12,2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS Guideline For The Diagnosis And Management Of Patients With Stable Ischemic Heart Disease,https://w3id.org/oc/meta/id/06104269657,,https://w3id.org/oc/meta/ar/062607730744,https://w3id.org/oc/meta/re/062601449114,https://w3id.org/oc/meta/br/069045907,http://purl.org/spar/fabio/JournalArticle,"2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS guideline for the diagnosis and management of patients with stable ischemic heart disease: a report of the American College of Cardiology Foundation/American Heart Association Task Force on Practice Guidelines and the American College of Physicians, American Association for Thoracic Surgery, Preventive Cardiovascular Nurses Association, Society for Cardiovascular Angiography and Interventions, and Society of Thoracic Surgeons.",2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS Guideline For The Diagnosis And Management Of Patients With Stable Ischemic Heart Disease,70,10.1016/j.jacc.2012.07.013,https://w3id.org/oc/meta/br/062601767697,year_and_doi
ref_33,10.1111/j.1526-4637.2010.01051.x,2011-02,The Effect Of Brief Electrical And Manual Acupuncture Stimulation On Mechanical Experimental Pain,https://w3id.org/oc/meta/id/06502146005,,https://w3id.org/oc/meta/ar/06509656864,https://w3id.org/oc/meta/re/06501678642,https://w3id.org/oc/meta/br/06502246915,http://purl.org/spar/fabio/JournalArticle,The effect of brief electrical and manual acupuncture stimulation on mechanical experimental pain.,The Effect Of Brief Electrical And Manual Acupuncture Stimulation On Mechanical Experimental Pain,70,10.1111/j.1526-4637.2010.01051.x,https://w3id.org/oc/meta/br/06502246600,year_and_doi
