reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1002/bies.201400144,2014-10-18,The Shades Of Gray Of The Chromatin Fiber,https://w3id.org/oc/meta/id/06704158300,https://w3id.org/oc/meta/ar/062409786057,https://w3id.org/oc/meta/re/062401818922,https://w3id.org/oc/meta/br/062402203444,http://purl.org/spar/fabio/JournalArticle,The shades of gray of the chromatin fiber,The Shades Of Gray Of The Chromatin Fiber,65,10.1002/bies.201400144,https://w3id.org/oc/meta/br/062402202764,author_title
ref_2,10.1002/iub.1568,2016-10-05,Higher-order Structure Of The 30-Nm Chromatin Fiber Revealed By cryo-EM,https://w3id.org/oc/meta/id/06604603788,https://w3id.org/oc/meta/ar/062306509895,https://w3id.org/oc/meta/re/062301227834,https://w3id.org/oc/meta/br/062301507643,http://purl.org/spar/fabio/JournalArticle,Higher-order structure of the 30-nm chromatin fiber revealed by cryo-EM,Higher-order Structure Of The 30-Nm Chromatin Fiber Revealed By cryo-EM,70,10.1002/iub.1568,https://w3id.org/oc/meta/br/062301507477,author_title
ref_7,10.1002/j.1460-2075.1985.tb04064.x,1985-12,Higher-order Structure Of Long Repeat Chromatin.,https://w3id.org/oc/meta/id/06804157858,https://w3id.org/oc/meta/ar/06609754310,https://w3id.org/oc/meta/re/06601679668,https://w3id.org/oc/meta/br/0626049343,http://purl.org/spar/fabio/JournalArticle,Higher-order structure of long repeat chromatin,Higher-order Structure Of Long Repeat Chromatin.,70,10.1002/j.1460-2075.1985.tb04064.x,https://w3id.org/oc/meta/br/06602245802,author_title
ref_13,10.1016/j.molcel.2018.09.027,2018-12,Structure Of An H1-Bound 6-Nucleosome Array Reveals An Untwisted Two-Start Chromatin Fiber Conformation,https://w3id.org/oc/meta/id/061704168157,https://w3id.org/oc/meta/ar/062505774561,https://w3id.org/oc/meta/re/062501071514,https://w3id.org/oc/meta/br/062501305547,http://purl.org/spar/fabio/JournalArticle,Structure of an H1-bound 6-nucleosome array reveals an untwisted two-start chromatin fiber conformation,Structure Of An H1-Bound 6-Nucleosome Array Reveals An Untwisted Two-Start Chromatin Fiber Conformation,70,10.1016/j.molcel.2018.09.027,https://w3id.org/oc/meta/br/062501305106,author_title
ref_14,10.1083/jcb.99.1.42,1984-07-01,The Higher-Order Structure Of Chromatin: Evidence For A Helical Ribbon Arrangement.,https://w3id.org/oc/meta/id/061903555214,https://w3id.org/oc/meta/ar/061607185026,https://w3id.org/oc/meta/re/061601369806,https://w3id.org/oc/meta/br/064038450,http://purl.org/spar/fabio/JournalArticle,The higher-order structure of chromatin: evidence for a helical ribbon arrangement,The Higher-Order Structure Of Chromatin: Evidence For A Helical Ribbon Arrangement.,70,10.1083/jcb.99.1.42,https://w3id.org/oc/meta/br/061601654691,author_title
ref_16,10.1242/jcs.105.2.551,1993-06-01,Transitions Between In Situ And Isolated Chromatin,https://w3id.org/oc/meta/id/061403556655,https://w3id.org/oc/meta/ar/06307279526,https://w3id.org/oc/meta/re/06301362526,https://w3id.org/oc/meta/br/065035054,http://purl.org/spar/fabio/JournalArticle,Transitions between in situ and isolated chromatin,Transitions Between In Situ And Isolated Chromatin,70,10.1242/jcs.105.2.551,https://w3id.org/oc/meta/br/06301656357,author_title
ref_21,10.1016/s0022-2836(83)80129-6,1983-11,Protein Folding By Restrained Energy Minimization And Molecular Dynamics,https://w3id.org/oc/meta/id/06120316072,https://w3id.org/oc/meta/ar/06120859787,https://w3id.org/oc/meta/re/06120153900,https://w3id.org/oc/meta/br/06120242674,http://purl.org/spar/fabio/JournalArticle,Protein folding by restrained energy minimization and molecular dynamics,Protein Folding By Restrained Energy Minimization And Molecular Dynamics,70,10.1016/s0022-2836(83)80129-6,https://w3id.org/oc/meta/br/06120242433,author_title
ref_22,10.1002/1097-0282(20001015)54:5<307::aid-bip20>3.0.co;2-y,2000,Computation Of Writhe In Modeling Of Supercoiled DNA.,https://w3id.org/oc/meta/id/06803732595,https://w3id.org/oc/meta/ar/062201220682,https://w3id.org/oc/meta/re/06220198106,https://w3id.org/oc/meta/br/061606051,http://purl.org/spar/fabio/JournalArticle,Computation of writhe in modeling of supercoiled DNA,Computation Of Writhe In Modeling Of Supercoiled DNA.,70,10.1002/1097-0282(20001015)54:5<307::aid-bip20>3.0.co;2-y,https://w3id.org/oc/meta/br/06220318434,author_title
ref_24,10.1016/j.bpj.2011.03.064,2011-06,Linker Histones Incorporation Maintains Chromatin Fiber Plasticity,https://w3id.org/oc/meta/id/062303422876,https://w3id.org/oc/meta/ar/061401194964,https://w3id.org/oc/meta/re/06140204752,https://w3id.org/oc/meta/br/06140319040,http://purl.org/spar/fabio/JournalArticle,Linker histones incorporation maintains chromatin fiber plasticity,Linker Histones Incorporation Maintains Chromatin Fiber Plasticity,70,10.1016/j.bpj.2011.03.064,https://w3id.org/oc/meta/br/06140318120,author_title
ref_25,10.1083/jcb.83.2.403,1979-11-01,Involvement Of Histone H1 In The Organization Of The Nucleosome And Of The Salt-Dependent Superstructures Of Chromatin.,https://w3id.org/oc/meta/id/06550670741,https://w3id.org/oc/meta/ar/061607184858,https://w3id.org/oc/meta/re/061601369761,https://w3id.org/oc/meta/br/064038609,http://purl.org/spar/fabio/JournalArticle,Involvement of histone H1 in the organization of the nucleosome and of the salt-dependent superstructures of chromatin,Involvement Of Histone H1 In The Organization Of The Nucleosome And Of The Salt-Dependent Superstructures Of Chromatin.,70,10.1083/jcb.83.2.403,https://w3id.org/oc/meta/br/061601654646,author_title
