reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1016/0749-5978(91)90020-t,1991-12,The Theory Of Planned Behavior,https://w3id.org/oc/meta/id/0643028455,https://w3id.org/oc/meta/ar/06430137281,https://w3id.org/oc/meta/re/0643026900,https://w3id.org/oc/meta/br/0643031266,http://purl.org/spar/fabio/JournalArticle,The theory of planned behavior,The Theory Of Planned Behavior,70,10.1016/0749-5978(91)90020-t,https://w3id.org/oc/meta/br/0643030347,author_title
ref_3,10.1016/0022-1031(86)90045-4,1986-09,"Prediction Of Goal-Directed Behavior: Attitudes, Intentions, And Perceived Behavioral Control",https://w3id.org/oc/meta/id/062205993750,https://w3id.org/oc/meta/ar/062305002134,https://w3id.org/oc/meta/re/06230932181,https://w3id.org/oc/meta/br/0616030196,http://purl.org/spar/fabio/JournalArticle,"Prediction of goal-directed behavior: Attitudes, intentions, and perceived behavioral control","Prediction Of Goal-Directed Behavior: Attitudes, Intentions, And Perceived Behavioral Control",70,10.1016/0022-1031(86)90045-4,https://w3id.org/oc/meta/br/062301168404,author_title
ref_4,10.1509/jmkg.69.3.19.66363,2005-07,The Social Influence Of Brand Community: Evidence From European Car Clubs,https://w3id.org/oc/meta/id/061303100696,https://w3id.org/oc/meta/ar/0613013499907,https://w3id.org/oc/meta/re/061302451704,https://w3id.org/oc/meta/br/064064203,http://purl.org/spar/fabio/JournalArticle,The social influence of brand community: Evidence from European car clubs,The Social Influence Of Brand Community: Evidence From European Car Clubs,70,10.1509/jmkg.69.3.19.66363,https://w3id.org/oc/meta/br/061303309641,author_title
ref_6,10.1007/bf02723327,1988-03,On The Evaluation Of Structural Equation Models,https://w3id.org/oc/meta/id/06470496249,https://w3id.org/oc/meta/ar/061605136381,https://w3id.org/oc/meta/re/06160975538,https://w3id.org/oc/meta/br/0623028414,http://purl.org/spar/fabio/JournalArticle,On the evaluation of structural equation models,On The Evaluation Of Structural Equation Models,70,10.1007/bf02723327,https://w3id.org/oc/meta/br/061601202156,author_title
ref_7,10.1111/j.2044-8309.1995.tb01076.x,1995-12,A Comparison Of Leading Theories For The Prediction Of Goal-Directed Behaviours,https://w3id.org/oc/meta/id/06940539147,https://w3id.org/oc/meta/ar/061405241172,https://w3id.org/oc/meta/re/06140964770,https://w3id.org/oc/meta/br/0621023442,http://purl.org/spar/fabio/JournalArticle,A comparison of leading theories for the prediction of goal-directed behaviours,A Comparison Of Leading Theories For The Prediction Of Goal-Directed Behaviours,70,10.1111/j.2044-8309.1995.tb01076.x,https://w3id.org/oc/meta/br/061401178858,author_title
ref_9,10.1037/0003-066x.37.2.122,1982-02,Self-efficacy Mechanism In Human Agency.,https://w3id.org/oc/meta/id/06901479122,https://w3id.org/oc/meta/ar/06906282599,https://w3id.org/oc/meta/re/06901182862,https://w3id.org/oc/meta/br/067031776,http://purl.org/spar/fabio/JournalArticle,Self-efficacy mechanism in human agency,Self-efficacy Mechanism In Human Agency.,70,10.1037/0003-066x.37.2.122,https://w3id.org/oc/meta/br/06901449895,author_title
ref_11,10.1016/j.chb.2015.10.033,2016-02,Strategic Self-Presentation On Facebook: Personal Motives And Audience Response To Online Behavior,https://w3id.org/oc/meta/id/06150179351,https://w3id.org/oc/meta/ar/06150205979,https://w3id.org/oc/meta/re/0615042296,https://w3id.org/oc/meta/br/06190698,http://purl.org/spar/fabio/JournalArticle,Strategic self-presentation on Facebook: Personal motives and audience response to online behavior,Strategic Self-Presentation On Facebook: Personal Motives And Audience Response To Online Behavior,70,10.1016/j.chb.2015.10.033,https://w3id.org/oc/meta/br/06150110009,author_title
ref_13,10.1037/0033-2909.107.2.238,1990,Comparative Fit Indexes In Structural Models.,https://w3id.org/oc/meta/id/06801510786,https://w3id.org/oc/meta/ar/06806510834,https://w3id.org/oc/meta/re/06801211737,https://w3id.org/oc/meta/br/0621032636,http://purl.org/spar/fabio/JournalArticle,Comparative fit indexes in structural models,Comparative Fit Indexes In Structural Models.,70,10.1037/0033-2909.107.2.238,https://w3id.org/oc/meta/br/06801481844,author_title
ref_14,10.1037/0033-2909.88.3.588,1980-11,Significance Tests And Goodness Of Fit In The Analysis Of Covariance Structures.,https://w3id.org/oc/meta/id/06305881055,https://w3id.org/oc/meta/ar/062606468720,https://w3id.org/oc/meta/re/062601217338,https://w3id.org/oc/meta/br/0621032149,http://purl.org/spar/fabio/JournalArticle,Significance tests and goodness of fit in the analysis of covariance structures,Significance Tests And Goodness Of Fit In The Analysis Of Covariance Structures.,70,10.1037/0033-2909.88.3.588,https://w3id.org/oc/meta/br/062601499119,author_title
ref_15,10.1016/j.socscimed.2017.02.008,2017-08,Producing A Worthy Illness: Personal Crowdfunding Amidst Financial Crisis,https://w3id.org/oc/meta/id/06610269270,https://w3id.org/oc/meta/ar/06103126449,https://w3id.org/oc/meta/re/0610556470,https://w3id.org/oc/meta/br/061903692594,http://purl.org/spar/fabio/JournalArticle,Producing a worthy illness: Personal crowdfunding amidst financial crisis,Producing A Worthy Illness: Personal Crowdfunding Amidst Financial Crisis,70,10.1016/j.socscimed.2017.02.008,https://w3id.org/oc/meta/br/0610742287,author_title
ref_16,10.1016/j.jbusres.2016.10.001,2017-02,The Influence Of Online Information On Investing Decisions Of Reward-Based Crowdfunding,https://w3id.org/oc/meta/id/0680355007,https://w3id.org/oc/meta/ar/06801005961,https://w3id.org/oc/meta/re/0680188391,https://w3id.org/oc/meta/br/0680293300,http://purl.org/spar/fabio/JournalArticle,The influence of online information on investing decisions of reward-based crowdfunding,The Influence Of Online Information On Investing Decisions Of Reward-Based Crowdfunding,70,10.1016/j.jbusres.2016.10.001,https://w3id.org/oc/meta/br/0680292627,author_title
ref_20,10.1287/isre.1120.0468,2013-09,An Empirical Examination Of The Antecedents And Consequences Of Contribution Patterns In Crowd-Funded Markets,https://w3id.org/oc/meta/id/062401067577,https://w3id.org/oc/meta/ar/062404422642,https://w3id.org/oc/meta/re/06240810146,https://w3id.org/oc/meta/br/062401014023,http://purl.org/spar/fabio/JournalArticle,An empirical examination of the antecedents and consequences of contribution patterns in crowd-funded markets,An Empirical Examination Of The Antecedents And Consequences Of Contribution Patterns In Crowd-Funded Markets,70,10.1287/isre.1120.0468,https://w3id.org/oc/meta/br/062401013572,author_title
ref_21,10.1111/etap.12271,2017-03,"Serial Crowdfunding, Social Capital, And Project Success",https://w3id.org/oc/meta/id/06910826794,https://w3id.org/oc/meta/ar/062309602062,https://w3id.org/oc/meta/re/062301789384,https://w3id.org/oc/meta/br/062302177505,http://purl.org/spar/fabio/JournalArticle,"Serial crowdfunding, social capital, and project success","Serial Crowdfunding, Social Capital, And Project Success",70,10.1111/etap.12271,https://w3id.org/oc/meta/br/062302177523,author_title
ref_22,10.1037/0033-2909.105.3.456,1989-05,Testing For The Equivalence Of Factor Covariance And Mean Structures: The Issue Of Partial Measurement Invariance.,https://w3id.org/oc/meta/id/06450763559,https://w3id.org/oc/meta/ar/06306501109,https://w3id.org/oc/meta/re/06301215520,https://w3id.org/oc/meta/br/0621032616,http://purl.org/spar/fabio/JournalArticle,Testing for the equivalence of factor covariance and mean structures: The issue of partial measurement invariance,Testing For The Equivalence Of Factor Covariance And Mean Structures: The Issue Of Partial Measurement Invariance.,70,10.1037/0033-2909.105.3.456,https://w3id.org/oc/meta/br/06301486186,author_title
ref_23,10.1207/s15327752jpa8301_04,2004-08,Psychological Entitlement: Interpersonal Consequences And Validation Of A Self-Report Measure,https://w3id.org/oc/meta/id/06870861963,https://w3id.org/oc/meta/ar/061403952810,https://w3id.org/oc/meta/re/06140717507,https://w3id.org/oc/meta/br/06140909326,http://purl.org/spar/fabio/JournalArticle,Psychological entitlement: Interpersonal consequences and validation of a self-report measure,Psychological Entitlement: Interpersonal Consequences And Validation Of A Self-Report Measure,70,10.1207/s15327752jpa8301_04,https://w3id.org/oc/meta/br/06140909233,author_title
ref_25,10.1016/j.jpubeco.2014.01.002,2014-06,Fundraising Through Online Social Networks: A Field Experiment On Peer-To-Peer Solicitation,https://w3id.org/oc/meta/id/06850561468,https://w3id.org/oc/meta/ar/06804229342,https://w3id.org/oc/meta/re/0680778172,https://w3id.org/oc/meta/br/0680989794,http://purl.org/spar/fabio/JournalArticle,Fundraising through online social networks: A field experiment on peer-to-peer solicitation,Fundraising Through Online Social Networks: A Field Experiment On Peer-To-Peer Solicitation,70,10.1016/j.jpubeco.2014.01.002,https://w3id.org/oc/meta/br/0680989425,author_title
ref_26,10.1037/a0013193,2008-11,What Happens If We Compare Chopsticks With Forks? The Impact Of Making Inappropriate Comparisons In Cross-Cultural Research.,https://w3id.org/oc/meta/id/06820226287,https://w3id.org/oc/meta/ar/06320162475,https://w3id.org/oc/meta/re/0632031819,https://w3id.org/oc/meta/br/0632038881,http://purl.org/spar/fabio/JournalArticle,What happens if we compare chopsticks with forks? The impact of making inappropriate comparisons in cross-cultural research,What Happens If We Compare Chopsticks With Forks? The Impact Of Making Inappropriate Comparisons In Cross-Cultural Research.,70,10.1037/a0013193,https://w3id.org/oc/meta/br/0632038605,author_title
ref_27,10.1016/j.dss.2012.01.015,2012-04,What Drives Consumers To Spread Electronic Word Of Mouth In Online Consumer-Opinion Platforms,https://w3id.org/oc/meta/id/061305013105,https://w3id.org/oc/meta/ar/0610420272,https://w3id.org/oc/meta/re/061066591,https://w3id.org/oc/meta/br/0610152503,http://purl.org/spar/fabio/JournalArticle,What drives consumers to spread electronic word of mouth in online consumer-opinion platforms,What Drives Consumers To Spread Electronic Word Of Mouth In Online Consumer-Opinion Platforms,70,10.1016/j.dss.2012.01.015,https://w3id.org/oc/meta/br/0610152223,author_title
ref_28,10.1016/j.chb.2016.08.031,2016-12,Service Co-Creation In Social Media: An Extension Of The Theory Of Planned Behavior,https://w3id.org/oc/meta/id/06740324411,https://w3id.org/oc/meta/ar/06140219318,https://w3id.org/oc/meta/re/0614042851,https://w3id.org/oc/meta/br/06190692,http://purl.org/spar/fabio/JournalArticle,Service co-creation in social media: An extension of the theory of planned behavior,Service Co-Creation In Social Media: An Extension Of The Theory Of Planned Behavior,70,10.1016/j.chb.2016.08.031,https://w3id.org/oc/meta/br/06140106641,author_title
ref_30,10.1016/j.chb.2017.03.013,2017-07,A Cross-Cultural Comparative Analysis Of Crowdfunding Projects In The United States And South Korea,https://w3id.org/oc/meta/id/06140181199,https://w3id.org/oc/meta/ar/06140217661,https://w3id.org/oc/meta/re/0614042453,https://w3id.org/oc/meta/br/06190693,http://purl.org/spar/fabio/JournalArticle,A cross-cultural comparative analysis of crowdfunding projects in the United States and South Korea,A Cross-Cultural Comparative Analysis Of Crowdfunding Projects In The United States And South Korea,70,10.1016/j.chb.2017.03.013,https://w3id.org/oc/meta/br/06140106243,author_title
ref_34,10.1007/s10869-010-9181-6,2010-05-22,What Reviewers Should Expect From Authors Regarding Common Method Bias In Organizational Research,https://w3id.org/oc/meta/id/06420476861,https://w3id.org/oc/meta/ar/062308841821,https://w3id.org/oc/meta/re/062301657424,https://w3id.org/oc/meta/br/062302018046,http://purl.org/spar/fabio/JournalArticle,What reviewers should expect from authors regarding common method bias in organizational research,What Reviewers Should Expect From Authors Regarding Common Method Bias In Organizational Research,70,10.1007/s10869-010-9181-6,https://w3id.org/oc/meta/br/062302017571,author_title
ref_35,10.1016/j.chb.2018.01.014,2018-06,Being Seen To Care: The Relationship Between Self-Presentation And Contributions To Online Pro-Social Crowdfunding Campaigns,https://w3id.org/oc/meta/id/06130177681,https://w3id.org/oc/meta/ar/06130218367,https://w3id.org/oc/meta/re/0613043035,https://w3id.org/oc/meta/br/06190685,http://purl.org/spar/fabio/JournalArticle,Being seen to care: The relationship between self-presentation and contributions to online pro-social crowdfunding campaigns,Being Seen To Care: The Relationship Between Self-Presentation And Contributions To Online Pro-Social Crowdfunding Campaigns,70,10.1016/j.chb.2018.01.014,https://w3id.org/oc/meta/br/06130108538,author_title
ref_36,10.1080/13691066.2013.847635,2013-10,Demand-driven Securities Regulation: Evidence From Crowdfunding,https://w3id.org/oc/meta/id/06701306735,https://w3id.org/oc/meta/ar/06705435760,https://w3id.org/oc/meta/re/06701024383,https://w3id.org/oc/meta/br/06701265219,http://purl.org/spar/fabio/JournalArticle,Demand-driven securities regulation: Evidence from crowdfunding,Demand-driven Securities Regulation: Evidence From Crowdfunding,70,10.1080/13691066.2013.847635,https://w3id.org/oc/meta/br/06701264830,author_title
ref_39,10.1525/cmr.2016.58.2.44,2016-02,Crowdfunding In Europe: Determinants Of Platform Creation Across Countries,https://w3id.org/oc/meta/id/061102959116,https://w3id.org/oc/meta/ar/0611012854631,https://w3id.org/oc/meta/re/061102359414,https://w3id.org/oc/meta/br/061103115079,http://purl.org/spar/fabio/JournalArticle,Crowdfunding in Europe: Determinants of platform creation across countries,Crowdfunding In Europe: Determinants Of Platform Creation Across Countries,70,10.1525/cmr.2016.58.2.44,https://w3id.org/oc/meta/br/061103114218,author_title
ref_45,10.1257/0002828043052187,2004-11-01,Social Comparisons And Pro-social Behavior: Testing “Conditional Cooperation” In A Field Experiment,https://w3id.org/oc/meta/id/062501246151,https://w3id.org/oc/meta/ar/062505296661,https://w3id.org/oc/meta/re/06250977328,https://w3id.org/oc/meta/br/062501196166,http://purl.org/spar/fabio/JournalArticle,Social comparisons and pro-social behavior: Testing “conditional cooperation” in a field experiment,Social Comparisons And Pro-social Behavior: Testing “Conditional Cooperation” In A Field Experiment,70,10.1257/0002828043052187,https://w3id.org/oc/meta/br/062501195949,author_title
ref_46,10.1080/13691066.2014.916512,2014-05-28,Exploring Entrepreneurial Legitimacy In Reward-Based Crowdfunding,https://w3id.org/oc/meta/id/06850554485,https://w3id.org/oc/meta/ar/06705435731,https://w3id.org/oc/meta/re/06701024373,https://w3id.org/oc/meta/br/06701265215,http://purl.org/spar/fabio/JournalArticle,Exploring entrepreneurial legitimacy in reward-based crowdfunding,Exploring Entrepreneurial Legitimacy In Reward-Based Crowdfunding,70,10.1080/13691066.2014.916512,https://w3id.org/oc/meta/br/06701264820,author_title
ref_47,10.1016/j.elerap.2015.09.003,2015-10,Understanding Why Consumers Engage In Electronic Word-Of-Mouth Communication: Perspectives From Theory Of Planned Behavior And Justice Theory,https://w3id.org/oc/meta/id/06905801990,https://w3id.org/oc/meta/ar/06404352933,https://w3id.org/oc/meta/re/0640800198,https://w3id.org/oc/meta/br/06401019895,http://purl.org/spar/fabio/JournalArticle,Understanding why consumers engage in electronic word-of-mouth communication: Perspectives from theory of planned behavior and justice theory,Understanding Why Consumers Engage In Electronic Word-Of-Mouth Communication: Perspectives From Theory Of Planned Behavior And Justice Theory,70,10.1016/j.elerap.2015.09.003,https://w3id.org/oc/meta/br/06401019343,author_title
ref_53,10.1016/j.jbusres.2009.11.015,2011-03,Comparing Theories To Explain E-Commerce Adoption,https://w3id.org/oc/meta/id/063201265527,https://w3id.org/oc/meta/ar/061101021677,https://w3id.org/oc/meta/re/06110187949,https://w3id.org/oc/meta/br/06110291259,http://purl.org/spar/fabio/JournalArticle,Comparing theories to explain e-commerce adoption,Comparing Theories To Explain E-Commerce Adoption,70,10.1016/j.jbusres.2009.11.015,https://w3id.org/oc/meta/br/06110290881,author_title
ref_57,10.1108/intr-08-2014-0202,2016-02-01,Success In The Management Of Crowdfunding Projects In The Creative Industries,https://w3id.org/oc/meta/id/061703081676,https://w3id.org/oc/meta/ar/0617013302458,https://w3id.org/oc/meta/re/061702439636,https://w3id.org/oc/meta/br/061703311544,http://purl.org/spar/fabio/JournalArticle,Success in the management of crowdfunding projects in the creative industries,Success In The Management Of Crowdfunding Projects In The Creative Industries,70,10.1108/intr-08-2014-0202,https://w3id.org/oc/meta/br/061703311030,author_title
ref_58,10.1086/222355,1958-05,Social Behavior As Exchange,https://w3id.org/oc/meta/id/06960118783,https://w3id.org/oc/meta/ar/068011254489,https://w3id.org/oc/meta/re/06801942987,https://w3id.org/oc/meta/br/0625042707,http://purl.org/spar/fabio/JournalArticle,Social behavior as exchange,Social Behavior As Exchange,70,10.1086/222355,https://w3id.org/oc/meta/br/06802576195,author_title
ref_59,10.1016/j.intell.2012.08.006,2012-11,"The Cognitive Basis Of Trust. The Relation Between Education, Cognitive Ability, And Generalized And Political Trust",https://w3id.org/oc/meta/id/06705927763,https://w3id.org/oc/meta/ar/061302298611,https://w3id.org/oc/meta/re/06130406709,https://w3id.org/oc/meta/br/06130557988,http://purl.org/spar/fabio/JournalArticle,"The cognitive basis of trust. The relation between education, cognitive ability, and generalized and political trust","The Cognitive Basis Of Trust. The Relation Between Education, Cognitive Ability, And Generalized And Political Trust",70,10.1016/j.intell.2012.08.006,https://w3id.org/oc/meta/br/06130557841,author_title
ref_60,10.1016/j.im.2007.11.001,2008-01,"Acceptance Of Blog Usage: The Roles Of Technology Acceptance, Social Influence And Knowledge Sharing Motivation",https://w3id.org/oc/meta/id/062205855404,https://w3id.org/oc/meta/ar/061301813538,https://w3id.org/oc/meta/re/06130313052,https://w3id.org/oc/meta/br/06130460138,http://purl.org/spar/fabio/JournalArticle,"Acceptance of blog usage: The roles of technology acceptance, social influence and knowledge sharing motivation","Acceptance Of Blog Usage: The Roles Of Technology Acceptance, Social Influence And Knowledge Sharing Motivation",70,10.1016/j.im.2007.11.001,https://w3id.org/oc/meta/br/06130459485,author_title
ref_61,10.1016/j.dss.2003.08.001,2004-12,Internet Self-Efficacy And Electronic Service Acceptance,https://w3id.org/oc/meta/id/0620227964,https://w3id.org/oc/meta/ar/0620424943,https://w3id.org/oc/meta/re/062067823,https://w3id.org/oc/meta/br/0620148207,http://purl.org/spar/fabio/JournalArticle,Internet self-efficacy and electronic service acceptance,Internet Self-Efficacy And Electronic Service Acceptance,70,10.1016/j.dss.2003.08.001,https://w3id.org/oc/meta/br/0620148011,author_title
ref_62,10.1016/j.ijhcs.2006.04.004,2006-09,A Longitudinal Investigation Of Continued Online Shopping Behavior: An Extension Of The Theory Of Planned Behavior,https://w3id.org/oc/meta/id/061602212021,https://w3id.org/oc/meta/ar/061609661487,https://w3id.org/oc/meta/re/061601828930,https://w3id.org/oc/meta/br/061602200170,http://purl.org/spar/fabio/JournalArticle,A longitudinal investigation of continued online shopping behavior: An extension of the theory of planned behavior,A Longitudinal Investigation Of Continued Online Shopping Behavior: An Extension Of The Theory Of Planned Behavior,70,10.1016/j.ijhcs.2006.04.004,https://w3id.org/oc/meta/br/061602199425,author_title
ref_63,10.1080/10705519909540118,1999-01,Cutoff Criteria For Fit Indexes In Covariance Structure Analysis: Conventional Criteria Versus New Alternatives,https://w3id.org/oc/meta/id/06560738550,https://w3id.org/oc/meta/ar/0623010340563,https://w3id.org/oc/meta/re/062301899390,https://w3id.org/oc/meta/br/062302408553,http://purl.org/spar/fabio/JournalArticle,Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,Cutoff Criteria For Fit Indexes In Covariance Structure Analysis: Conventional Criteria Versus New Alternatives,70,10.1080/10705519909540118,https://w3id.org/oc/meta/br/062302408377,author_title
