reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_4,10.1016/j.ijhydene.2006.03.017,2007-10,Studies On The Hydrogen Evolution Reaction On Different Stainless Steels,https://w3id.org/oc/meta/id/06120724179,https://w3id.org/oc/meta/ar/061202806583,https://w3id.org/oc/meta/re/06120497521,https://w3id.org/oc/meta/br/06120660679,http://purl.org/spar/fabio/JournalArticle,Studies on the hydrogen evolution reaction on different stainless steels,Studies On The Hydrogen Evolution Reaction On Different Stainless Steels,70,10.1016/j.ijhydene.2006.03.017,https://w3id.org/oc/meta/br/06120660245,author_title
ref_5,10.1039/c4ra12335b,2014,Electrochemical Mechanism Of Cr(iii) Reduction For Preparing Crystalline Chromium Coatings Based On 1-Butyl-3-Methylimidazolium Hydrogen Sulfate Ionic Liquid,https://w3id.org/oc/meta/id/06290509293,https://w3id.org/oc/meta/ar/061804063446,https://w3id.org/oc/meta/re/06180760383,https://w3id.org/oc/meta/br/0624019334,http://purl.org/spar/fabio/JournalArticle,Electrochemical mechanism of Cr(III) reduction for preparing crystalline chromium coatings based on 1-butyl-3-methylimidazolium hydrogen sulfate ionic liquid,Electrochemical Mechanism Of Cr(iii) Reduction For Preparing Crystalline Chromium Coatings Based On 1-Butyl-3-Methylimidazolium Hydrogen Sulfate Ionic Liquid,70,10.1039/c4ra12335b,https://w3id.org/oc/meta/br/06180965171,author_title
ref_6,10.1016/j.electacta.2014.03.027,2014-06,Electrochemical Mechanism Of Trivalent Chromium Reduction In 1-Butyl-3-Methylimidazolium Bromide Ionic Liquid,https://w3id.org/oc/meta/id/06505524447,https://w3id.org/oc/meta/ar/061208707505,https://w3id.org/oc/meta/re/061201611667,https://w3id.org/oc/meta/br/061201946079,http://purl.org/spar/fabio/JournalArticle,Electrochemical mechanism of trivalent chromium reduction in 1-butyl-3-methylimidazolium bromide ionic liquid,Electrochemical Mechanism Of Trivalent Chromium Reduction In 1-Butyl-3-Methylimidazolium Bromide Ionic Liquid,70,10.1016/j.electacta.2014.03.027,https://w3id.org/oc/meta/br/061201945600,author_title
ref_8,10.1021/ie505026v,2015-04-22,Characterization Of Imidazolium Chloride Ionic Liquids Plus Trivalent Chromium Chloride For Chromium Electroplating,https://w3id.org/oc/meta/id/06620524662,https://w3id.org/oc/meta/ar/06406455989,https://w3id.org/oc/meta/re/06401196409,https://w3id.org/oc/meta/br/06401473370,http://purl.org/spar/fabio/JournalArticle,Characterization of imidazolium chloride ionic liquids plus trivalent chromium chloride for chromium electroplating,Characterization Of Imidazolium Chloride Ionic Liquids Plus Trivalent Chromium Chloride For Chromium Electroplating,70,10.1021/ie505026v,https://w3id.org/oc/meta/br/06401472613,author_title
ref_9,10.1016/j.microc.2011.02.017,2011-09,Mechanistic Study On The Effect Of PEG Molecules In A Trivalent Chromium Electrodeposition Process,https://w3id.org/oc/meta/id/06260809047,https://w3id.org/oc/meta/ar/062603215143,https://w3id.org/oc/meta/re/06260568031,https://w3id.org/oc/meta/br/06260771027,http://purl.org/spar/fabio/JournalArticle,Mechanistic study on the effect of PEG molecules in a trivalent chromium electrodeposition process,Mechanistic Study On The Effect Of PEG Molecules In A Trivalent Chromium Electrodeposition Process,70,10.1016/j.microc.2011.02.017,https://w3id.org/oc/meta/br/06260770320,author_title
ref_10,10.1016/j.surfcoat.2012.04.025,2012-06,The Effects Of pH And Polyethylene Glycol On The Cr(III) Solution Chemistry And Electrodeposition Of Chromium,https://w3id.org/oc/meta/id/06780820963,https://w3id.org/oc/meta/ar/06130804221,https://w3id.org/oc/meta/re/06130143681,https://w3id.org/oc/meta/br/06130232337,http://purl.org/spar/fabio/JournalArticle,The effects of pH and polyethylene glycol on the Cr(III) solution chemistry and electrodeposition of chromium,The Effects Of pH And Polyethylene Glycol On The Cr(III) Solution Chemistry And Electrodeposition Of Chromium,70,10.1016/j.surfcoat.2012.04.025,https://w3id.org/oc/meta/br/06130231537,author_title
ref_11,10.1039/c3ra42770f,2013,Environmentally Friendly Chromium Electrodeposition: Effect Of Pre-Electrolysis On A Cr(iii) Bath In An Anion-Exchange Membrane Reactor,https://w3id.org/oc/meta/id/06301029537,https://w3id.org/oc/meta/ar/06304204907,https://w3id.org/oc/meta/re/0630765569,https://w3id.org/oc/meta/br/0624019366,http://purl.org/spar/fabio/JournalArticle,Environmentally friendly chromium electrodeposition: effect of pre-electrolysis on a Cr(III) bath in an anion-exchange membrane reactor,Environmentally Friendly Chromium Electrodeposition: Effect Of Pre-Electrolysis On A Cr(iii) Bath In An Anion-Exchange Membrane Reactor,70,10.1039/c3ra42770f,https://w3id.org/oc/meta/br/0630980369,author_title
ref_13,10.1007/bf00616141,1976-05,The Effect Of The Additive Cetyl Trimethyl Ammonium Bromide On The Electrodeposition Of Lead Dioxide,https://w3id.org/oc/meta/id/06650226958,https://w3id.org/oc/meta/ar/06480259098,https://w3id.org/oc/meta/re/0648049382,https://w3id.org/oc/meta/br/063018680,http://purl.org/spar/fabio/JournalArticle,The effect of the additive cetyl trimethyl ammonium bromide on the electrodeposition of lead dioxide,The Effect Of The Additive Cetyl Trimethyl Ammonium Bromide On The Electrodeposition Of Lead Dioxide,70,10.1007/bf00616141,https://w3id.org/oc/meta/br/0648055630,author_title
ref_15,10.1039/b407386j,2004,Electrochemical Reduction Of An Imidazolium Cation: A Convenient Preparation Of Imidazol-2-Ylidenes And Their Observation In An Ionic Liquid,https://w3id.org/oc/meta/id/06303238685,https://w3id.org/oc/meta/ar/063014523566,https://w3id.org/oc/meta/re/06302492411,https://w3id.org/oc/meta/br/065057477,http://purl.org/spar/fabio/JournalArticle,Electrochemical reduction of an imidazolium cation: a convenient preparation of imidazol-2-ylidenes and their observation in an ionic liquid,Electrochemical Reduction Of An Imidazolium Cation: A Convenient Preparation Of Imidazol-2-Ylidenes And Their Observation In An Ionic Liquid,70,10.1039/b407386j,https://w3id.org/oc/meta/br/06303503984,author_title
ref_16,10.1016/j.matlet.2007.01.066,2007-08,Fabrication Of A Nanocrystalline Cr–C Layer With Excellent Anti-Wear Performance,https://w3id.org/oc/meta/id/06430849278,https://w3id.org/oc/meta/ar/062201793009,https://w3id.org/oc/meta/re/06220297720,https://w3id.org/oc/meta/br/06220448020,http://purl.org/spar/fabio/JournalArticle,Fabrication of a nanocrystalline Cr–C layer with excellent anti-wear performance,Fabrication Of A Nanocrystalline Cr–C Layer With Excellent Anti-Wear Performance,70,10.1016/j.matlet.2007.01.066,https://w3id.org/oc/meta/br/06220447675,author_title
ref_17,10.1016/s0010-938x(02)00220-2,2003-06,Improved Corrosion Resistance Through Microstructural Modifications Induced By Codepositing SiC-particles With Electrolytic Nickel,https://w3id.org/oc/meta/id/06620466064,https://w3id.org/oc/meta/ar/06180976417,https://w3id.org/oc/meta/re/06180177615,https://w3id.org/oc/meta/br/06180276870,http://purl.org/spar/fabio/JournalArticle,Improved corrosion resistance through microstructural modifications induced by codepositing SiC-particles with electrolytic nickel,Improved Corrosion Resistance Through Microstructural Modifications Induced By Codepositing SiC-particles With Electrolytic Nickel,70,10.1016/s0010-938x(02)00220-2,https://w3id.org/oc/meta/br/06180276706,author_title
