reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,10.1108/20426741211226019,2012-05-18,Coordination In Humanitarian Relief Chains: Chain Coordinators,https://w3id.org/oc/meta/id/06302311402,https://w3id.org/oc/meta/ar/063010388856,https://w3id.org/oc/meta/re/06301807223,https://w3id.org/oc/meta/br/06302413349,http://purl.org/spar/fabio/JournalArticle,J Humanit Logist Supply Chain Manag,Coordination In Humanitarian Relief Chains: Chain Coordinators,70,10.1108/20426741211226019,https://w3id.org/oc/meta/br/06302412346,author_title
ref_9,10.1515/9781400831050,2009-12-31,Robust Optimization,https://w3id.org/oc/meta/id/0672068092,https://w3id.org/oc/meta/ar/063012948914,,,http://purl.org/spar/fabio/Expression,Robust optimization,Robust Optimization,70,10.1515/9781400831050,https://w3id.org/oc/meta/br/06303059396,author_title
ref_10,10.1016/j.seps.2011.05.002,2012-03,Transportation In Disaster Response Operations,https://w3id.org/oc/meta/id/06205554211,https://w3id.org/oc/meta/ar/061303349374,https://w3id.org/oc/meta/re/06130600478,https://w3id.org/oc/meta/br/06130776761,http://purl.org/spar/fabio/JournalArticle,Soc-Econ Plan Sci,Transportation In Disaster Response Operations,70,10.1016/j.seps.2011.05.002,https://w3id.org/oc/meta/br/06130776503,author_title
ref_11,10.1287/opre.1030.0065,2004-02,The Price Of Robustness,https://w3id.org/oc/meta/id/06490786041,https://w3id.org/oc/meta/ar/062103187129,https://w3id.org/oc/meta/re/06210560026,https://w3id.org/oc/meta/br/06210748974,http://purl.org/spar/fabio/JournalArticle,Op Res,The Price Of Robustness,70,10.1287/opre.1030.0065,https://w3id.org/oc/meta/br/06210748903,author_title
ref_15,10.1016/j.tre.2006.10.013,2007-11,A Scenario Planning Approach For The Flood Emergency Logistics Preparation Problem Under Uncertainty,https://w3id.org/oc/meta/id/06190883900,https://w3id.org/oc/meta/ar/061903513611,https://w3id.org/oc/meta/re/06190640443,https://w3id.org/oc/meta/br/06190836462,http://purl.org/spar/fabio/JournalArticle,Transp Res Part E: Logist Transp Rev,A Scenario Planning Approach For The Flood Emergency Logistics Preparation Problem Under Uncertainty,70,10.1016/j.tre.2006.10.013,https://w3id.org/oc/meta/br/06190835682,author_title
ref_17,10.1007/s11590-011-0421-0,2011-11-15,A Two-Echelon Stochastic Facility Location Model For Humanitarian Relief Logistics,https://w3id.org/oc/meta/id/061702792266,https://w3id.org/oc/meta/ar/0617012083523,https://w3id.org/oc/meta/re/061702260990,https://w3id.org/oc/meta/br/061702888475,http://purl.org/spar/fabio/JournalArticle,Optim Lett,A Two-Echelon Stochastic Facility Location Model For Humanitarian Relief Logistics,65,10.1007/s11590-011-0421-0,https://w3id.org/oc/meta/br/061702887990,author_title
ref_19,10.1061/41139(387)155,2010-09-09,Collaboration In Humanitarian Logistics,https://w3id.org/oc/meta/id/06970218009,https://w3id.org/oc/meta/ar/069013048820,,https://w3id.org/oc/meta/br/06903189370,http://purl.org/spar/fabio/ProceedingsPaper,,Collaboration In Humanitarian Logistics,70,10.1061/41139(387)155,https://w3id.org/oc/meta/br/06903188382,author_title
ref_21,10.1016/j.ejor.2013.09.036,2014-06,Recent Advances In Robust Optimization: An Overview,https://w3id.org/oc/meta/id/06240293131,https://w3id.org/oc/meta/ar/06240754350,https://w3id.org/oc/meta/re/06240130044,https://w3id.org/oc/meta/br/06703352,http://purl.org/spar/fabio/JournalArticle,Eur J Op Res,Recent Advances In Robust Optimization: An Overview,70,10.1016/j.ejor.2013.09.036,https://w3id.org/oc/meta/br/06240220484,author_title
ref_22,10.1016/j.seps.2012.11.002,2013-03,Prepositioning Of Supplies In Preparation For A Hurricane Under Potential Destruction Of Prepositioned Supplies,https://w3id.org/oc/meta/id/06130831183,https://w3id.org/oc/meta/ar/061303349193,https://w3id.org/oc/meta/re/06130600432,https://w3id.org/oc/meta/br/06130776756,http://purl.org/spar/fabio/JournalArticle,Soc-Econ Plan Sci,Prepositioning Of Supplies In Preparation For A Hurricane Under Potential Destruction Of Prepositioned Supplies,70,10.1016/j.seps.2012.11.002,https://w3id.org/oc/meta/br/06130776457,author_title
ref_23,10.1016/j.ejor.2013.01.039,2013-10,Review Of Recent Developments In OR/MS Research In Disaster Operations Management,https://w3id.org/oc/meta/id/06240293539,https://w3id.org/oc/meta/ar/06240755874,https://w3id.org/oc/meta/re/06240130452,https://w3id.org/oc/meta/br/06240221491,http://purl.org/spar/fabio/JournalArticle,Eur J Op Res,Review Of Recent Developments In OR/MS Research In Disaster Operations Management,70,10.1016/j.ejor.2013.01.039,https://w3id.org/oc/meta/br/06240220892,author_title
ref_33,10.1111/poms.12789,2017-10-29,Location And Emergency Inventory Pre-Positioning For Disaster Response Operations: Min-Max Robust Model And A Case Study Of Yushu Earthquake,https://w3id.org/oc/meta/id/0690177785,https://w3id.org/oc/meta/ar/0690149471,https://w3id.org/oc/meta/re/069032632,https://w3id.org/oc/meta/br/0690106468,http://purl.org/spar/fabio/JournalArticle,Prod Op Manag,Location And Emergency Inventory Pre-Positioning For Disaster Response Operations: Min-Max Robust Model And A Case Study Of Yushu Earthquake,65,10.1111/poms.12789,https://w3id.org/oc/meta/br/0690106322,author_title
ref_35,10.1016/j.trb.2011.05.022,2011-09,Reliable Logistics Networks Design With Facility Disruptions,https://w3id.org/oc/meta/id/06170465594,https://w3id.org/oc/meta/ar/061701511531,https://w3id.org/oc/meta/re/06170253208,https://w3id.org/oc/meta/br/06170399370,http://purl.org/spar/fabio/JournalArticle,Transp Res Part B: Methodol,Reliable Logistics Networks Design With Facility Disruptions,70,10.1016/j.trb.2011.05.022,https://w3id.org/oc/meta/br/06170399171,author_title
ref_39,10.5267/j.uscm.2014.1.002,2014,Robust Humanitarian Relief Logistics Network Planning,https://w3id.org/oc/meta/id/062901130028,https://w3id.org/oc/meta/ar/061806446227,https://w3id.org/oc/meta/re/061801236421,https://w3id.org/oc/meta/br/061801503182,http://purl.org/spar/fabio/JournalArticle,Uncertain Supply Chain Manag,Robust Humanitarian Relief Logistics Network Planning,70,10.5267/j.uscm.2014.1.002,https://w3id.org/oc/meta/br/061801502555,author_title
ref_40,10.1111/j.1937-5956.2009.01119.x,2010-08-19,Stochastic Optimization For Natural Disaster Asset Prepositioning,https://w3id.org/oc/meta/id/06880410061,https://w3id.org/oc/meta/ar/06220157492,https://w3id.org/oc/meta/re/0622032108,https://w3id.org/oc/meta/br/0622095727,http://purl.org/spar/fabio/JournalArticle,Prod Op Manag,Stochastic Optimization For Natural Disaster Asset Prepositioning,70,10.1111/j.1937-5956.2009.01119.x,https://w3id.org/oc/meta/br/0622094728,author_title
ref_47,10.1016/j.ejor.2005.03.077,2007-06,A Dynamic Logistics Coordination Model For Evacuation And Support In Disaster Response Activities,https://w3id.org/oc/meta/id/06450541070,https://w3id.org/oc/meta/ar/0620775685,https://w3id.org/oc/meta/re/0620131059,https://w3id.org/oc/meta/br/0620221354,http://purl.org/spar/fabio/JournalArticle,Eur J Op Res,A Dynamic Logistics Coordination Model For Evacuation And Support In Disaster Response Activities,70,10.1016/j.ejor.2005.03.077,https://w3id.org/oc/meta/br/0620220903,author_title
