reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_3,10.1130/g33012.1,2012-07,Nile Delta Vegetation Response To Holocene Climate Variability,https://w3id.org/oc/meta/id/06790512804,https://w3id.org/oc/meta/ar/061904950696,https://w3id.org/oc/meta/re/06190928445,https://w3id.org/oc/meta/br/061901155523,http://purl.org/spar/fabio/JournalArticle,Nile Delta vegetation response to Holocene climate variability,Nile Delta Vegetation Response To Holocene Climate Variability,70,10.1130/g33012.1,https://w3id.org/oc/meta/br/061901155472,author_title
ref_5,10.1017/s0003598x00054168,1974-03,Drought And The Decline Of Mycenae,https://w3id.org/oc/meta/id/064801208462,https://w3id.org/oc/meta/ar/06130707667,https://w3id.org/oc/meta/re/06130121515,https://w3id.org/oc/meta/br/06303175,http://purl.org/spar/fabio/JournalArticle,Drought and the decline of Mycenae,Drought And The Decline Of Mycenae,70,10.1017/s0003598x00054168,https://w3id.org/oc/meta/br/06130207562,author_title
ref_9,10.1016/j.quascirev.2016.08.010,2016-10,Climate Change Since The Last Glacial Period In Lebanon And The Persistence Of Mediterranean Species,https://w3id.org/oc/meta/id/06850891009,https://w3id.org/oc/meta/ar/062103101828,https://w3id.org/oc/meta/re/06210541519,https://w3id.org/oc/meta/br/065013529,http://purl.org/spar/fabio/JournalArticle,Climate change since the last glacial period in Lebanon and the persistence of Mediterranean species,Climate Change Since The Last Glacial Period In Lebanon And The Persistence Of Mediterranean Species,70,10.1016/j.quascirev.2016.08.010,https://w3id.org/oc/meta/br/06210727182,author_title
ref_10,10.3389/fpls.2016.01581,2016-10-25,"Temperature Range Shifts For Three European Tree Species Over The Last 10,000 Years",https://w3id.org/oc/meta/id/06830529182,https://w3id.org/oc/meta/ar/062401055832,,https://w3id.org/oc/meta/br/061204500,http://purl.org/spar/fabio/JournalArticle,"Temperature range shifts for three European tree species over the last 10,000 years","Temperature Range Shifts For Three European Tree Species Over The Last 10,000 Years",70,10.3389/fpls.2016.01581,https://w3id.org/oc/meta/br/06240288945,author_title
ref_11,10.3389/fevo.2017.00114,2017-10-04,"Microrefugia, Climate Change, And Conservation Of Cedrus Atlantica In The Rif Mountains, Morocco",https://w3id.org/oc/meta/id/06540172227,https://w3id.org/oc/meta/ar/0640577589,,https://w3id.org/oc/meta/br/062102331,http://purl.org/spar/fabio/JournalArticle,"Microrefugia, climate change, and conservation of Cedrus atlantica in the Rif Mountains, Morocco","Microrefugia, Climate Change, And Conservation Of Cedrus Atlantica In The Rif Mountains, Morocco",70,10.3389/fevo.2017.00114,https://w3id.org/oc/meta/br/0640184118,author_title
ref_14,10.1016/s0277-3791(97)00029-2,1997-01,The Mutual Climatic Range Method Of Palaeoclimate Reconstruction Based On Insect Fossils: New Applications And Interhemispheric Comparisons,https://w3id.org/oc/meta/id/061704896939,https://w3id.org/oc/meta/ar/061803004545,https://w3id.org/oc/meta/re/06180545178,https://w3id.org/oc/meta/br/06180729468,http://purl.org/spar/fabio/JournalArticle,The mutual climatic range method of palaeoclimate reconstruction based on insect fossils: New applications and interhemispheric comparisons,The Mutual Climatic Range Method Of Palaeoclimate Reconstruction Based On Insect Fossils: New Applications And Interhemispheric Comparisons,70,10.1016/s0277-3791(97)00029-2,https://w3id.org/oc/meta/br/06180728743,author_title
ref_20,10.1146/annurev.earth.32.101802.120435,2004-05-19,"MODERN ANALOGS IN QUATERNARY PALEOECOLOGY: Here Today, Gone Yesterday, Gone Tomorrow?",https://w3id.org/oc/meta/id/0644011964,https://w3id.org/oc/meta/ar/0644060215,https://w3id.org/oc/meta/re/0644011857,https://w3id.org/oc/meta/br/0644011803,http://purl.org/spar/fabio/JournalArticle,"Modern analogs in Quaternary paleoecology: Here today, gone yesterday, gone tomorrow","MODERN ANALOGS IN QUATERNARY PALEOECOLOGY: Here Today, Gone Yesterday, Gone Tomorrow?",70,10.1146/annurev.earth.32.101802.120435,https://w3id.org/oc/meta/br/0644012214,author_title
ref_35,10.5194/cp-14-1165-2018,2018-08-14,Abrupt Cold Events In The North Atlantic Ocean In A Transient Holocene Simulation,https://w3id.org/oc/meta/id/064601311488,https://w3id.org/oc/meta/ar/062107676227,https://w3id.org/oc/meta/re/062101419785,https://w3id.org/oc/meta/br/062101714042,http://purl.org/spar/fabio/JournalArticle,Abrupt cold events in the North Atlantic Ocean in a transient Holocene simulation,Abrupt Cold Events In The North Atlantic Ocean In A Transient Holocene Simulation,70,10.5194/cp-14-1165-2018,https://w3id.org/oc/meta/br/062101713506,author_title
ref_37,10.1006/qres.2002.2380,2002-11,Probability Density Functions As Botanical-Climatological Transfer Functions For Climate Reconstruction,https://w3id.org/oc/meta/id/06350911714,https://w3id.org/oc/meta/ar/0630965328,https://w3id.org/oc/meta/re/0630174980,https://w3id.org/oc/meta/br/0630271362,http://purl.org/spar/fabio/JournalArticle,Probability density functions as botanical-climatological transfer functions for climate reconstruction,Probability Density Functions As Botanical-Climatological Transfer Functions For Climate Reconstruction,70,10.1006/qres.2002.2380,https://w3id.org/oc/meta/br/0630270394,author_title
ref_39,10.1016/j.quascirev.2012.06.012,2012-08,Holocene Climate Variability In The Levant From The Dead Sea Pollen Record,https://w3id.org/oc/meta/id/06230788976,https://w3id.org/oc/meta/ar/062303064731,https://w3id.org/oc/meta/re/06230543868,https://w3id.org/oc/meta/br/06230732173,http://purl.org/spar/fabio/JournalArticle,Holocene climate variability in the Levant from the Dead Sea pollen record,Holocene Climate Variability In The Levant From The Dead Sea Pollen Record,70,10.1016/j.quascirev.2012.06.012,https://w3id.org/oc/meta/br/06230731497,author_title
