reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1016/j.carbpol.2015.03.036,2015-08,"The Role Of Cellulosic Chains Of Cotton In Biosynthesis Of ZnO Nanorods Producing Multifunctional Properties: Mechanism, Characterizations And Features",https://w3id.org/oc/meta/id/06840173172,https://w3id.org/oc/meta/ar/0670436258,https://w3id.org/oc/meta/re/067075918,https://w3id.org/oc/meta/br/0670164568,http://purl.org/spar/fabio/JournalArticle,Carbohydr Polym,"The Role Of Cellulosic Chains Of Cotton In Biosynthesis Of ZnO Nanorods Producing Multifunctional Properties: Mechanism, Characterizations And Features",70,10.1016/j.carbpol.2015.03.036,https://w3id.org/oc/meta/br/0670163806,author_title
ref_2,10.1039/c6ra27036k,2017,Sustainable Oleic And Stearic Acid Based Biodegradable Surfactants,https://w3id.org/oc/meta/id/06510446551,https://w3id.org/oc/meta/ar/061504165726,https://w3id.org/oc/meta/re/06150772408,https://w3id.org/oc/meta/br/0624018976,http://purl.org/spar/fabio/JournalArticle,RSC Adv,Sustainable Oleic And Stearic Acid Based Biodegradable Surfactants,70,10.1039/c6ra27036k,https://w3id.org/oc/meta/br/06150975876,author_title
ref_5,10.1016/j.coco.2017.03.003,2017-06,Acid And Temperature Dual-Responsive Cotton Fabrics With Polymer Coating,https://w3id.org/oc/meta/id/06910791812,https://w3id.org/oc/meta/ar/062105676883,https://w3id.org/oc/meta/re/062101065226,https://w3id.org/oc/meta/br/062101309054,http://purl.org/spar/fabio/JournalArticle,Compos Commun,Acid And Temperature Dual-Responsive Cotton Fabrics With Polymer Coating,70,10.1016/j.coco.2017.03.003,https://w3id.org/oc/meta/br/062101308447,author_title
ref_6,10.1021/acssuschemeng.7b02549,2017-11-03,Sustainable And Biodegradable Superhydrophobic Coating From Epoxidized Soybean Oil And ZnO Nanoparticles On Cellulosic Substrates For Efficient Oil/Water Separation,https://w3id.org/oc/meta/id/062901301100,https://w3id.org/oc/meta/ar/0612010419457,https://w3id.org/oc/meta/re/061201898899,https://w3id.org/oc/meta/br/061202387093,http://purl.org/spar/fabio/JournalArticle,ACS Sustain Chem Eng,Sustainable And Biodegradable Superhydrophobic Coating From Epoxidized Soybean Oil And ZnO Nanoparticles On Cellulosic Substrates For Efficient Oil/Water Separation,70,10.1021/acssuschemeng.7b02549,https://w3id.org/oc/meta/br/061202386580,author_title
ref_7,10.1016/j.carbpol.2018.07.046,2018-11,Cellulose Nanocrystal Coated Cotton Fabric With Superhydrophobicity For Efficient Oil/Water Separation,https://w3id.org/oc/meta/id/061104605683,https://w3id.org/oc/meta/ar/0630464189,https://w3id.org/oc/meta/re/063077477,https://w3id.org/oc/meta/br/0630160410,http://purl.org/spar/fabio/JournalArticle,Carbohydr Polym,Cellulose Nanocrystal Coated Cotton Fabric With Superhydrophobicity For Efficient Oil/Water Separation,70,10.1016/j.carbpol.2018.07.046,https://w3id.org/oc/meta/br/0630159618,author_title
ref_11,10.1016/j.compositesb.2018.12.097,2019-03,TiO2-alginate Composite Aerogels As Novel Oil/Water Separation And Wastewater Remediation Filters,https://w3id.org/oc/meta/id/0670393568,https://w3id.org/oc/meta/ar/06701162331,https://w3id.org/oc/meta/re/0670202822,https://w3id.org/oc/meta/br/0670327981,http://purl.org/spar/fabio/JournalArticle,Compos Part B-Eng,TiO2-alginate Composite Aerogels As Novel Oil/Water Separation And Wastewater Remediation Filters,70,10.1016/j.compositesb.2018.12.097,https://w3id.org/oc/meta/br/0670327400,author_title
ref_13,10.1002/adma.200290020,2002-12-17,Super-Hydrophobic Surfaces: From Natural To Artificial,https://w3id.org/oc/meta/id/061902513738,https://w3id.org/oc/meta/ar/0619010892384,https://w3id.org/oc/meta/re/061901994328,https://w3id.org/oc/meta/br/061902607132,http://purl.org/spar/fabio/JournalArticle,Adv Mater,Super-Hydrophobic Surfaces: From Natural To Artificial,70,10.1002/adma.200290020,https://w3id.org/oc/meta/br/061902606931,author_title
ref_14,10.1021/acssuschemeng.8b01397,2018-06-05,Mussel Adhesive-Inspired Design Of Superhydrophobic Nanofibrillated Cellulose Aerogels For Oil/Water Separation,https://w3id.org/oc/meta/id/061102362010,https://w3id.org/oc/meta/ar/0611010401618,https://w3id.org/oc/meta/re/061101903665,https://w3id.org/oc/meta/br/061102403932,http://purl.org/spar/fabio/JournalArticle,ACS Sustain Chem Eng,Mussel Adhesive-Inspired Design Of Superhydrophobic Nanofibrillated Cellulose Aerogels For Oil/Water Separation,70,10.1021/acssuschemeng.8b01397,https://w3id.org/oc/meta/br/061102403408,author_title
ref_16,10.1021/acsami.6b13547,2017-02-09,Functionalization Of Biodegradable PLA Nonwoven Fabric As Superoleophilic And Superhydrophobic Material For Efficient Oil Absorption And Oil/Water Separation,https://w3id.org/oc/meta/id/062105266555,https://w3id.org/oc/meta/ar/068013168253,https://w3id.org/oc/meta/re/06802221006,https://w3id.org/oc/meta/br/06803096679,http://purl.org/spar/fabio/JournalArticle,ACS Appl Mater Interfaces,Functionalization Of Biodegradable PLA Nonwoven Fabric As Superoleophilic And Superhydrophobic Material For Efficient Oil Absorption And Oil/Water Separation,70,10.1021/acsami.6b13547,https://w3id.org/oc/meta/br/06803095998,author_title
ref_17,10.1039/c7ta05599d,2017,Simple One-Pot Approach Toward Robust And Boiling-Water Resistant Superhydrophobic Cotton Fabric And The Application In Oil/Water Separation,https://w3id.org/oc/meta/id/06170555554,https://w3id.org/oc/meta/ar/061701901280,https://w3id.org/oc/meta/re/06170332394,https://w3id.org/oc/meta/br/062408268,http://purl.org/spar/fabio/JournalArticle,J Mater Chem A,Simple One-Pot Approach Toward Robust And Boiling-Water Resistant Superhydrophobic Cotton Fabric And The Application In Oil/Water Separation,70,10.1039/c7ta05599d,https://w3id.org/oc/meta/br/06170493118,author_title
ref_19,10.1007/s12221-018-8150-y,2018-07,Highly Durable And Robust Superhydrophobic/Superoleophilic Cotton Fabric With Well-designed Roughness For Oil/Water Separation,https://w3id.org/oc/meta/id/062202124054,https://w3id.org/oc/meta/ar/062209361660,https://w3id.org/oc/meta/re/062201739119,https://w3id.org/oc/meta/br/062202097918,http://purl.org/spar/fabio/JournalArticle,Fiber Polym,Highly Durable And Robust Superhydrophobic/Superoleophilic Cotton Fabric With Well-designed Roughness For Oil/Water Separation,70,10.1007/s12221-018-8150-y,https://w3id.org/oc/meta/br/062202097224,author_title
ref_21,10.1021/acssuschemeng.8b01996,2018-07-16,Full-Biobased Nanofiber Membranes Toward Decontamination Of Wastewater Containing Multiple Pollutants,https://w3id.org/oc/meta/id/06610531038,https://w3id.org/oc/meta/ar/0611010400148,https://w3id.org/oc/meta/re/061101903451,https://w3id.org/oc/meta/br/061102403930,http://purl.org/spar/fabio/JournalArticle,ACS Sustain Chem Eng,Full-Biobased Nanofiber Membranes Toward Decontamination Of Wastewater Containing Multiple Pollutants,70,10.1021/acssuschemeng.8b01996,https://w3id.org/oc/meta/br/061102403194,author_title
ref_24,10.1039/c5cp90057c,2015,Correction: One-step Fabrication Of Robust Fabrics With Both-Faced Superhydrophobicity For The Separation And Capture Of Oil From Water,https://w3id.org/oc/meta/id/06805469145,https://w3id.org/oc/meta/ar/06701978496,https://w3id.org/oc/meta/re/0670351814,https://w3id.org/oc/meta/br/0670508931,http://purl.org/spar/fabio/JournalArticle,Phys Chem Chem Phys,Correction: One-step Fabrication Of Robust Fabrics With Both-Faced Superhydrophobicity For The Separation And Capture Of Oil From Water,70,10.1039/c5cp90057c,https://w3id.org/oc/meta/br/0670508263,author_title
