reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1136/esmoopen-2017-000168,2017,Phase III Study Of Gefitinib Or Pemetrexed With Carboplatin In EGFR-mutated Advanced Lung Adenocarcinoma,https://w3id.org/oc/meta/id/062504465752,https://w3id.org/oc/meta/ar/061209403380,https://w3id.org/oc/meta/re/061201729616,https://w3id.org/oc/meta/br/061202087750,http://purl.org/spar/fabio/JournalArticle,Phase III study of gefitinib or pemetrexed with carboplatin in EGFR-mutated advanced lung adenocarcinoma,Phase III Study Of Gefitinib Or Pemetrexed With Carboplatin In EGFR-mutated Advanced Lung Adenocarcinoma,70,10.1136/esmoopen-2017-000168,https://w3id.org/oc/meta/br/061202087544,author_title
ref_3,10.1016/s1470-2045(15)00006-6,2015,Afatinib Versus Erlotinib As Second-Line Treatment Of Patients With Advanced Squamous Cell Carcinoma Of The Lung (LUX-Lung 8): An Open-Label Randomised Controlled Phase 3 Trial.,https://w3id.org/oc/meta/id/061504268257,https://w3id.org/oc/meta/ar/061204447137,https://w3id.org/oc/meta/re/06120824301,https://w3id.org/oc/meta/br/0621020808,http://purl.org/spar/fabio/JournalArticle,Afatinib versus erlotinib as second-line treatment of patients with advanced squamous cell carcinoma of the lung (LUX-Lung 8): an open-label randomised controlled phase 3 trial,Afatinib Versus Erlotinib As Second-Line Treatment Of Patients With Advanced Squamous Cell Carcinoma Of The Lung (LUX-Lung 8): An Open-Label Randomised Controlled Phase 3 Trial.,70,10.1016/s1470-2045(15)00006-6,https://w3id.org/oc/meta/br/061201026252,author_title
ref_5,10.1093/annonc/mdw326,2016-09,"Metastatic Non-Small-Cell Lung Cancer: ESMO Clinical Practice Guidelines For Diagnosis, Treatment And Follow-Up",https://w3id.org/oc/meta/id/06406191079,https://w3id.org/oc/meta/ar/0623013451388,https://w3id.org/oc/meta/re/062302443749,https://w3id.org/oc/meta/br/0612060625,http://purl.org/spar/fabio/JournalArticle,"Metastatic non-small-cell lung cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up","Metastatic Non-Small-Cell Lung Cancer: ESMO Clinical Practice Guidelines For Diagnosis, Treatment And Follow-Up",70,10.1093/annonc/mdw326,https://w3id.org/oc/meta/br/062303335977,author_title
ref_7,10.1177/1758834016644155,2016-05,Pemetrexed For Advanced Stage Nonsquamous Non-Small Cell Lung Cancer: Latest Evidence About Its Extended Use And Outcomes,https://w3id.org/oc/meta/id/06904424647,https://w3id.org/oc/meta/ar/062503442174,https://w3id.org/oc/meta/re/06250604675,https://w3id.org/oc/meta/br/06250784925,http://purl.org/spar/fabio/JournalArticle,Pemetrexed for advanced stage nonsquamous non-small cell lung cancer: latest evidence about its extended use and outcomes,Pemetrexed For Advanced Stage Nonsquamous Non-Small Cell Lung Cancer: Latest Evidence About Its Extended Use And Outcomes,70,10.1177/1758834016644155,https://w3id.org/oc/meta/br/06250784683,author_title
ref_9,10.1177/1758834013510589,2013-11-07,Maintenance Treatment After Induction Therapy In Non-Small Cell Lung Cancer: Latest Evidence And Clinical Implications,https://w3id.org/oc/meta/id/06904424580,https://w3id.org/oc/meta/ar/062503442514,https://w3id.org/oc/meta/re/06250604747,https://w3id.org/oc/meta/br/06250784941,http://purl.org/spar/fabio/JournalArticle,Maintenance treatment after induction therapy in non-small cell lung cancer: latest evidence and clinical implications,Maintenance Treatment After Induction Therapy In Non-Small Cell Lung Cancer: Latest Evidence And Clinical Implications,65,10.1177/1758834013510589,https://w3id.org/oc/meta/br/06250784755,author_title
ref_10,10.1016/s0140-6736(09)61497-5,2009-10,"Maintenance Pemetrexed Plus Best Supportive Care Versus Placebo Plus Best Supportive Care For Non-Small-Cell Lung Cancer: A Randomised, Double-Blind, Phase 3 Study",https://w3id.org/oc/meta/id/0680872201,https://w3id.org/oc/meta/ar/06803465764,https://w3id.org/oc/meta/re/0680628680,https://w3id.org/oc/meta/br/0680823299,http://purl.org/spar/fabio/JournalArticle,"Maintenance pemetrexed plus best supportive care versus placebo plus best supportive care for non-small-cell lung cancer: a randomised, double-blind, phase 3 study","Maintenance Pemetrexed Plus Best Supportive Care Versus Placebo Plus Best Supportive Care For Non-Small-Cell Lung Cancer: A Randomised, Double-Blind, Phase 3 Study",70,10.1016/s0140-6736(09)61497-5,https://w3id.org/oc/meta/br/0680823054,author_title
ref_13,10.1634/theoncologist.2010-0257,2010-12-01,Approval Summary: Erlotinib Maintenance Therapy Of Advanced/Metastatic Non-Small Cell Lung Cancer (NSCLC),https://w3id.org/oc/meta/id/061804141515,https://w3id.org/oc/meta/ar/061012676915,https://w3id.org/oc/meta/re/06102190696,https://w3id.org/oc/meta/br/06103056886,http://purl.org/spar/fabio/JournalArticle,Approval summary: erlotinib maintenance therapy of advanced/metastatic non-small cell lung cancer (NSCLC),Approval Summary: Erlotinib Maintenance Therapy Of Advanced/Metastatic Non-Small Cell Lung Cancer (NSCLC),70,10.1634/theoncologist.2010-0257,https://w3id.org/oc/meta/br/06103056413,author_title
ref_14,10.1016/s1470-2045(10)70112-1,2010-06,"Erlotinib As Maintenance Treatment In Advanced Non-Small-Cell Lung Cancer: A Multicentre, Randomised, Placebo-Controlled Phase 3 Study",https://w3id.org/oc/meta/id/061304276052,https://w3id.org/oc/meta/ar/0613015145268,https://w3id.org/oc/meta/re/06140825086,https://w3id.org/oc/meta/br/061401027500,http://purl.org/spar/fabio/JournalArticle,"Erlotinib as maintenance treatment in advanced non-small-cell lung cancer: a multicentre, randomised, placebo-controlled phase 3 study","Erlotinib As Maintenance Treatment In Advanced Non-Small-Cell Lung Cancer: A Multicentre, Randomised, Placebo-Controlled Phase 3 Study",70,10.1016/s1470-2045(10)70112-1,https://w3id.org/oc/meta/br/061303788199,author_title
ref_21,10.1007/s40262-013-0058-5,2013-03-27,Population Pharmacokinetics/Pharmacodynamics Of Erlotinib And Pharmacogenomic Analysis Of Plasma And Cerebrospinal Fluid Drug Concentrations In Japanese Patients With Non-Small Cell Lung Cancer,https://w3id.org/oc/meta/id/061902410906,https://w3id.org/oc/meta/ar/0619010482715,https://w3id.org/oc/meta/re/061901937690,https://w3id.org/oc/meta/br/061902451603,http://purl.org/spar/fabio/JournalArticle,Population pharmacokinetics/pharmacodynamics of erlotinib and pharmacogenomic analysis of plasma and cerebrospinal fluid drug concentrations in Japanese patients with non-small cell lung cancer,Population Pharmacokinetics/Pharmacodynamics Of Erlotinib And Pharmacogenomic Analysis Of Plasma And Cerebrospinal Fluid Drug Concentrations In Japanese Patients With Non-Small Cell Lung Cancer,70,10.1007/s40262-013-0058-5,https://w3id.org/oc/meta/br/061902450646,author_title
ref_22,10.1200/jco.2007.13.1128,2008-03-01,Pharmacogenomic And Pharmacokinetic Determinants Of Erlotinib Toxicity,https://w3id.org/oc/meta/id/061802765990,https://w3id.org/oc/meta/ar/0618011910879,https://w3id.org/oc/meta/re/061802228441,https://w3id.org/oc/meta/br/061802860674,http://purl.org/spar/fabio/JournalArticle,Pharmacogenomic and pharmacokinetic determinants of erlotinib toxicity,Pharmacogenomic And Pharmacokinetic Determinants Of Erlotinib Toxicity,70,10.1200/jco.2007.13.1128,https://w3id.org/oc/meta/br/061802859864,author_title
