reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1091/mbc.e10-11-0873,2011-06-15,C4orf41 And TTC-15 Are Mammalian TRAPP Components With A Role At An Early Stage In ER-to-Golgi Trafficking,https://w3id.org/oc/meta/id/06910576627,https://w3id.org/oc/meta/ar/06170154721,https://w3id.org/oc/meta/re/0617030667,https://w3id.org/oc/meta/br/0617097133,http://purl.org/spar/fabio/JournalArticle,Mol Biol Cell,C4orf41 And TTC-15 Are Mammalian TRAPP Components With A Role At An Early Stage In ER-to-Golgi Trafficking,70,10.1091/mbc.e10-11-0873,https://w3id.org/oc/meta/br/0617096969,author_title
ref_2,10.1038/emboj.2009.350,2009-11-26,A Genome-Wide RNA Interference Screen Identifies Two Novel Components Of The Metazoan Secretory Pathway,https://w3id.org/oc/meta/id/06605737560,https://w3id.org/oc/meta/ar/061408317497,https://w3id.org/oc/meta/re/061401548992,https://w3id.org/oc/meta/br/061401849771,http://purl.org/spar/fabio/JournalArticle,EMBO J,A Genome-Wide RNA Interference Screen Identifies Two Novel Components Of The Metazoan Secretory Pathway,65,10.1038/emboj.2009.350,https://w3id.org/oc/meta/br/061401849418,author_title
ref_7,10.1091/mbc.11.12.4403,2000-12,The TRAPP Complex Is A Nucleotide Exchanger For Ypt1 And Ypt31/32,https://w3id.org/oc/meta/id/06360445723,https://w3id.org/oc/meta/ar/06160151670,https://w3id.org/oc/meta/re/0616030739,https://w3id.org/oc/meta/br/0616099710,http://purl.org/spar/fabio/JournalArticle,Mol Biol Cell,The TRAPP Complex Is A Nucleotide Exchanger For Ypt1 And Ypt31/32,70,10.1091/mbc.11.12.4403,https://w3id.org/oc/meta/br/0616099507,author_title
ref_9,10.1155/2018/8090797,2018-07-16,Novel TRAPPC11 Mutations In A Chinese Pedigree Of Limb Girdle Muscular Dystrophy,https://w3id.org/oc/meta/id/062604488112,https://w3id.org/oc/meta/ar/06106608297,https://w3id.org/oc/meta/re/06101257397,https://w3id.org/oc/meta/br/06101527568,http://purl.org/spar/fabio/JournalArticle,Case Rep Genet,Novel TRAPPC11 Mutations In A Chinese Pedigree Of Limb Girdle Muscular Dystrophy,70,10.1155/2018/8090797,https://w3id.org/oc/meta/br/06101526597,author_title
ref_10,10.1083/jcb.201705068,2017-12-22,The Two TRAPP Complexes Of Metazoans Have Distinct Roles And Act On Different Rab GTPases,https://w3id.org/oc/meta/id/06703851854,https://w3id.org/oc/meta/ar/06207283727,https://w3id.org/oc/meta/re/06201369274,https://w3id.org/oc/meta/br/06201654091,http://purl.org/spar/fabio/JournalArticle,J Cell Biol,The Two TRAPP Complexes Of Metazoans Have Distinct Roles And Act On Different Rab GTPases,65,10.1083/jcb.201705068,https://w3id.org/oc/meta/br/06201653799,author_title
ref_12,10.1083/jcb.201501090,2015-04-27,"TRAMM/TrappC12 Plays A Role In Chromosome Congression, Kinetochore Stability, And CENP-E Recruitment",https://w3id.org/oc/meta/id/06603856265,https://w3id.org/oc/meta/ar/06307275246,https://w3id.org/oc/meta/re/06301361530,https://w3id.org/oc/meta/br/06301655438,http://purl.org/spar/fabio/JournalArticle,J Cell Biol,"TRAMM/TrappC12 Plays A Role In Chromosome Congression, Kinetochore Stability, And CENP-E Recruitment",70,10.1083/jcb.201501090,https://w3id.org/oc/meta/br/06301655301,author_title
ref_16,10.1097/cnd.0000000000000173,2017-09,Siblings With Mutations In TRAPPC11 Presenting With Limb-Girdle Muscular Dystrophy 2S,https://w3id.org/oc/meta/id/064201323377,https://w3id.org/oc/meta/ar/062206575251,https://w3id.org/oc/meta/re/062201232506,https://w3id.org/oc/meta/br/062201499126,http://purl.org/spar/fabio/JournalArticle,J Clin Neuromuscul Dis,Siblings With Mutations In TRAPPC11 Presenting With Limb-Girdle Muscular Dystrophy 2S,70,10.1097/cnd.0000000000000173,https://w3id.org/oc/meta/br/062201498250,author_title
ref_19,10.1186/s13395-015-0056-4,2015-08-28,Congenital Muscular Dystrophy With Fatty Liver And Infantile-Onset Cataract Caused By TRAPPC11 Mutations: Broadening Of The Phenotype,https://w3id.org/oc/meta/id/062604459254,https://w3id.org/oc/meta/ar/062604687213,,https://w3id.org/oc/meta/br/062601099397,http://purl.org/spar/fabio/JournalArticle,Skelet Muscle,Congenital Muscular Dystrophy With Fatty Liver And Infantile-Onset Cataract Caused By TRAPPC11 Mutations: Broadening Of The Phenotype,70,10.1186/s13395-015-0056-4,https://w3id.org/oc/meta/br/062601099164,author_title
ref_22,10.1371/journal.pone.0023350,2011-08-15,The Adaptor Function Of TRAPPC2 In Mammalian TRAPPs Explains TRAPPC2-Associated SEDT And TRAPPC9-Associated Congenital Intellectual Disability,https://w3id.org/oc/meta/id/06704725632,https://w3id.org/oc/meta/ar/06206753011,https://w3id.org/oc/meta/re/06201263803,https://w3id.org/oc/meta/br/068037904,http://purl.org/spar/fabio/JournalArticle,PLoS One,The Adaptor Function Of TRAPPC2 In Mammalian TRAPPs Explains TRAPPC2-Associated SEDT And TRAPPC9-Associated Congenital Intellectual Disability,70,10.1371/journal.pone.0023350,https://w3id.org/oc/meta/br/06201531778,author_title
ref_23,10.1136/jmedgenet-2018-105441,2018-08-17,Bi-allelic Mutations In TRAPPC2L Result In A Neurodevelopmental Disorder And Have An Impact On RAB11 In Fibroblasts,https://w3id.org/oc/meta/id/062605134188,https://w3id.org/oc/meta/ar/06220835530,https://w3id.org/oc/meta/re/06220146935,https://w3id.org/oc/meta/br/06220238331,http://purl.org/spar/fabio/JournalArticle,J Med Genet,Bi-allelic Mutations In TRAPPC2L Result In A Neurodevelopmental Disorder And Have An Impact On RAB11 In Fibroblasts,70,10.1136/jmedgenet-2018-105441,https://w3id.org/oc/meta/br/06220237793,author_title
