reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_4,10.1002/adma.201500323,2015-06-05,"Red-Emissive Carbon Dots For Fluorescent, Photoacoustic, And Thermal Theranostics In Living Mice",https://w3id.org/oc/meta/id/06602801481,https://w3id.org/oc/meta/ar/066012728453,https://w3id.org/oc/meta/re/06602170374,https://w3id.org/oc/meta/br/068055828,http://purl.org/spar/fabio/JournalArticle,"Red-emissive carbon dots for fluorescent, photoacoustic, and thermal theranostics in living mice","Red-Emissive Carbon Dots For Fluorescent, Photoacoustic, And Thermal Theranostics In Living Mice",70,10.1002/adma.201500323,https://w3id.org/oc/meta/br/06603017395,author_title
ref_5,10.1002/adfm.201500772,2015-04-08,Tumor-Penetrating Nanotherapeutics Loading A Near-Infrared Probe Inhibit Growth And Metastasis Of Breast Cancer,https://w3id.org/oc/meta/id/06920365833,https://w3id.org/oc/meta/ar/0625012018536,https://w3id.org/oc/meta/re/062502203579,https://w3id.org/oc/meta/br/0621059656,http://purl.org/spar/fabio/JournalArticle,Tumor-penetrating nanotherapeutics loading a near-infrared probe inhibit growth and metastasis of breast cancer,Tumor-Penetrating Nanotherapeutics Loading A Near-Infrared Probe Inhibit Growth And Metastasis Of Breast Cancer,70,10.1002/adfm.201500772,https://w3id.org/oc/meta/br/062502832164,author_title
ref_8,10.1002/adma.201503194,2015-09-29,A Self-Assembled Albumin-Based Nanoprobe For In Vivo Ratiometric Photoacoustic pH Imaging,https://w3id.org/oc/meta/id/06602801107,https://w3id.org/oc/meta/ar/066012725393,https://w3id.org/oc/meta/re/06602170001,https://w3id.org/oc/meta/br/06603017592,http://purl.org/spar/fabio/JournalArticle,A self-assembled albumin-based nanoprobe for in vivo ratiometric photoacoustic pH imaging,A Self-Assembled Albumin-Based Nanoprobe For In Vivo Ratiometric Photoacoustic pH Imaging,70,10.1002/adma.201503194,https://w3id.org/oc/meta/br/06603017021,author_title
ref_11,10.7150/thno.21694,2017,Copper Manganese Sulfide Nanoplates: A New Two-Dimensional Theranostic Nanoplatform For MRI/MSOT Dual-Modal Imaging-Guided Photothermal Therapy In The Second Near-Infrared Window,https://w3id.org/oc/meta/id/063701030506,https://w3id.org/oc/meta/ar/061013424728,https://w3id.org/oc/meta/re/06102353875,https://w3id.org/oc/meta/br/06103239053,http://purl.org/spar/fabio/JournalArticle,Copper manganese sulfide nanoplates: a new two-dimensional theranostic nanoplatform for MRI/MSOT dual-modal imaging-guided photothermal therapy in the second near-infrared window,Copper Manganese Sulfide Nanoplates: A New Two-Dimensional Theranostic Nanoplatform For MRI/MSOT Dual-Modal Imaging-Guided Photothermal Therapy In The Second Near-Infrared Window,70,10.7150/thno.21694,https://w3id.org/oc/meta/br/06103238548,author_title
ref_13,10.1021/acsbiomaterials.6b00416,2016-09-30,Polydopamine Coated Selenide Molybdenum: A New Photothermal Nanocarrier For Highly Effective Chemo-Photothermal Synergistic Therapy,https://w3id.org/oc/meta/id/061904600564,https://w3id.org/oc/meta/ar/062501789253,https://w3id.org/oc/meta/re/06250310169,https://w3id.org/oc/meta/br/06250456274,http://purl.org/spar/fabio/JournalArticle,Polydopamine coated selenide molybdenum: a new photothermal nanocarrier for highly effective chemo-photothermal synergistic therapy,Polydopamine Coated Selenide Molybdenum: A New Photothermal Nanocarrier For Highly Effective Chemo-Photothermal Synergistic Therapy,70,10.1021/acsbiomaterials.6b00416,https://w3id.org/oc/meta/br/06250456080,author_title
ref_14,10.1016/j.jconrel.2017.05.011,2017-07,Chemotherapeutic Drug-Photothermal Agent Co-Self-Assembling Nanoparticles For Near-Infrared Fluorescence And Photoacoustic Dual-Modal Imaging-Guided Chemo-Photothermal Synergistic Therapy,https://w3id.org/oc/meta/id/0693081140,https://w3id.org/oc/meta/ar/068013960169,https://w3id.org/oc/meta/re/06802388874,https://w3id.org/oc/meta/br/06803279034,http://purl.org/spar/fabio/JournalArticle,Chemotherapeutic drug-photothermal agent co-self-assembling nanoparticles for near-infrared fluorescence and photoacoustic dual-modal imaging-guided chemo-photothermal synergistic therapy,Chemotherapeutic Drug-Photothermal Agent Co-Self-Assembling Nanoparticles For Near-Infrared Fluorescence And Photoacoustic Dual-Modal Imaging-Guided Chemo-Photothermal Synergistic Therapy,70,10.1016/j.jconrel.2017.05.011,https://w3id.org/oc/meta/br/06803278269,author_title
ref_15,10.1016/j.biomaterials.2013.01.086,2013-05,Near-infrared Laser Light Mediated Cancer Therapy By Photothermal Effect Of Fe3O4 Magnetic Nanoparticles,https://w3id.org/oc/meta/id/06680712589,https://w3id.org/oc/meta/ar/062502293750,https://w3id.org/oc/meta/re/06250404224,https://w3id.org/oc/meta/br/06250558895,http://purl.org/spar/fabio/JournalArticle,Near-infrared laser light mediated cancer therapy by photothermal effect of Fe3O4 magnetic nanoparticles,Near-infrared Laser Light Mediated Cancer Therapy By Photothermal Effect Of Fe3O4 Magnetic Nanoparticles,70,10.1016/j.biomaterials.2013.01.086,https://w3id.org/oc/meta/br/06250558067,author_title
ref_16,10.1016/j.biomaterials.2014.10.064,2015-01,Magnetic Nanoparticle Clusters For Photothermal Therapy With Near-Infrared Irradiation,https://w3id.org/oc/meta/id/062503772776,https://w3id.org/oc/meta/ar/062302248738,https://w3id.org/oc/meta/re/06230398606,https://w3id.org/oc/meta/br/06230567072,http://purl.org/spar/fabio/JournalArticle,Magnetic nanoparticle clusters for photothermal therapy with near-infrared irradiation,Magnetic Nanoparticle Clusters For Photothermal Therapy With Near-Infrared Irradiation,70,10.1016/j.biomaterials.2014.10.064,https://w3id.org/oc/meta/br/06230566578,author_title
ref_17,10.1002/anie.201300441,2014-01-13,"Anisotropic Gold Nanoparticles: Synthesis, Properties, Applications, And Toxicity",https://w3id.org/oc/meta/id/0650178088,https://w3id.org/oc/meta/ar/0650202240,https://w3id.org/oc/meta/re/065035353,https://w3id.org/oc/meta/br/06160882,http://purl.org/spar/fabio/JournalArticle,"Anisotropic gold nanoparticles: synthesis, properties, applications, and toxicity","Anisotropic Gold Nanoparticles: Synthesis, Properties, Applications, And Toxicity",70,10.1002/anie.201300441,https://w3id.org/oc/meta/br/0650100109,author_title
ref_18,10.1016/j.nano.2017.03.012,2017-08,Gold Nanoshell-Based Betulinic Acid Liposomes For Synergistic Chemo-Photothermal Therapy,https://w3id.org/oc/meta/id/06605469672,https://w3id.org/oc/meta/ar/062407721665,https://w3id.org/oc/meta/re/062401436085,https://w3id.org/oc/meta/br/062401736182,http://purl.org/spar/fabio/JournalArticle,Gold nanoshell-based betulinic acid liposomes for synergistic chemo-photothermal therapy,Gold Nanoshell-Based Betulinic Acid Liposomes For Synergistic Chemo-Photothermal Therapy,70,10.1016/j.nano.2017.03.012,https://w3id.org/oc/meta/br/062401736134,author_title
