base,POS,NEG,PRED,TP,FP,FN,TN,matches_file
AGR-BIO-SCI_1,25,0,0,0,0,25,0,(none)
AGR-BIO-SCI_2,29,0,0,0,0,29,0,(none)
AGR-BIO-SCI_3,46,0,0,0,0,46,0,(none)
AGR-BIO-SCI_4,0,0,0,0,0,0,0,(none)
ART-HUM_5,76,0,12,8,0,68,0,ART-HUM_5_matches.csv
ART-HUM_6,16,1,0,0,0,16,1,(none)
ART-HUM_7,32,0,13,5,0,27,0,ART-HUM_7_matches.csv
ART-HUM_8,38,2,0,0,0,38,2,ART-HUM_8_matches.csv
BIO-GEN-MOL_10,66,0,49,48,0,18,0,BIO-GEN-MOL_10_matches.csv
BIO-GEN-MOL_11,90,0,43,40,0,50,0,BIO-GEN-MOL_11_matches.csv
BIO-GEN-MOL_12,66,0,36,35,0,31,0,BIO-GEN-MOL_12_matches.csv
BIO-GEN-MOL_9,0,0,0,0,0,0,0,BIO-GEN-MOL_9_matches.csv
BUS-MAN-ACC_13,51,0,0,0,0,51,0,BUS-MAN-ACC_13_matches.csv
BUS-MAN-ACC_14,75,0,0,0,0,75,0,BUS-MAN-ACC_14_matches.csv
BUS-MAN-ACC_15,83,0,62,57,0,26,0,BUS-MAN-ACC_15_matches.csv
BUS-MAN-ACC_16,67,0,54,48,0,19,0,BUS-MAN-ACC_16_matches.csv
CHE-ENG_18,50,0,14,0,0,50,0,CHE-ENG_18_matches.csv
CHEM_21,15,0,12,11,0,4,0,CHEM_21_matches.csv
CHEM_22,47,0,17,0,0,47,0,CHEM_22_matches.csv
CHEM_23,61,0,44,44,0,17,0,CHEM_23_matches.csv
CHEM_24,30,0,6,1,0,29,0,CHEM_24_matches.csv
DEC-SCI_29,33,0,23,20,0,13,0,DEC-SCI_29_matches.csv
DEC-SCI_30,21,0,29,14,0,7,0,DEC-SCI_30_matches.csv
DEC-SCI_31,42,0,36,27,0,15,0,DEC-SCI_31_matches.csv
DEC-SCI_32,37,0,18,15,0,22,0,DEC-SCI_32_matches.csv
DEN_33,24,0,0,0,0,24,0,DEN_33_matches.csv
DEN_34,47,0,0,0,0,47,0,DEN_34_matches.csv
DEN_35,45,0,0,0,0,45,0,DEN_35_matches.csv
DEN_36,33,0,0,0,0,33,0,DEN_36_matches.csv
EAR-PLA-SCI_37,40,0,16,12,0,28,0,EAR-PLA-SCI_37_matches.csv
EAR-PLA-SCI_38,102,0,63,62,0,40,0,EAR-PLA-SCI_38_matches.csv
EAR-PLA-SCI_39,54,0,21,16,0,38,0,EAR-PLA-SCI_39_matches.csv
EAR-PLA-SCI_40,50,0,17,13,0,37,0,EAR-PLA-SCI_40_matches.csv
ECO-ECO-FIN_41,23,0,0,0,0,23,0,ECO-ECO-FIN_41_matches.csv
ECO-ECO-FIN_42,62,0,52,50,0,12,0,ECO-ECO-FIN_42_matches.csv
ECO-ECO-FIN_43,21,0,17,16,0,5,0,ECO-ECO-FIN_43_matches.csv
ECO-ECO-FIN_44,28,0,33,22,0,6,0,ECO-ECO-FIN_44_matches.csv
ENE_45,38,0,35,31,0,7,0,ENE_45_matches.csv
ENE_46,10,0,0,0,0,10,0,ENE_46_matches.csv
ENE_47,30,0,22,20,0,10,0,ENE_47_matches.csv
ENE_48,28,0,33,22,0,6,0,ENE_48_matches.csv
ENG_49,7,0,0,0,0,7,0,ENG_49_matches.csv
ENG_50,14,0,10,10,0,4,0,ENG_50_matches.csv
ENG_51,17,0,0,0,0,17,0,ENG_51_matches.csv
ENG_52,5,0,3,3,0,2,0,ENG_52_matches.csv
ENV-SCI_53,55,0,39,37,0,18,0,ENV-SCI_53_matches.csv
ENV-SCI_54,44,0,0,0,0,44,0,ENV-SCI_54_matches.csv
ENV-SCI_55,56,0,0,0,0,56,0,ENV-SCI_55_matches.csv
ENV-SCI_56,23,0,0,0,0,23,0,ENV-SCI_56_matches.csv
HEA-PRO_57,25,0,10,8,0,17,0,HEA-PRO_57_matches.csv
HEA-PRO_58,16,0,7,7,0,9,0,HEA-PRO_58_matches.csv
HEA-PRO_60,14,0,8,8,0,6,0,HEA-PRO_60_matches.csv
IMM-MIC_61,30,0,0,0,0,30,0,IMM-MIC_61_matches.csv
IMM-MIC_62,52,0,43,43,0,9,0,IMM-MIC_62_matches.csv
IMM-MIC_63,85,0,7,3,0,82,0,IMM-MIC_63_matches.csv
IMM-MIC_64,42,0,4,2,0,40,0,IMM-MIC_64_matches.csv
MAT-SCI_66,20,0,6,6,0,14,0,MAT-SCI_66_matches.csv
MAT-SCI_67,34,0,6,6,0,28,0,MAT-SCI_67_matches.csv
MAT-SCI_68,50,0,30,27,0,23,0,MAT-SCI_68_matches.csv
MATH_69,10,0,0,0,0,10,0,MATH_69_matches.csv
MATH_70,21,0,19,17,0,4,0,MATH_70_matches.csv
MATH_71,35,1,0,0,0,35,1,MATH_71_matches.csv
MATH_72,43,0,0,0,0,43,0,MATH_72_matches.csv
MED_73,0,0,0,0,0,0,0,MED_73_matches.csv
MED_74,26,0,3,2,0,24,0,MED_74_matches.csv
MED_75,0,0,0,0,0,0,0,MED_75_matches.csv
MED_76,27,0,12,11,0,16,0,MED_76_matches.csv
MUL_77,60,0,0,0,0,60,0,MUL_77_matches.csv
MUL_78,44,0,3,3,0,41,0,MUL_78_matches.csv
MUL_79,42,0,26,20,0,22,0,MUL_79_matches.csv
MUL_80,15,0,7,7,0,8,0,MUL_80_matches.csv
NEU_81,60,1,6,5,0,55,1,NEU_81_matches.csv
NEU_82,14,0,13,11,0,3,0,NEU_82_matches.csv
NEU_83,57,0,1,1,0,56,0,NEU_83_matches.csv
NEU_84,71,1,1,1,0,70,1,NEU_84_matches.csv
NUR_85,21,0,0,0,0,21,0,NUR_85_matches.csv
NUR_86,23,0,0,0,0,23,0,NUR_86_matches.csv
NUR_87,21,0,0,0,0,21,0,NUR_87_matches.csv
NUR_88,21,0,0,0,0,21,0,NUR_88_matches.csv
PHA-TOX-PHA_89,84,0,64,60,0,24,0,PHA-TOX-PHA_89_matches.csv
PHA-TOX-PHA_90,32,0,20,16,0,16,0,PHA-TOX-PHA_90_matches.csv
PHA-TOX-PHA_91,52,0,38,37,0,15,0,PHA-TOX-PHA_91_matches.csv
PHA-TOX-PHA_92,42,0,34,33,0,9,0,PHA-TOX-PHA_92_matches.csv
PHY-AST_94,38,0,2,0,0,38,0,PHY-AST_94_matches.csv
PHY-AST_95,33,0,2,0,0,33,0,PHY-AST_95_matches.csv
PHY-AST_96,31,0,13,0,0,31,0,PHY-AST_96_matches.csv
PSY_100,33,0,10,9,0,24,0,PSY_100_matches.csv
PSY_97,35,0,0,0,0,35,0,PSY_97_matches.csv
PSY_98,0,0,0,0,0,0,0,PSY_98_matches.csv
PSY_99,26,0,16,13,0,13,0,PSY_99_matches.csv
SCI_26,6,0,0,0,0,6,0,SCI_26_matches.csv
SCI_27,44,0,5,4,0,40,0,SCI_27_matches.csv
SCI_28,16,0,0,0,0,16,0,SCI_28_matches.csv
SOC-SCI_101,3,0,1,1,0,2,0,SOC-SCI_101_matches.csv
SOC-SCI_103,26,0,16,13,0,13,0,SOC-SCI_103_matches.csv
SOC-SCI_104,0,0,0,0,0,0,0,SOC-SCI_104_matches.csv
VET_105,62,0,32,30,0,32,0,VET_105_matches.csv
VET_106,18,0,0,0,0,18,0,VET_106_matches.csv
VET_107,30,0,0,0,0,30,0,VET_107_matches.csv
VET_108,13,0,0,0,0,13,0,VET_108_matches.csv
