reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1108/joepp-05-2017-0047,2017-11-07,A Chief HR Officer’S Perspective On Talent Management,https://w3id.org/oc/meta/id/06250298643,https://w3id.org/oc/meta/ar/06250784832,https://w3id.org/oc/meta/re/06250131819,https://w3id.org/oc/meta/br/06250223623,http://purl.org/spar/fabio/JournalArticle,A chief HR officer’s perspective on talent management,A Chief HR Officer’S Perspective On Talent Management,70,10.1108/joepp-05-2017-0047,https://w3id.org/oc/meta/br/06250222469,year_and_doi
ref_2,10.1108/09596110810897583,2008-10-03,Education And Talent Management: Implications For The Hospitality Industry,https://w3id.org/oc/meta/id/0649044719,https://w3id.org/oc/meta/ar/06490222464,https://w3id.org/oc/meta/re/0649041074,https://w3id.org/oc/meta/br/0649046563,http://purl.org/spar/fabio/JournalArticle,Education and talent management: Implications for the hospitality industry,Education And Talent Management: Implications For The Hospitality Industry,70,10.1108/09596110810897583,https://w3id.org/oc/meta/br/0649046240,year_and_doi
ref_3,10.1375/jhtm.13.2.124,2006-08,Reflections On The Nature Of Skills In The Experience Economy: Challenging Traditional Skills Models In Hospitality,https://w3id.org/oc/meta/id/062401738993,https://w3id.org/oc/meta/ar/062407568468,https://w3id.org/oc/meta/re/062401411645,https://w3id.org/oc/meta/br/062401707594,http://purl.org/spar/fabio/JournalArticle,Reflections on the nature of skills in the experience economy: challenging traditional skills models in hospitality,Reflections On The Nature Of Skills In The Experience Economy: Challenging Traditional Skills Models In Hospitality,70,10.1375/jhtm.13.2.124,https://w3id.org/oc/meta/br/062401707289,year_and_doi
ref_5,10.1108/17554211211217325,2012-04-06,Challenges For The Global Hospitality Industry: An HR Perspective,https://w3id.org/oc/meta/id/06802320172,https://w3id.org/oc/meta/ar/068010542098,https://w3id.org/oc/meta/re/06801821294,https://w3id.org/oc/meta/br/06802429649,http://purl.org/spar/fabio/JournalArticle,Challenges for the global hospitality industry: an HR perspective,Challenges For The Global Hospitality Industry: An HR Perspective,70,10.1108/17554211211217325,https://w3id.org/oc/meta/br/06802429271,year_and_doi
ref_6,10.1108/ijchm-05-2012-0065,2013-08-16,An Exploratory Study Of Competencies Required To Co‐Create Memorable Customer Experiences In The Hospitality Industry,https://w3id.org/oc/meta/id/0649044444,https://w3id.org/oc/meta/ar/06490221487,https://w3id.org/oc/meta/re/0649040806,https://w3id.org/oc/meta/br/0649046574,http://purl.org/spar/fabio/JournalArticle,An exploratory study of competencies required to co‐create memorable customer experiences in the hospitality industry,An Exploratory Study Of Competencies Required To Co‐Create Memorable Customer Experiences In The Hospitality Industry,70,10.1108/ijchm-05-2012-0065,https://w3id.org/oc/meta/br/0649045965,year_and_doi
ref_7,10.1002/hrm.21525,2013-03,Talent Or Not? Employee Reactions To Talent Identification,https://w3id.org/oc/meta/id/063201105813,https://w3id.org/oc/meta/ar/06405974950,https://w3id.org/oc/meta/re/06401115994,https://w3id.org/oc/meta/br/06401379965,http://purl.org/spar/fabio/JournalArticle,Talent or not? Employee reactions to talent identification,Talent Or Not? Employee Reactions To Talent Identification,70,10.1002/hrm.21525,https://w3id.org/oc/meta/br/06401380369,year_and_doi
ref_8,10.1111/j.1748-8583.2007.00048.x,2007-11,Transferring HR Practices Within Multinational Corporations,https://w3id.org/oc/meta/id/065908972,https://w3id.org/oc/meta/ar/06350315785,https://w3id.org/oc/meta/re/0635059798,https://w3id.org/oc/meta/br/0635066148,http://purl.org/spar/fabio/JournalArticle,Transferring HR practices within multinational corporations,Transferring HR Practices Within Multinational Corporations,70,10.1111/j.1748-8583.2007.00048.x,https://w3id.org/oc/meta/br/0635066423,year_and_doi
ref_10,10.1002/hrm.20054,2005,"Talentship, Talent Segmentation, And Sustainability: A New HR Decision Science Paradigm For A New Strategy Definition",https://w3id.org/oc/meta/id/06501426657,https://w3id.org/oc/meta/ar/06505984239,https://w3id.org/oc/meta/re/06501134113,https://w3id.org/oc/meta/br/06501387534,http://purl.org/spar/fabio/JournalArticle,"Talentship, talent segmentation, and sustainability: a new HR decision science paradigm for a new strategy definition","Talentship, Talent Segmentation, And Sustainability: A New HR Decision Science Paradigm For A New Strategy Definition",70,10.1002/hrm.20054,https://w3id.org/oc/meta/br/06501386944,year_and_doi
ref_11,10.1191/1478088706qp063oa,2006-01,Using Thematic Analysis In Psychology,https://w3id.org/oc/meta/id/061901465808,https://w3id.org/oc/meta/ar/061906232744,https://w3id.org/oc/meta/re/061901175233,https://w3id.org/oc/meta/br/061901436814,http://purl.org/spar/fabio/JournalArticle,Using thematic interview analysis in psychology,Using Thematic Analysis In Psychology,70,10.1191/1478088706qp063oa,https://w3id.org/oc/meta/br/061901436034,year_and_doi
ref_17,10.1016/j.jwb.2013.11.009,2014-04,Integrating Global Mobility And Global Talent Management: Exploring The Challenges And Strategic Opportunities,https://w3id.org/oc/meta/id/064201184269,https://w3id.org/oc/meta/ar/06207544514,https://w3id.org/oc/meta/re/06201408098,https://w3id.org/oc/meta/br/06201700380,http://purl.org/spar/fabio/JournalArticle,Integrating global mobility and global talent management: exploring the challenges and strategic opportunities,Integrating Global Mobility And Global Talent Management: Exploring The Challenges And Strategic Opportunities,70,10.1016/j.jwb.2013.11.009,https://w3id.org/oc/meta/br/06201699935,year_and_doi
