reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1002/anie.201708527,2017-10-23,Single-Step Reagentless Laser Scribing Fabrication Of Electrochemical Paper-Based Analytical Devices,https://w3id.org/oc/meta/id/06190176501,https://w3id.org/oc/meta/ar/06190182358,https://w3id.org/oc/meta/re/0619033487,https://w3id.org/oc/meta/br/06160801,http://purl.org/spar/fabio/JournalArticle,Single-step reagentless laser scribing fabrication of electrochemical paper-based analytical devices,Single-Step Reagentless Laser Scribing Fabrication Of Electrochemical Paper-Based Analytical Devices,70,10.1002/anie.201708527,https://w3id.org/oc/meta/br/06190107493,year_and_doi
ref_2,10.1021/ac9007573,2009-06-01,Electrochemical Detection For Paper-Based Microfluidics,https://w3id.org/oc/meta/id/06801045875,https://w3id.org/oc/meta/ar/06804285843,https://w3id.org/oc/meta/re/0680789042,https://w3id.org/oc/meta/br/06801001787,http://purl.org/spar/fabio/JournalArticle,Electrochemical detection for paper-based microfluidics,Electrochemical Detection For Paper-Based Microfluidics,70,10.1021/ac9007573,https://w3id.org/oc/meta/br/06801001071,year_and_doi
ref_3,10.1016/j.bios.2016.11.008,2017-07,Paper-based Maskless Enzymatic Sensor For Glucose Determination Combining Ink And Wire Electrodes,https://w3id.org/oc/meta/id/06780726657,https://w3id.org/oc/meta/ar/06440189868,https://w3id.org/oc/meta/re/0644040974,https://w3id.org/oc/meta/br/0644045658,http://purl.org/spar/fabio/JournalArticle,Paper-based maskless enzymatic sensor for glucose determination combining ink and wire electrodes,Paper-based Maskless Enzymatic Sensor For Glucose Determination Combining Ink And Wire Electrodes,70,10.1016/j.bios.2016.11.008,https://w3id.org/oc/meta/br/0644045184,year_and_doi
ref_4,10.1149/2.0121510jss,2015,A Paper-Based Electrochemical Sensor Using Inkjet-Printed Carbon Nanotube Electrodes,https://w3id.org/oc/meta/id/061502408570,https://w3id.org/oc/meta/ar/0615010578384,https://w3id.org/oc/meta/re/061501962079,https://w3id.org/oc/meta/br/061502448410,http://purl.org/spar/fabio/JournalArticle,A paper-based electrochemical sensor using inkjet-printed carbon nanotube electrodes,A Paper-Based Electrochemical Sensor Using Inkjet-Printed Carbon Nanotube Electrodes,70,10.1149/2.0121510jss,https://w3id.org/oc/meta/br/061502448100,year_and_doi
ref_5,10.1021/ac5004294,2014-03-13,"Wire, Mesh, And Fiber Electrodes For Paper-Based Electroanalytical Devices",https://w3id.org/oc/meta/id/063401209552,https://w3id.org/oc/meta/ar/062404220750,https://w3id.org/oc/meta/re/06240771405,https://w3id.org/oc/meta/br/065020631,http://purl.org/spar/fabio/JournalArticle,"Wire, mesh, and fiber electrodes for paper-based electroanalytical devices","Wire, Mesh, And Fiber Electrodes For Paper-Based Electroanalytical Devices",70,10.1021/ac5004294,https://w3id.org/oc/meta/br/06240971528,year_and_doi
ref_6,10.1039/b905832j,2009,"Thin, Lightweight, Foldable Thermochromic Displays On Paper",https://w3id.org/oc/meta/id/06310507828,https://w3id.org/oc/meta/ar/06140571212,https://w3id.org/oc/meta/re/0614097980,https://w3id.org/oc/meta/br/06140181224,http://purl.org/spar/fabio/JournalArticle,"Thin, lightweight, foldable thermochromic displays on paper","Thin, Lightweight, Foldable Thermochromic Displays On Paper",70,10.1039/b905832j,https://w3id.org/oc/meta/br/06140180362,year_and_doi
ref_7,10.1016/j.jelechem.2015.07.055,2016-03,Development And Characterization Of Carbon Based Electrodes From Pyrolyzed Paper For Biosensing Applications,https://w3id.org/oc/meta/id/06204636290,https://w3id.org/oc/meta/ar/067013159376,https://w3id.org/oc/meta/re/06702230918,https://w3id.org/oc/meta/br/06703093331,http://purl.org/spar/fabio/JournalArticle,Development and characterization of carbon based electrodes from pyrolyzed paper for biosensing applications,Development And Characterization Of Carbon Based Electrodes From Pyrolyzed Paper For Biosensing Applications,70,10.1016/j.jelechem.2015.07.055,https://w3id.org/oc/meta/br/06703093117,year_and_doi
ref_8,10.1002/aelm.201600185,2016-08-11,Highly Efficient Laser Scribed Graphene Electrodes For On-Chip Electrochemical Sensing Applications,https://w3id.org/oc/meta/id/06660645023,https://w3id.org/oc/meta/ar/062509017524,https://w3id.org/oc/meta/re/062501669416,https://w3id.org/oc/meta/br/062502016367,http://purl.org/spar/fabio/JournalArticle,Highly efficient laser scribed graphene electrodes for on-chip electrochemical sensing applications,Highly Efficient Laser Scribed Graphene Electrodes For On-Chip Electrochemical Sensing Applications,70,10.1002/aelm.201600185,https://w3id.org/oc/meta/br/062502015939,year_and_doi
ref_9,10.1080/02652039009373907,1990-07,A Review Of Sulphites In Foods: Analytical Methodology And Reported Findings,https://w3id.org/oc/meta/id/0660401384,https://w3id.org/oc/meta/ar/06601206375,https://w3id.org/oc/meta/re/0660211100,https://w3id.org/oc/meta/br/0660333863,http://purl.org/spar/fabio/JournalArticle,A review of sulphites in foods: analytical methodology and reported findings,A Review Of Sulphites In Foods: Analytical Methodology And Reported Findings,70,10.1080/02652039009373907,https://w3id.org/oc/meta/br/0660333285,year_and_doi
ref_10,10.1590/0103-9016-2015-0290,2016-04,"Sulfites In Beer: Reviewing Regulation, Analysis And Role",https://w3id.org/oc/meta/id/06205550878,https://w3id.org/oc/meta/ar/061702658741,https://w3id.org/oc/meta/re/06170469441,https://w3id.org/oc/meta/br/06170649074,http://purl.org/spar/fabio/JournalArticle,"Sulfites in beer: reviewing regulation, analysis and role","Sulfites In Beer: Reviewing Regulation, Analysis And Role",70,10.1590/0103-9016-2015-0290,https://w3id.org/oc/meta/br/06170648574,year_and_doi
