reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1176/appi.books.9780890425596,2013-05-22,Diagnostic And Statistical Manual Of Mental Disorders,https://w3id.org/oc/meta/id/06850483591,https://w3id.org/oc/meta/ar/069012496161,,,http://purl.org/spar/fabio/Expression,Diagnostic and statistical manual of mental disorders (DSM-5®),Diagnostic And Statistical Manual Of Mental Disorders,70,10.1176/appi.books.9780890425596,https://w3id.org/oc/meta/br/06903050381,year_and_doi
ref_2,10.1016/s1364-6613(02)01904-6,2002-06,The Extreme Male Brain Theory Of Autism,https://w3id.org/oc/meta/id/061604211638,https://w3id.org/oc/meta/ar/0616015152763,https://w3id.org/oc/meta/re/06180123755,https://w3id.org/oc/meta/br/06180217846,http://purl.org/spar/fabio/JournalArticle,Trends in Cognitive Sciences,The Extreme Male Brain Theory Of Autism,70,10.1016/s1364-6613(02)01904-6,https://w3id.org/oc/meta/br/061603796514,year_and_doi
ref_3,10.1016/j.pnpbp.2006.01.010,2006-07,"The Hyper-Systemizing, Assortative Mating Theory Of Autism",https://w3id.org/oc/meta/id/06190271968,https://w3id.org/oc/meta/ar/06190655274,https://w3id.org/oc/meta/re/06190109491,https://w3id.org/oc/meta/br/06190206139,http://purl.org/spar/fabio/JournalArticle,Progress in Neuro-Psychopharmacology and Biological Psychiatry,"The Hyper-Systemizing, Assortative Mating Theory Of Autism",70,10.1016/j.pnpbp.2006.01.010,https://w3id.org/oc/meta/br/06190205871,year_and_doi
ref_4,10.1111/j.1749-6632.2009.04467.x,2009-03,Autism: The Empathizing-Systemizing (E-S) Theory,https://w3id.org/oc/meta/id/06970811102,https://w3id.org/oc/meta/ar/065013098099,https://w3id.org/oc/meta/re/06502231993,https://w3id.org/oc/meta/br/06503104365,http://purl.org/spar/fabio/JournalArticle,Annals of the New York Academy of Sciences,Autism: The Empathizing-Systemizing (E-S) Theory,70,10.1111/j.1749-6632.2009.04467.x,https://w3id.org/oc/meta/br/06503103515,year_and_doi
ref_5,10.1016/b978-0-444-53630-3.00011-7,2010,"Empathizing, Systemizing, And The Extreme Male Brain Theory Of Autism",https://w3id.org/oc/meta/id/06903758183,https://w3id.org/oc/meta/ar/0626013029736,https://w3id.org/oc/meta/re/062602398661,https://w3id.org/oc/meta/br/0603903699,http://purl.org/spar/fabio/BookChapter,Progress in Brain Research,"Empathizing, Systemizing, And The Extreme Male Brain Theory Of Autism",70,10.1016/b978-0-444-53630-3.00011-7,https://w3id.org/oc/meta/br/062603185108,year_and_doi
ref_6,10.1038/mp.2014.48,2014-06-03,Elevated Fetal Steroidogenic Activity In Autism,https://w3id.org/oc/meta/id/062604217272,https://w3id.org/oc/meta/ar/061203535934,https://w3id.org/oc/meta/re/06120644255,https://w3id.org/oc/meta/br/06120824782,http://purl.org/spar/fabio/JournalArticle,Molecular Psychiatry,Elevated Fetal Steroidogenic Activity In Autism,65,10.1038/mp.2014.48,https://w3id.org/oc/meta/br/06120824181,year_and_doi
ref_7,10.1098/rstb.2002.1206,2003-02-28,"The Systemizing Quotient: An Investigation Of Adults With Asperger Syndrome Or High–Functioning Autism, And Normal Sex Differences",https://w3id.org/oc/meta/id/06820566610,https://w3id.org/oc/meta/ar/0613012519202,https://w3id.org/oc/meta/re/061302285961,https://w3id.org/oc/meta/br/061303012343,http://purl.org/spar/fabio/JournalArticle,"Philosophical Transactions of the Royal Society of London. Series B, Biological sciences","The Systemizing Quotient: An Investigation Of Adults With Asperger Syndrome Or High–Functioning Autism, And Normal Sex Differences",70,10.1098/rstb.2002.1206,https://w3id.org/oc/meta/br/061303011109,year_and_doi
ref_8,10.1023/b:jadd.0000022607.19833.00,2004,"The Empathy Quotient: An Investigation Of Adults With Asperger Syndrome Or High Functioning Autism, And Normal Sex Differences.",https://w3id.org/oc/meta/id/061703783100,https://w3id.org/oc/meta/ar/061502425384,https://w3id.org/oc/meta/re/06150430530,https://w3id.org/oc/meta/br/063011890,http://purl.org/spar/fabio/JournalArticle,Journal of Autism and Developmental Disorders,"The Empathy Quotient: An Investigation Of Adults With Asperger Syndrome Or High Functioning Autism, And Normal Sex Differences.",70,10.1023/b:jadd.0000022607.19833.00,https://w3id.org/oc/meta/br/06150588682,year_and_doi
ref_9,10.1023/a:1005653411471,2001,"The Autism-Spectrum Quotient (AQ): Evidence From Asperger Syndrome/High-Functioning Autism, Males And Females, Scientists And Mathematicians.",https://w3id.org/oc/meta/id/061703782691,https://w3id.org/oc/meta/ar/061502427261,https://w3id.org/oc/meta/re/06150430968,https://w3id.org/oc/meta/br/063011890,http://purl.org/spar/fabio/JournalArticle,Journal of Autism and Developmental Disorders,"The Autism-Spectrum Quotient (AQ): Evidence From Asperger Syndrome/High-Functioning Autism, Males And Females, Scientists And Mathematicians.",70,10.1023/a:1005653411471,https://w3id.org/oc/meta/br/06150589120,year_and_doi
ref_10,10.3389/fnins.2016.00346,2016-07-22,The Broad Autism (Endo)Phenotype: Neurostructural And Neurofunctional Correlates In Parents Of Individuals With Autism Spectrum Disorders,https://w3id.org/oc/meta/id/06904389672,https://w3id.org/oc/meta/ar/06607759567,,https://w3id.org/oc/meta/br/061040891,http://purl.org/spar/fabio/JournalArticle,Frontiers in Neuroscience,The Broad Autism (Endo)Phenotype: Neurostructural And Neurofunctional Correlates In Parents Of Individuals With Autism Spectrum Disorders,70,10.3389/fnins.2016.00346,https://w3id.org/oc/meta/br/06601718511,year_and_doi
